p,v,cp,rcp,a,ba,sa,hl,pcp,t
12950.0,444700,50.0,0.0,,4599100.0,5666000.0,False,-50.0,14:45:00
13000.0,89300,100.0,0.0,BU,4599100.0,5666000.0,True,0.0,14:29:59
13000.0,1600,100.0,0.0,BU,4509800.0,5666000.0,False,0.0,14:29:59
13000.0,1400,100.0,0.0,BU,4508200.0,5666000.0,False,0.0,14:29:57
13000.0,100,100.0,0.0,BU,4506800.0,5666000.0,False,0.0,14:29:57
13000.0,500,100.0,0.0,BU,4506700.0,5666000.0,False,0.0,14:29:57
13000.0,1000,100.0,0.0,BU,4506200.0,5666000.0,False,0.0,14:29:57
13000.0,100,100.0,0.0,BU,4505200.0,5666000.0,False,0.0,14:29:57
13000.0,400,100.0,0.0,BU,4505100.0,5666000.0,False,0.0,14:29:57
13000.0,500,100.0,0.0,BU,4504700.0,5666000.0,False,0.0,14:29:57
13000.0,100,100.0,0.0,BU,4504200.0,5666000.0,False,0.0,14:29:57
13000.0,900,100.0,0.0,BU,4504100.0,5666000.0,False,0.0,14:29:57
13000.0,600,100.0,0.0,BU,4503200.0,5666000.0,False,0.0,14:29:48
13000.0,100,100.0,0.0,BU,4502600.0,5666000.0,False,0.0,14:29:44
13000.0,3000,100.0,0.0,BU,4502500.0,5666000.0,False,0.0,14:29:43
13000.0,200,100.0,0.0,BU,4499500.0,5666000.0,False,0.0,14:29:43
13000.0,200,100.0,0.0,BU,4499300.0,5666000.0,False,50.0,14:29:29
12950.0,100,50.0,0.0,SD,4499100.0,5666000.0,False,0.0,14:29:16
12950.0,10900,50.0,0.0,SD,4499100.0,5665900.0,False,0.0,14:29:15
12950.0,4100,50.0,0.0,SD,4499100.0,5655000.0,False,0.0,14:29:15
12950.0,2000,50.0,0.0,SD,4499100.0,5650900.0,False,0.0,14:29:02
12950.0,300,50.0,0.0,SD,4499100.0,5648900.0,False,0.0,14:28:49
12950.0,300,50.0,0.0,SD,4499100.0,5648600.0,False,0.0,14:28:36
12950.0,200,50.0,0.0,SD,4499100.0,5648300.0,False,0.0,14:28:32
12950.0,1000,50.0,0.0,SD,4499100.0,5648100.0,False,0.0,14:28:26
12950.0,2100,50.0,0.0,SD,4499100.0,5647100.0,False,0.0,14:28:25
12950.0,200,50.0,0.0,SD,4499100.0,5645000.0,False,0.0,14:28:25
12950.0,2700,50.0,0.0,SD,4499100.0,5644800.0,False,-50.0,14:28:25
13000.0,15000,100.0,0.0,BU,4499100.0,5642100.0,False,50.0,14:28:10
12950.0,400,50.0,0.0,SD,4484100.0,5642100.0,False,0.0,14:28:10
12950.0,8400,50.0,0.0,SD,4484100.0,5641700.0,False,0.0,14:27:59
12950.0,5000,50.0,0.0,SD,4484100.0,5633300.0,False,0.0,14:27:56
12950.0,10000,50.0,0.0,SD,4484100.0,5628300.0,False,0.0,14:27:55
12950.0,12000,50.0,0.0,SD,4484100.0,5618300.0,False,0.0,14:27:45
12950.0,500,50.0,0.0,SD,4484100.0,5606300.0,False,0.0,14:27:40
12950.0,500,50.0,0.0,SD,4484100.0,5605800.0,False,0.0,14:27:36
