p,v,cp,rcp,a,ba,sa,hl,pcp,t
37200.0,2200,300.0,0.0,,3763600.0,4417400.0,False,0.0,14:51:53
37200.0,1000,300.0,0.0,,3763600.0,4417400.0,False,0.0,14:51:50
37200.0,1000,300.0,0.0,,3763600.0,4417400.0,False,0.0,14:51:22
37200.0,2000,300.0,0.0,,3763600.0,4417400.0,False,0.0,14:50:35
37200.0,1000,300.0,0.0,,3763600.0,4417400.0,False,0.0,14:49:52
37200.0,1000,300.0,0.0,,3763600.0,4417400.0,False,0.0,14:46:53
37200.0,571100,300.0,0.0,,3763600.0,4417400.0,False,-300.0,14:45:02
37500.0,2400,600.0,0.0,SD,3763600.0,4417400.0,False,0.0,14:29:51
37500.0,5000,600.0,0.0,SD,3763600.0,4415000.0,False,0.0,14:29:50
37500.0,800,600.0,0.0,SD,3763600.0,4410000.0,False,0.0,14:29:49
37500.0,100,600.0,0.0,SD,3763600.0,4409200.0,False,0.0,14:29:43
37500.0,500,600.0,0.0,SD,3763600.0,4409100.0,False,0.0,14:29:39
37500.0,2000,600.0,0.0,SD,3763600.0,4408600.0,False,0.0,14:29:31
37500.0,500,600.0,0.0,SD,3763600.0,4406600.0,False,0.0,14:29:27
37500.0,100,600.0,0.0,SD,3763600.0,4406100.0,False,0.0,14:29:25
37500.0,5000,600.0,0.0,SD,3763600.0,4406000.0,False,0.0,14:29:22
37500.0,11900,600.0,0.0,SD,3763600.0,4401000.0,True,0.0,14:29:20
37500.0,500,600.0,0.0,BU,3763600.0,4389100.0,False,0.0,14:29:18
37500.0,200,600.0,0.0,BU,3763100.0,4389100.0,False,0.0,14:29:11
37500.0,400,600.0,0.0,BU,3762900.0,4389100.0,False,0.0,14:29:02
37500.0,24600,600.0,0.0,BU,3762500.0,4389100.0,True,0.0,14:29:00
37500.0,100,600.0,0.0,BU,3737900.0,4389100.0,False,100.0,14:28:54
37400.0,3000,500.0,0.0,SD,3737800.0,4389100.0,False,0.0,14:28:40
37400.0,500,500.0,0.0,SD,3737800.0,4386100.0,False,0.0,14:28:35
37400.0,5000,500.0,0.0,BU,3737800.0,4385600.0,False,-100.0,14:28:22
37500.0,4000,600.0,0.0,BU,3732800.0,4385600.0,False,200.0,14:28:11
37300.0,1000,400.0,0.0,SD,3728800.0,4385600.0,False,0.0,14:28:05
37300.0,200,400.0,0.0,BU,3728800.0,4384600.0,False,0.0,14:27:48
37300.0,100,400.0,0.0,BU,3728600.0,4384600.0,False,100.0,14:27:47
37200.0,10000,300.0,0.0,SD,3728500.0,4384600.0,True,-300.0,14:27:44
37500.0,30000,600.0,0.0,BU,3728500.0,4374600.0,True,200.0,14:27:43
37300.0,900,400.0,0.0,BU,3698500.0,4374600.0,False,0.0,14:27:42
37300.0,300,400.0,0.0,BU,3697600.0,4374600.0,False,0.0,14:27:41
37300.0,200,400.0,0.0,BU,3697300.0,4374600.0,False,0.0,14:27:39
37300.0,1000,400.0,0.0,BU,3697100.0,4374600.0,False,0.0,14:27:29
37300.0,300,400.0,0.0,BU,3696100.0,4374600.0,False,100.0,14:27:28
37200.0,300,300.0,0.0,BU,3695800.0,4374600.0,False,0.0,14:27:27
37200.0,3800,300.0,0.0,SD,3695500.0,4374600.0,False,-100.0,14:27:22
37300.0,6000,400.0,0.0,BU,3695500.0,4370800.0,True,100.0,14:27:18
37200.0,5700,300.0,0.0,SD,3689500.0,4370800.0,True,-100.0,14:27:17
37300.0,17000,400.0,0.0,BU,3689500.0,4365100.0,True,0.0,14:27:14
37300.0,5300,400.0,0.0,BU,3672500.0,4365100.0,False,100.0,14:27:10
37200.0,800,300.0,0.0,SD,3667200.0,4365100.0,False,0.0,14:27:03
37200.0,4000,300.0,0.0,SD,3667200.0,4364300.0,False,0.0,14:27:02
37200.0,20000,300.0,0.0,SD,3667200.0,4360300.0,True,0.0,14:26:59
37200.0,1000,300.0,0.0,SD,3667200.0,4340300.0,False,-100.0,14:26:57
37300.0,300,400.0,0.0,BU,3667200.0,4339300.0,False,100.0,14:26:55
37200.0,100,300.0,0.0,SD,3666900.0,4339300.0,False,-100.0,14:26:54
37300.0,2300,400.0,0.0,BU,3666900.0,4339200.0,False,100.0,14:26:53
37200.0,500,300.0,0.0,SD,3664600.0,4339200.0,False,0.0,14:26:40
37200.0,400,300.0,0.0,SD,3664600.0,4338700.0,False,0.0,14:26:36
37200.0,100,300.0,0.0,SD,3664600.0,4338300.0,False,-100.0,14:26:32
37300.0,30000,400.0,0.0,BU,3664600.0,4338200.0,True,100.0,14:26:31
37200.0,600,300.0,0.0,BU,3634600.0,4338200.0,False,0.0,14:26:25
37200.0,400,300.0,0.0,BU,3634000.0,4338200.0,False,0.0,14:26:24
37200.0,1600,300.0,0.0,BU,3633600.0,4338200.0,False,0.0,14:26:17
37200.0,1000,300.0,0.0,BU,3632000.0,4338200.0,False,0.0,14:26:16
37200.0,5300,300.0,0.0,BU,3631000.0,4338200.0,False,-100.0,14:26:08
37300.0,900,400.0,0.0,BU,3625700.0,4338200.0,False,200.0,14:26:06
37100.0,51500,200.0,0.0,SD,3624800.0,4338200.0,True,-100.0,14:26:01
37200.0,700,300.0,0.0,SD,3624800.0,4286700.0,False,-100.0,14:26:00
37300.0,100,400.0,0.0,BU,3624800.0,4286000.0,False,100.0,14:25:56
37200.0,5000,300.0,0.0,SD,3624700.0,4286000.0,False,0.0,14:25:54
37200.0,1000,300.0,0.0,SD,3624700.0,4281000.0,False,-100.0,14:25:53
37300.0,200,400.0,0.0,BU,3624700.0,4280000.0,False,100.0,14:25:48
37200.0,100,300.0,0.0,SD,3624500.0,4280000.0,False,0.0,14:25:42
37200.0,5000,300.0,0.0,SD,3624500.0,4279900.0,False,0.0,14:25:40
37200.0,500,300.0,0.0,BU,3624500.0,4274900.0,False,0.0,14:25:32
37200.0,2000,300.0,0.0,BU,3624000.0,4274900.0,False,0.0,14:25:31
37200.0,2000,300.0,0.0,BU,3622000.0,4274900.0,False,0.0,14:25:29
37200.0,1000,300.0,0.0,BU,3620000.0,4274900.0,False,0.0,14:25:25
37200.0,200,300.0,0.0,BU,3619000.0,4274900.0,False,0.0,14:25:23
37200.0,1000,300.0,0.0,BU,3618800.0,4274900.0,False,100.0,14:25:22
37100.0,500,200.0,0.0,SD,3617800.0,4274900.0,False,-100.0,14:25:20
37200.0,5000,300.0,0.0,BU,3617800.0,4274400.0,False,100.0,14:25:18
37100.0,900,200.0,0.0,SD,3612800.0,4274400.0,False,-100.0,14:25:15
37200.0,3000,300.0,0.0,BU,3612800.0,4273500.0,False,0.0,14:25:13
37200.0,100,300.0,0.0,BU,3609800.0,4273500.0,False,100.0,14:25:11
37100.0,200,200.0,0.0,SD,3609700.0,4273500.0,False,0.0,14:25:10
37100.0,11000,200.0,0.0,SD,3609700.0,4273300.0,True,0.0,14:25:08
37100.0,8600,200.0,0.0,SD,3609700.0,4262300.0,True,0.0,14:25:05
37100.0,1000,200.0,0.0,SD,3609700.0,4253700.0,False,-100.0,14:25:03
37200.0,3000,300.0,0.0,BU,3609700.0,4252700.0,False,100.0,14:25:02
37100.0,21400,200.0,0.0,SD,3606700.0,4252700.0,True,0.0,14:25:00
37100.0,21500,200.0,0.0,BU,3606700.0,4231300.0,True,100.0,14:24:51
37000.0,2000,100.0,0.0,SD,3585200.0,4231300.0,False,-100.0,14:24:47
37100.0,10000,200.0,0.0,BU,3585200.0,4229300.0,True,0.0,14:24:44
37100.0,3800,200.0,0.0,BU,3575200.0,4229300.0,False,0.0,14:24:39
37100.0,300,200.0,0.0,BU,3571400.0,4229300.0,False,0.0,14:24:36
37100.0,20000,200.0,0.0,BU,3571100.0,4229300.0,True,100.0,14:24:29
37000.0,200,100.0,0.0,SD,3551100.0,4229300.0,False,0.0,14:24:28
37000.0,5000,100.0,0.0,SD,3551100.0,4229100.0,False,0.0,14:24:26
37000.0,1300,100.0,0.0,SD,3551100.0,4224100.0,False,0.0,14:24:22
37000.0,400,100.0,0.0,SD,3551100.0,4222800.0,False,0.0,14:24:18
37000.0,1100,100.0,0.0,SD,3551100.0,4222400.0,False,0.0,14:24:14
37000.0,1000,100.0,0.0,SD,3551100.0,4221300.0,False,0.0,14:24:13
37000.0,8000,100.0,0.0,SD,3551100.0,4220300.0,True,0.0,14:24:08
37000.0,5500,100.0,0.0,BU,3551100.0,4212300.0,True,100.0,14:24:04
36900.0,200,0.0,0.0,SD,3545600.0,4212300.0,False,-100.0,14:23:59
37000.0,5000,100.0,0.0,BU,3545600.0,4212100.0,False,100.0,14:23:56
36900.0,400,0.0,0.0,SD,3540600.0,4212100.0,False,0.0,14:23:48
36900.0,200,0.0,0.0,SD,3540600.0,4211700.0,False,-100.0,14:23:42
37000.0,100,100.0,0.0,BU,3540600.0,4211500.0,False,100.0,14:23:40
36900.0,300,0.0,0.0,SD,3540500.0,4211500.0,False,0.0,14:23:38
36900.0,2700,0.0,0.0,SD,3540500.0,4211200.0,False,-100.0,14:23:36
37000.0,500,100.0,0.0,BU,3540500.0,4208500.0,False,100.0,14:23:35
36900.0,5000,0.0,0.0,SD,3540000.0,4208500.0,False,-100.0,14:23:33
37000.0,300,100.0,0.0,BU,3540000.0,4203500.0,False,0.0,14:23:30
37000.0,6100,100.0,0.0,BU,3539700.0,4203500.0,True,0.0,14:23:22
37000.0,500,100.0,0.0,BU,3533600.0,4203500.0,False,0.0,14:23:20
37000.0,100,100.0,0.0,BU,3533100.0,4203500.0,False,0.0,14:23:16
37000.0,700,100.0,0.0,BU,3533000.0,4203500.0,False,0.0,14:23:14
37000.0,35000,100.0,0.0,SD,3532300.0,4203500.0,True,0.0,14:23:10
37000.0,5000,100.0,0.0,SD,3532300.0,4168500.0,False,-100.0,14:23:06
37100.0,1100,200.0,0.0,BU,3532300.0,4163500.0,False,100.0,14:23:04
37000.0,1300,100.0,0.0,BU,3531200.0,4163500.0,False,0.0,14:23:02
37000.0,1000,100.0,0.0,BU,3529900.0,4163500.0,False,100.0,14:23:00
