p,v,cp,rcp,a,ba,sa,hl,pcp,t
2950.0,66100,-50.0,0.0,,403600.0,1438600.0,False,20.0,14:45:01
2930.0,1000,-70.0,0.0,BU,403600.0,1438600.0,False,0.0,14:29:43
2930.0,500,-70.0,0.0,BU,402600.0,1438600.0,False,30.0,14:29:17
2900.0,4000,-100.0,0.0,BU,402100.0,1438600.0,False,0.0,14:28:26
2900.0,6900,-100.0,0.0,BU,398100.0,1438600.0,False,0.0,14:28:26
2900.0,2000,-100.0,0.0,BU,391200.0,1438600.0,False,0.0,14:28:20
2900.0,600,-100.0,0.0,BU,389200.0,1438600.0,False,0.0,14:28:19
2900.0,500,-100.0,0.0,BU,388600.0,1438600.0,False,0.0,14:28:12
2900.0,1100,-100.0,0.0,BU,388100.0,1438600.0,False,0.0,14:28:10
2900.0,800,-100.0,0.0,BU,387000.0,1438600.0,False,0.0,14:28:04
2900.0,11000,-100.0,0.0,BU,386200.0,1438600.0,False,0.0,14:28:04
2900.0,900,-100.0,0.0,BU,375200.0,1438600.0,False,0.0,14:28:04
2900.0,7300,-100.0,0.0,BU,374300.0,1438600.0,False,0.0,14:28:04
2900.0,4200,-100.0,0.0,BU,367000.0,1438600.0,False,0.0,14:27:48
2900.0,100,-100.0,0.0,BU,362800.0,1438600.0,False,0.0,14:27:35
2900.0,100,-100.0,0.0,BU,362700.0,1438600.0,False,0.0,14:27:23
2900.0,500,-100.0,0.0,BU,362600.0,1438600.0,False,10.0,14:27:08
2890.0,1000,-110.0,0.0,SD,362100.0,1438600.0,False,0.0,14:26:58
2890.0,100,-110.0,0.0,SD,362100.0,1437600.0,False,0.0,14:26:21
2890.0,4900,-110.0,0.0,BU,362100.0,1437500.0,False,0.0,14:26:02
2890.0,100,-110.0,0.0,SD,357200.0,1437500.0,False,0.0,14:25:45
2890.0,300,-110.0,0.0,SD,357200.0,1437400.0,False,0.0,14:25:43
2890.0,900,-110.0,0.0,SD,357200.0,1437100.0,False,0.0,14:25:43
2890.0,2000,-110.0,0.0,SD,357200.0,1436200.0,False,0.0,14:25:43
2890.0,100,-110.0,0.0,SD,357200.0,1434200.0,False,0.0,14:25:43
2890.0,100,-110.0,0.0,SD,357200.0,1434100.0,False,0.0,14:25:43
2890.0,3600,-110.0,0.0,SD,357200.0,1434000.0,False,0.0,14:25:43
2890.0,1000,-110.0,0.0,SD,357200.0,1430400.0,False,-10.0,14:24:58
2900.0,200,-100.0,0.0,BU,357200.0,1429400.0,False,0.0,14:24:48
2900.0,2700,-100.0,0.0,BU,357000.0,1429400.0,False,10.0,14:24:00
2890.0,300,-110.0,0.0,BU,354300.0,1429400.0,False,0.0,14:24:00
2890.0,1000,-110.0,0.0,BU,354000.0,1429400.0,False,0.0,14:23:51
2890.0,1000,-110.0,0.0,BU,353000.0,1429400.0,False,10.0,14:23:33
2880.0,100,-120.0,0.0,SD,352000.0,1429400.0,False,0.0,14:23:10
2880.0,200,-120.0,0.0,SD,352000.0,1429300.0,False,0.0,14:23:10
2880.0,5000,-120.0,0.0,SD,352000.0,1429100.0,False,0.0,14:23:10
2880.0,1000,-120.0,0.0,SD,352000.0,1424100.0,False,0.0,14:23:10
2880.0,5000,-120.0,0.0,SD,352000.0,1423100.0,False,0.0,14:23:10
2880.0,100,-120.0,0.0,SD,352000.0,1418100.0,False,0.0,14:23:10
2880.0,500,-120.0,0.0,SD,352000.0,1418000.0,False,0.0,14:23:10
2880.0,100,-120.0,0.0,SD,352000.0,1417500.0,False,-10.0,14:23:10
2890.0,300,-110.0,0.0,BU,352000.0,1417400.0,False,0.0,14:23:06
2890.0,2400,-110.0,0.0,SD,351700.0,1417400.0,False,0.0,14:23:03
2890.0,7600,-110.0,0.0,SD,351700.0,1415000.0,False,0.0,14:22:58
2890.0,10000,-110.0,0.0,SD,351700.0,1407400.0,False,0.0,14:22:58
2890.0,200,-110.0,0.0,SD,351700.0,1397400.0,False,0.0,14:22:58
2890.0,1800,-110.0,0.0,SD,351700.0,1397200.0,False,0.0,14:22:58
2890.0,400,-110.0,0.0,SD,351700.0,1395400.0,False,-10.0,14:22:58
2900.0,100,-100.0,0.0,BU,351700.0,1395000.0,False,0.0,14:22:40
2900.0,200,-100.0,0.0,BU,351600.0,1395000.0,False,0.0,14:22:24
2900.0,100,-100.0,0.0,BU,351400.0,1395000.0,False,0.0,14:21:57
2900.0,1000,-100.0,0.0,BU,351300.0,1395000.0,False,10.0,14:21:38
2890.0,100,-110.0,0.0,SD,350300.0,1395000.0,False,-10.0,14:21:34
2900.0,1900,-100.0,0.0,BU,350300.0,1394900.0,False,20.0,14:21:01
2880.0,100,-120.0,0.0,SD,348400.0,1394900.0,False,0.0,14:21:00
2880.0,100,-120.0,0.0,SD,348400.0,1394800.0,False,0.0,14:21:00
2880.0,400,-120.0,0.0,SD,348400.0,1394700.0,False,-10.0,14:21:00
2890.0,400,-110.0,0.0,BU,348400.0,1394300.0,False,0.0,14:21:00
2890.0,600,-110.0,0.0,SD,348000.0,1394300.0,False,0.0,14:20:49
2890.0,100,-110.0,0.0,SD,348000.0,1393700.0,False,0.0,14:20:49
2890.0,200,-110.0,0.0,SD,348000.0,1393600.0,False,10.0,14:20:49
2880.0,200,-120.0,0.0,SD,348000.0,1393400.0,False,-20.0,14:20:32
2900.0,4800,-100.0,0.0,BU,348000.0,1393200.0,False,10.0,14:20:22
2890.0,200,-110.0,0.0,BU,343200.0,1393200.0,False,0.0,14:20:22
2890.0,300,-110.0,0.0,BU,343000.0,1393200.0,False,0.0,14:20:17
2890.0,2000,-110.0,0.0,BU,342700.0,1393200.0,False,0.0,14:20:17
2890.0,500,-110.0,0.0,BU,340700.0,1393200.0,False,-10.0,14:20:17
2900.0,400,-100.0,0.0,BU,340200.0,1393200.0,False,0.0,14:20:05
2900.0,20000,-100.0,0.0,SD,339800.0,1393200.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1373200.0,False,0.0,14:19:43
2900.0,600,-100.0,0.0,SD,339800.0,1373100.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1372500.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1372400.0,False,0.0,14:19:43
2900.0,300,-100.0,0.0,SD,339800.0,1372300.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1372000.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1371900.0,False,0.0,14:19:43
2900.0,1000,-100.0,0.0,SD,339800.0,1371400.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1370400.0,False,0.0,14:19:43
2900.0,2000,-100.0,0.0,SD,339800.0,1369900.0,False,0.0,14:19:43
2900.0,29900,-100.0,0.0,SD,339800.0,1367900.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1338000.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1337900.0,False,0.0,14:19:43
2900.0,300,-100.0,0.0,SD,339800.0,1337400.0,False,0.0,14:19:43
2900.0,300,-100.0,0.0,SD,339800.0,1337100.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1336800.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1336700.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1336200.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1336100.0,False,0.0,14:19:43
2900.0,3000,-100.0,0.0,SD,339800.0,1336000.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1333000.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1332500.0,False,0.0,14:19:43
2900.0,50000,-100.0,0.0,SD,339800.0,1332400.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1282400.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1281900.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1281800.0,False,0.0,14:19:43
2900.0,5000,-100.0,0.0,SD,339800.0,1281700.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1276700.0,False,0.0,14:19:43
2900.0,200,-100.0,0.0,SD,339800.0,1276200.0,False,0.0,14:19:43
2900.0,5000,-100.0,0.0,SD,339800.0,1276000.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1271000.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1270500.0,False,0.0,14:19:43
2900.0,900,-100.0,0.0,SD,339800.0,1270000.0,False,0.0,14:19:43
2900.0,10000,-100.0,0.0,SD,339800.0,1269100.0,False,0.0,14:19:43
2900.0,10000,-100.0,0.0,SD,339800.0,1259100.0,False,0.0,14:19:43
2900.0,400,-100.0,0.0,SD,339800.0,1249100.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1248700.0,False,0.0,14:19:43
2900.0,1000,-100.0,0.0,SD,339800.0,1248200.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1247200.0,False,0.0,14:19:43
2900.0,400,-100.0,0.0,SD,339800.0,1246700.0,False,0.0,14:19:43
2900.0,100,-100.0,0.0,SD,339800.0,1246300.0,False,0.0,14:19:43
2900.0,2000,-100.0,0.0,SD,339800.0,1246200.0,False,0.0,14:19:43
2900.0,1000,-100.0,0.0,SD,339800.0,1244200.0,False,0.0,14:19:43
2900.0,1000,-100.0,0.0,SD,339800.0,1243200.0,False,0.0,14:19:43
2900.0,500,-100.0,0.0,SD,339800.0,1242200.0,False,0.0,14:19:43
2900.0,1000,-100.0,0.0,SD,339800.0,1241700.0,False,0.0,14:19:43
2900.0,5000,-100.0,0.0,SD,339800.0,1240700.0,False,0.0,14:19:43
