p,v,cp,rcp,a,ba,sa,hl,pcp,t
14500.0,69800,300.0,0.0,,958800.0,1101000.0,False,0.0,14:45:01
14500.0,200,300.0,0.0,SD,958800.0,1101000.0,False,0.0,14:29:21
14500.0,100,300.0,0.0,BU,958800.0,1100800.0,False,0.0,14:29:21
14500.0,500,300.0,0.0,BU,958700.0,1100800.0,False,0.0,14:29:20
14500.0,100,300.0,0.0,BU,958200.0,1100800.0,False,0.0,14:29:12
14500.0,100,300.0,0.0,BU,958100.0,1100800.0,False,0.0,14:29:12
14500.0,5000,300.0,0.0,BU,958000.0,1100800.0,False,0.0,14:29:12
14500.0,500,300.0,0.0,BU,953000.0,1100800.0,False,0.0,14:29:12
14500.0,100,300.0,0.0,BU,952500.0,1100800.0,False,0.0,14:29:12
14500.0,900,300.0,0.0,BU,952400.0,1100800.0,False,0.0,14:29:10
14500.0,100,300.0,0.0,BU,951500.0,1100800.0,False,100.0,14:29:10
14400.0,1000,200.0,0.0,SD,951400.0,1100800.0,False,-100.0,14:29:05
14500.0,900,300.0,0.0,BU,951400.0,1099800.0,False,0.0,14:28:38
14500.0,1000,300.0,0.0,BU,950500.0,1099800.0,False,0.0,14:28:38
14500.0,100,300.0,0.0,BU,949500.0,1099800.0,False,0.0,14:28:38
14500.0,300,300.0,0.0,BU,949400.0,1099800.0,False,100.0,14:28:34
14400.0,700,200.0,0.0,SD,949100.0,1099800.0,False,-100.0,14:28:32
14500.0,2000,300.0,0.0,BU,949100.0,1099100.0,False,100.0,14:28:23
14400.0,10000,200.0,0.0,SD,947100.0,1099100.0,False,-100.0,14:28:21
14500.0,7600,300.0,0.0,BU,947100.0,1089100.0,False,0.0,14:28:05
14500.0,2100,300.0,0.0,BU,939500.0,1089100.0,False,0.0,14:28:05
14500.0,100,300.0,0.0,BU,937400.0,1089100.0,False,0.0,14:28:05
14500.0,10200,300.0,0.0,BU,937300.0,1089100.0,False,100.0,14:28:05
14400.0,4500,200.0,0.0,BU,927100.0,1089100.0,False,0.0,14:27:50
14400.0,500,200.0,0.0,BU,922600.0,1089100.0,False,-100.0,14:27:45
14500.0,100,300.0,0.0,BU,922100.0,1089100.0,False,0.0,14:27:26
14500.0,7100,300.0,0.0,BU,922000.0,1089100.0,False,0.0,14:27:25
14500.0,1500,300.0,0.0,BU,914900.0,1089100.0,False,0.0,14:27:18
14500.0,1100,300.0,0.0,BU,913400.0,1089100.0,False,0.0,14:27:10
14500.0,500,300.0,0.0,BU,912300.0,1089100.0,False,0.0,14:27:10
14500.0,300,300.0,0.0,BU,911800.0,1089100.0,False,100.0,14:27:10
14400.0,100,200.0,0.0,BU,911500.0,1089100.0,False,0.0,14:27:10
14400.0,3300,200.0,0.0,BU,911400.0,1089100.0,False,0.0,14:27:10
14400.0,1500,200.0,0.0,BU,908100.0,1089100.0,False,0.0,14:27:10
14400.0,3000,200.0,0.0,BU,906600.0,1089100.0,False,100.0,14:27:10
14300.0,1900,100.0,0.0,SD,903600.0,1089100.0,False,100.0,14:26:47
14200.0,5500,0.0,0.0,BU,903600.0,1087200.0,False,0.0,14:26:42
14200.0,500,0.0,0.0,BU,898100.0,1087200.0,False,0.0,14:26:33
14200.0,1000,0.0,0.0,BU,897600.0,1087200.0,False,0.0,14:26:32
14200.0,300,0.0,0.0,BU,896600.0,1087200.0,False,0.0,14:26:32
14200.0,100,0.0,0.0,BU,896300.0,1087200.0,False,0.0,14:26:32
14200.0,500,0.0,0.0,BU,896200.0,1087200.0,False,100.0,14:26:32
14100.0,2600,-100.0,0.0,BU,895700.0,1087200.0,False,0.0,14:26:11
14100.0,1200,-100.0,0.0,BU,893100.0,1087200.0,False,0.0,14:26:11
14100.0,2200,-100.0,0.0,BU,891900.0,1087200.0,False,0.0,14:26:06
14100.0,200,-100.0,0.0,BU,889700.0,1087200.0,False,100.0,14:25:56
14000.0,200,-200.0,0.0,SD,889500.0,1087200.0,False,0.0,14:25:48
14000.0,500,-200.0,0.0,BU,889500.0,1087000.0,False,0.0,14:25:45
14000.0,300,-200.0,0.0,BU,889000.0,1087000.0,False,0.0,14:25:45
14000.0,79900,-200.0,0.0,BU,888700.0,1087000.0,True,50.0,14:25:45
13950.0,6000,-250.0,0.0,BU,808800.0,1087000.0,False,0.0,14:25:45
13950.0,200,-250.0,0.0,BU,802800.0,1087000.0,False,0.0,14:25:45
13950.0,1000,-250.0,0.0,SD,802600.0,1087000.0,False,0.0,14:25:45
13950.0,300,-250.0,0.0,SD,802600.0,1086000.0,False,0.0,14:25:45
13950.0,2000,-250.0,0.0,SD,802600.0,1085700.0,False,0.0,14:25:45
13950.0,500,-250.0,0.0,SD,802600.0,1083700.0,False,0.0,14:25:45
13950.0,1500,-250.0,0.0,SD,802600.0,1083200.0,False,-50.0,14:25:42
14000.0,5000,-200.0,0.0,BU,802600.0,1081700.0,False,0.0,14:25:38
14000.0,10000,-200.0,0.0,BU,797600.0,1081700.0,False,0.0,14:25:37
14000.0,400,-200.0,0.0,BU,787600.0,1081700.0,False,50.0,14:25:31
13950.0,700,-250.0,0.0,SD,787200.0,1081700.0,False,0.0,14:25:11
13950.0,300,-250.0,0.0,SD,787200.0,1081000.0,False,0.0,14:25:11
13950.0,400,-250.0,0.0,SD,787200.0,1080700.0,False,0.0,14:24:21
13950.0,1000,-250.0,0.0,SD,787200.0,1080300.0,False,0.0,14:24:19
13950.0,500,-250.0,0.0,SD,787200.0,1079300.0,False,0.0,14:24:16
13950.0,1900,-250.0,0.0,SD,787200.0,1078800.0,False,0.0,14:24:06
13950.0,500,-250.0,0.0,BU,787200.0,1076900.0,False,0.0,14:24:04
13950.0,1000,-250.0,0.0,SD,786700.0,1076900.0,False,-50.0,14:23:53
14000.0,500,-200.0,0.0,BU,786700.0,1075900.0,False,100.0,14:23:26
13900.0,1300,-300.0,0.0,SD,786200.0,1075900.0,False,0.0,14:23:25
13900.0,1000,-300.0,0.0,SD,786200.0,1074600.0,False,0.0,14:23:25
13900.0,1000,-300.0,0.0,SD,786200.0,1073600.0,False,0.0,14:23:25
13900.0,2100,-300.0,0.0,SD,786200.0,1072600.0,False,-50.0,14:23:25
13950.0,1000,-250.0,0.0,BU,786200.0,1070500.0,False,-50.0,14:23:25
14000.0,2200,-200.0,0.0,BU,785200.0,1070500.0,False,0.0,14:23:17
14000.0,1000,-200.0,0.0,BU,783000.0,1070500.0,False,0.0,14:23:17
14000.0,1800,-200.0,0.0,BU,782000.0,1070500.0,False,0.0,14:23:17
14000.0,400,-200.0,0.0,BU,780200.0,1070500.0,False,0.0,14:23:07
14000.0,100,-200.0,0.0,BU,779800.0,1070500.0,False,0.0,14:23:06
14000.0,700,-200.0,0.0,BU,779700.0,1070500.0,False,0.0,14:22:57
14000.0,4300,-200.0,0.0,BU,779000.0,1070500.0,False,0.0,14:22:57
14000.0,700,-200.0,0.0,BU,774700.0,1070500.0,False,0.0,14:22:50
14000.0,300,-200.0,0.0,BU,774000.0,1070500.0,False,0.0,14:22:50
14000.0,100,-200.0,0.0,SD,773700.0,1070500.0,False,0.0,14:22:41
14000.0,1300,-200.0,0.0,SD,773700.0,1070400.0,False,0.0,14:22:41
14000.0,500,-200.0,0.0,SD,773700.0,1069100.0,False,0.0,14:22:39
14000.0,7000,-200.0,0.0,SD,773700.0,1068600.0,False,0.0,14:22:36
14000.0,1000,-200.0,0.0,SD,773700.0,1061600.0,False,0.0,14:22:35
14000.0,200,-200.0,0.0,SD,773700.0,1060600.0,False,0.0,14:22:23
14000.0,100,-200.0,0.0,SD,773700.0,1060400.0,False,0.0,14:22:23
14000.0,200,-200.0,0.0,SD,773700.0,1060300.0,False,-100.0,14:22:23
14100.0,200,-100.0,0.0,BU,773700.0,1060100.0,False,0.0,14:22:21
14100.0,100,-100.0,0.0,BU,773500.0,1060100.0,False,0.0,14:22:12
14100.0,2000,-100.0,0.0,BU,773400.0,1060100.0,False,0.0,14:22:03
14100.0,4000,-100.0,0.0,SD,771400.0,1060100.0,False,-100.0,14:21:58
14200.0,200,0.0,0.0,BU,771400.0,1056100.0,False,0.0,14:21:43
14200.0,300,0.0,0.0,SD,771200.0,1056100.0,False,0.0,14:21:41
14200.0,200,0.0,0.0,SD,771200.0,1055800.0,False,-200.0,14:21:34
14400.0,500,200.0,0.0,BU,771200.0,1055600.0,False,200.0,14:21:32
14200.0,300,0.0,0.0,BU,770700.0,1055600.0,False,0.0,14:21:01
14200.0,4700,0.0,0.0,BU,770400.0,1055600.0,False,200.0,14:20:45
14000.0,300,-200.0,0.0,BU,765700.0,1055600.0,False,100.0,14:20:45
13900.0,1000,-300.0,0.0,SD,765400.0,1055600.0,False,-300.0,14:20:34
14200.0,15000,0.0,0.0,BU,765400.0,1054600.0,True,200.0,14:20:30
14000.0,200,-200.0,0.0,BU,750400.0,1054600.0,False,0.0,14:20:30
14000.0,300,-200.0,0.0,SD,750200.0,1054600.0,False,0.0,14:20:24
14000.0,200,-200.0,0.0,BU,750200.0,1054300.0,False,0.0,14:20:21
14000.0,100,-200.0,0.0,BU,750000.0,1054300.0,False,0.0,14:20:19
14000.0,1000,-200.0,0.0,BU,749900.0,1054300.0,False,0.0,14:20:15
14000.0,1000,-200.0,0.0,SD,748900.0,1054300.0,False,0.0,14:20:14
14000.0,3600,-200.0,0.0,SD,748900.0,1053300.0,False,0.0,14:20:14
14000.0,100,-200.0,0.0,SD,748900.0,1049700.0,False,0.0,14:20:14
14000.0,800,-200.0,0.0,SD,748900.0,1049600.0,False,0.0,14:20:14
14000.0,200,-200.0,0.0,BU,748900.0,1048800.0,False,0.0,14:19:51
14000.0,1000,-200.0,0.0,BU,748700.0,1048800.0,False,0.0,14:19:37
14000.0,3800,-200.0,0.0,BU,747700.0,1048800.0,False,0.0,14:19:37
14000.0,6200,-200.0,0.0,BU,743900.0,1048800.0,False,100.0,14:19:37
13900.0,900,-300.0,0.0,SD,737700.0,1048800.0,False,0.0,14:19:17
13900.0,100,-300.0,0.0,SD,737700.0,1047900.0,False,-100.0,14:19:17
14000.0,2000,-200.0,0.0,SD,737700.0,1047800.0,False,0.0,14:18:56
14000.0,100,-200.0,0.0,SD,737700.0,1045800.0,False,0.0,14:18:56
14000.0,100,-200.0,0.0,SD,737700.0,1045700.0,False,0.0,14:18:56
14000.0,300,-200.0,0.0,SD,737700.0,1045600.0,False,0.0,14:18:56
14000.0,800,-200.0,0.0,SD,737700.0,1045300.0,False,0.0,14:18:56
14000.0,1000,-200.0,0.0,SD,737700.0,1044500.0,False,0.0,14:18:56
14000.0,1000,-200.0,0.0,SD,737700.0,1043500.0,False,0.0,14:18:56
14000.0,300,-200.0,0.0,SD,737700.0,1042500.0,False,-50.0,14:18:56
14050.0,500,-150.0,0.0,SD,737700.0,1042200.0,False,-50.0,14:18:56
14100.0,2500,-100.0,0.0,SD,737700.0,1041700.0,False,0.0,14:18:56
14100.0,200,-100.0,0.0,SD,737700.0,1039200.0,False,0.0,14:18:56
14100.0,200,-100.0,0.0,SD,737700.0,1039000.0,False,-100.0,14:18:56
14200.0,1000,0.0,0.0,SD,737700.0,1038800.0,False,0.0,14:18:56
14200.0,5000,0.0,0.0,SD,737700.0,1037800.0,False,0.0,14:18:56
14200.0,10000,0.0,0.0,SD,737700.0,1032800.0,False,0.0,14:18:56
14200.0,2000,0.0,0.0,SD,737700.0,1022800.0,False,0.0,14:18:56
