p,v,cp,rcp,a,ba,sa,hl,pcp,t
10600.0,9300,-200.0,0.0,,179300.0,261700.0,False,100.0,14:45:02
10500.0,1000,-300.0,0.0,SD,179300.0,261700.0,False,0.0,14:29:45
10500.0,700,-300.0,0.0,SD,179300.0,260700.0,False,0.0,14:28:58
10500.0,6000,-300.0,0.0,SD,179300.0,260000.0,False,100.0,14:27:29
10400.0,13100,-400.0,0.0,SD,179300.0,254000.0,False,-100.0,14:27:15
10500.0,1800,-300.0,0.0,BU,179300.0,240900.0,False,0.0,14:26:59
10500.0,1000,-300.0,0.0,BU,177500.0,240900.0,False,0.0,14:26:45
10500.0,1700,-300.0,0.0,SD,176500.0,240900.0,False,0.0,14:26:20
10500.0,5000,-300.0,0.0,SD,176500.0,239200.0,False,0.0,14:26:05
10500.0,2400,-300.0,0.0,SD,176500.0,234200.0,False,0.0,14:25:04
10500.0,100,-300.0,0.0,BU,176500.0,231800.0,False,0.0,14:25:02
10500.0,2000,-300.0,0.0,BU,176400.0,231800.0,False,0.0,14:25:01
10500.0,2900,-300.0,0.0,BU,174400.0,231800.0,False,100.0,14:24:40
10400.0,200,-400.0,0.0,SD,171500.0,231800.0,False,0.0,14:24:39
10400.0,1000,-400.0,0.0,SD,171500.0,231600.0,False,-100.0,14:24:14
10500.0,500,-300.0,0.0,BU,171500.0,230600.0,False,100.0,14:23:37
10400.0,300,-400.0,0.0,SD,171000.0,230600.0,False,0.0,14:23:10
10400.0,4000,-400.0,0.0,SD,171000.0,230300.0,False,-100.0,14:23:09
10500.0,1000,-300.0,0.0,BU,171000.0,226300.0,False,0.0,14:21:59
10500.0,1500,-300.0,0.0,SD,170000.0,226300.0,False,0.0,14:21:53
10500.0,5000,-300.0,0.0,SD,170000.0,224800.0,False,0.0,14:21:44
10500.0,12000,-300.0,0.0,SD,170000.0,219800.0,False,0.0,14:21:38
10500.0,5000,-300.0,0.0,SD,170000.0,207800.0,False,0.0,14:20:50
10500.0,10000,-300.0,0.0,SD,170000.0,202800.0,False,0.0,14:20:45
10500.0,300,-300.0,0.0,SD,170000.0,192800.0,False,-100.0,14:19:56
10600.0,100,-200.0,0.0,BU,170000.0,192500.0,False,0.0,14:19:36
10600.0,15000,-200.0,0.0,SD,169900.0,192500.0,False,0.0,14:19:35
10600.0,2000,-200.0,0.0,SD,169900.0,177500.0,False,0.0,14:19:26
10600.0,1000,-200.0,0.0,SD,169900.0,175500.0,False,0.0,14:18:58
10600.0,1900,-200.0,0.0,SD,169900.0,174500.0,False,0.0,14:17:46
10600.0,1000,-200.0,0.0,SD,169900.0,172600.0,False,0.0,14:16:39
10600.0,1500,-200.0,0.0,BU,169900.0,171600.0,False,0.0,14:15:19
10600.0,100,-200.0,0.0,SD,168400.0,171600.0,False,0.0,14:11:47
10600.0,500,-200.0,0.0,SD,168400.0,171500.0,False,0.0,14:11:23
10600.0,300,-200.0,0.0,BU,168400.0,171000.0,False,0.0,14:10:21
10600.0,100,-200.0,0.0,SD,168100.0,171000.0,False,0.0,14:10:14
10600.0,900,-200.0,0.0,SD,168100.0,170900.0,False,0.0,14:10:06
10600.0,200,-200.0,0.0,SD,168100.0,170000.0,False,0.0,14:09:33
10600.0,200,-200.0,0.0,BU,168100.0,169800.0,False,0.0,14:09:28
10600.0,100,-200.0,0.0,SD,163800.0,163400.0,False,0.0,14:02:39
10600.0,100,-200.0,0.0,SD,163800.0,163300.0,False,-100.0,14:02:04
10700.0,500,-100.0,0.0,BU,160800.0,163200.0,False,0.0,13:58:27
10700.0,500,-100.0,0.0,BU,160300.0,163200.0,False,0.0,13:58:24
10700.0,200,-100.0,0.0,BU,159800.0,163200.0,False,0.0,13:58:09
10700.0,800,-100.0,0.0,BU,159600.0,163200.0,False,0.0,13:56:38
10700.0,3000,-100.0,0.0,BU,158800.0,163200.0,False,0.0,13:56:05
10700.0,1000,-100.0,0.0,BU,155800.0,163200.0,False,0.0,13:55:16
10700.0,15000,-100.0,0.0,SD,154800.0,163200.0,False,0.0,13:54:39
10700.0,5000,-100.0,0.0,SD,154600.0,146600.0,False,0.0,13:48:35
10700.0,1000,-100.0,0.0,BU,154600.0,141600.0,False,0.0,13:47:44
10700.0,500,-100.0,0.0,SD,153600.0,141600.0,False,0.0,13:47:25
10700.0,2200,-100.0,0.0,SD,153600.0,141100.0,False,0.0,13:46:22
10700.0,10000,-100.0,0.0,BU,153600.0,138900.0,False,0.0,13:46:08
10700.0,100,-100.0,0.0,BU,143600.0,138900.0,False,100.0,13:44:25
10600.0,500,-200.0,0.0,SD,143500.0,138900.0,False,0.0,13:44:16
10600.0,6100,-200.0,0.0,SD,143500.0,138400.0,False,0.0,13:44:02
10600.0,100,-200.0,0.0,SD,143500.0,132300.0,False,0.0,13:40:58
10600.0,1000,-200.0,0.0,BU,143500.0,132200.0,False,0.0,13:40:13
10600.0,4000,-200.0,0.0,BU,142500.0,132200.0,False,0.0,13:39:56
10600.0,2000,-200.0,0.0,BU,138500.0,132200.0,False,0.0,13:39:52
10600.0,1000,-200.0,0.0,BU,136500.0,132200.0,False,0.0,13:39:50
10600.0,2500,-200.0,0.0,BU,135500.0,132200.0,False,0.0,13:39:44
10600.0,1100,-200.0,0.0,BU,133000.0,132200.0,False,0.0,13:39:28
10600.0,300,-200.0,0.0,BU,131900.0,132200.0,False,0.0,13:39:20
10600.0,2600,-200.0,0.0,SD,131600.0,132200.0,False,-100.0,13:38:45
10700.0,4000,-100.0,0.0,BU,131600.0,129600.0,False,0.0,13:37:56
10700.0,100,-100.0,0.0,BU,127600.0,129600.0,False,0.0,13:36:02
10700.0,500,-100.0,0.0,BU,127500.0,129600.0,False,0.0,13:35:38
10700.0,1000,-100.0,0.0,BU,127000.0,129600.0,False,0.0,13:31:48
10700.0,1000,-100.0,0.0,BU,126000.0,129600.0,False,100.0,13:31:10
10600.0,6500,-200.0,0.0,BU,125000.0,129600.0,False,0.0,13:30:57
10600.0,100,-200.0,0.0,SD,118500.0,129600.0,False,0.0,13:30:33
10600.0,9600,-200.0,0.0,SD,118500.0,129500.0,False,0.0,13:28:42
10600.0,3400,-200.0,0.0,BU,118500.0,119900.0,False,0.0,13:28:29
10600.0,300,-200.0,0.0,SD,115100.0,119900.0,False,0.0,13:28:19
10600.0,9000,-200.0,0.0,SD,115100.0,119600.0,False,0.0,13:28:06
10600.0,6200,-200.0,0.0,SD,115100.0,110600.0,False,0.0,13:22:14
