p,v,cp,rcp,a,ba,sa,hl,pcp,t
7480.0,29600,-40.0,0.0,,223100.0,615300.0,False,-10.0,14:45:03
7490.0,500,-30.0,0.0,BU,223100.0,615300.0,False,0.0,14:29:58
7490.0,3100,-30.0,0.0,BU,222600.0,615300.0,False,0.0,14:29:58
7490.0,300,-30.0,0.0,BU,219500.0,615300.0,False,0.0,14:29:32
7490.0,300,-30.0,0.0,BU,219200.0,615300.0,False,0.0,14:29:32
7490.0,100,-30.0,0.0,BU,218900.0,615300.0,False,90.0,14:29:09
7400.0,100,-120.0,0.0,SD,218800.0,615300.0,False,0.0,14:27:51
7400.0,4900,-120.0,0.0,BU,218800.0,615200.0,False,-90.0,14:27:30
7490.0,200,-30.0,0.0,BU,213900.0,615200.0,False,0.0,14:27:28
7490.0,200,-30.0,0.0,BU,213700.0,615200.0,False,0.0,14:27:24
7490.0,1000,-30.0,0.0,SD,213500.0,615200.0,False,-10.0,14:27:09
7500.0,1200,-20.0,0.0,BU,213500.0,614200.0,False,0.0,14:26:56
7500.0,2000,-20.0,0.0,BU,212300.0,614200.0,False,-10.0,14:26:27
7510.0,1600,-10.0,0.0,SD,210300.0,614200.0,False,0.0,14:26:15
7510.0,300,-10.0,0.0,BU,210300.0,612600.0,False,0.0,14:26:05
7510.0,100,-10.0,0.0,BU,210000.0,612600.0,False,10.0,14:26:05
7500.0,5000,-20.0,0.0,SD,209900.0,612600.0,False,-10.0,14:26:02
7510.0,100,-10.0,0.0,BU,209900.0,607600.0,False,0.0,14:25:23
7510.0,200,-10.0,0.0,BU,209800.0,607600.0,False,410.0,14:25:10
7100.0,700,-420.0,-0.1,SD,209600.0,607600.0,False,0.0,14:25:10
7100.0,3000,-420.0,-0.1,SD,209600.0,606900.0,False,0.0,14:25:10
7100.0,100,-420.0,-0.1,SD,209600.0,603900.0,False,0.0,14:25:10
7100.0,400,-420.0,-0.1,SD,209600.0,603800.0,False,0.0,14:25:10
7100.0,5000,-420.0,-0.1,SD,209600.0,603400.0,False,-80.0,14:25:10
7180.0,3000,-340.0,0.0,SD,209600.0,598400.0,False,-20.0,14:25:10
7200.0,100,-320.0,0.0,SD,209600.0,595400.0,False,0.0,14:25:10
7200.0,2000,-320.0,0.0,SD,209600.0,595300.0,False,-40.0,14:25:10
7240.0,1000,-280.0,0.0,SD,209600.0,593300.0,False,-10.0,14:25:10
7250.0,1500,-270.0,0.0,SD,209600.0,592300.0,False,-50.0,14:25:10
7300.0,500,-220.0,0.0,SD,209600.0,590800.0,False,-10.0,14:25:10
7310.0,5000,-210.0,0.0,SD,209600.0,590300.0,False,-40.0,14:25:10
7350.0,100,-170.0,0.0,SD,209600.0,585300.0,False,0.0,14:25:10
7350.0,1000,-170.0,0.0,SD,209600.0,585200.0,False,0.0,14:25:10
