p,v,cp,rcp,a,ba,sa,hl,pcp,t
16350.0,261000,-100.0,0.0,,804200.0,2130300.0,False,50.0,14:45:02
16300.0,500,-150.0,0.0,BU,804200.0,2130300.0,False,0.0,14:29:53
16300.0,500,-150.0,0.0,BU,803700.0,2130300.0,False,0.0,14:29:50
16300.0,500,-150.0,0.0,BU,803200.0,2130300.0,False,0.0,14:29:50
16300.0,1000,-150.0,0.0,BU,802700.0,2130300.0,False,0.0,14:29:43
16300.0,1700,-150.0,0.0,BU,801700.0,2130300.0,False,0.0,14:29:18
16300.0,100,-150.0,0.0,BU,800000.0,2130300.0,False,0.0,14:29:09
16300.0,100,-150.0,0.0,BU,799900.0,2130300.0,False,0.0,14:29:05
16300.0,5000,-150.0,0.0,SD,799800.0,2130300.0,False,0.0,14:28:45
16300.0,200,-150.0,0.0,SD,799800.0,2125300.0,False,0.0,14:28:45
16300.0,600,-150.0,0.0,SD,799800.0,2125100.0,False,0.0,14:28:45
16300.0,1300,-150.0,0.0,SD,799800.0,2124500.0,False,0.0,14:28:45
16300.0,500,-150.0,0.0,SD,799800.0,2123200.0,False,0.0,14:28:45
16300.0,1000,-150.0,0.0,SD,799800.0,2122700.0,False,0.0,14:28:22
16300.0,100,-150.0,0.0,SD,799800.0,2121700.0,False,0.0,14:28:20
16300.0,200,-150.0,0.0,SD,799800.0,2121600.0,False,0.0,14:28:20
16300.0,1700,-150.0,0.0,SD,799800.0,2121400.0,False,0.0,14:28:20
16300.0,10000,-150.0,0.0,BU,799800.0,2119700.0,False,0.0,14:28:18
16300.0,8300,-150.0,0.0,BU,789800.0,2119700.0,False,0.0,14:28:07
16300.0,400,-150.0,0.0,BU,781500.0,2119700.0,False,0.0,14:28:07
16300.0,1000,-150.0,0.0,BU,781100.0,2119700.0,False,0.0,14:28:07
16300.0,300,-150.0,0.0,BU,780100.0,2119700.0,False,50.0,14:28:07
16250.0,1700,-200.0,0.0,SD,779800.0,2119700.0,False,0.0,14:27:21
16250.0,1300,-200.0,0.0,SD,779800.0,2118000.0,False,-50.0,14:27:21
16300.0,100,-150.0,0.0,BU,779800.0,2116700.0,False,50.0,14:27:16
16250.0,300,-200.0,0.0,SD,779700.0,2116700.0,False,0.0,14:27:11
16250.0,400,-200.0,0.0,SD,779700.0,2116400.0,False,0.0,14:27:07
16250.0,100,-200.0,0.0,SD,779700.0,2116000.0,False,50.0,14:27:07
16200.0,200,-250.0,0.0,SD,779700.0,2115900.0,False,0.0,14:25:58
16200.0,700,-250.0,0.0,SD,779700.0,2115700.0,False,-50.0,14:25:58
