p,v,cp,rcp,a,ba,sa,hl,pcp,t
69700.0,8700,500.0,0.0,,33000.0,35500.0,False,100.0,14:45:01
69600.0,100,400.0,0.0,BU,33000.0,35500.0,False,0.0,14:27:12
69600.0,100,400.0,0.0,BU,32900.0,35500.0,False,400.0,14:27:12
69200.0,200,0.0,0.0,BU,32800.0,35500.0,False,0.0,14:27:12
69200.0,100,0.0,0.0,SD,32600.0,35500.0,False,0.0,14:24:34
69200.0,200,0.0,0.0,SD,32600.0,35400.0,False,0.0,14:24:34
69200.0,100,0.0,0.0,SD,32600.0,35200.0,False,0.0,14:24:34
69200.0,200,0.0,0.0,SD,32600.0,35100.0,False,0.0,14:24:34
69200.0,100,0.0,0.0,SD,32600.0,34900.0,False,0.0,14:23:00
69200.0,100,0.0,0.0,SD,32600.0,34800.0,False,0.0,14:22:12
69200.0,100,0.0,0.0,SD,32600.0,34700.0,False,0.0,14:22:12
69200.0,200,0.0,0.0,SD,32600.0,34600.0,False,0.0,14:22:12
69200.0,200,0.0,0.0,SD,32600.0,34400.0,False,0.0,14:22:12
69200.0,100,0.0,0.0,SD,32600.0,34200.0,False,0.0,14:22:12
69200.0,200,0.0,0.0,SD,32600.0,34100.0,False,0.0,14:22:12
69200.0,200,0.0,0.0,SD,32600.0,33900.0,False,0.0,14:22:12
69200.0,200,0.0,0.0,SD,32600.0,33700.0,False,0.0,14:22:11
69200.0,100,0.0,0.0,SD,32600.0,33500.0,False,-100.0,14:22:11
69300.0,200,100.0,0.0,SD,32600.0,33400.0,False,0.0,14:22:11
69300.0,100,100.0,0.0,SD,32600.0,33200.0,False,0.0,14:22:11
69300.0,300,100.0,0.0,SD,32600.0,33100.0,False,-300.0,14:22:11
69600.0,100,400.0,0.0,BU,32600.0,32800.0,False,0.0,14:21:12
69600.0,200,400.0,0.0,SD,32500.0,32800.0,False,0.0,14:20:20
69600.0,100,400.0,0.0,SD,32500.0,32600.0,False,0.0,14:20:20
69600.0,200,400.0,0.0,SD,32500.0,32500.0,False,0.0,14:20:20
69600.0,100,400.0,0.0,SD,32500.0,32300.0,False,0.0,14:20:20
69600.0,200,400.0,0.0,SD,32500.0,32200.0,False,0.0,14:20:20
69600.0,200,400.0,0.0,SD,32500.0,32000.0,False,0.0,14:20:20
69600.0,100,400.0,0.0,SD,32500.0,31800.0,False,0.0,14:20:20
69600.0,200,400.0,0.0,SD,32500.0,31700.0,False,0.0,14:20:20
69600.0,200,400.0,0.0,SD,32500.0,31500.0,False,0.0,14:20:20
