p,v,cp,rcp,a,ba,sa,hl,pcp,t
8400.0,100,0.0,0.0,,4400.0,36800.0,False,100.0,14:45:02
8300.0,1000,-100.0,0.0,BU,4400.0,36800.0,False,0.0,14:29:10
8300.0,400,-100.0,0.0,BU,3400.0,36800.0,False,0.0,14:21:13
8300.0,200,-100.0,0.0,SD,3000.0,36800.0,False,0.0,14:20:16
8300.0,2000,-100.0,0.0,SD,3000.0,36600.0,False,0.0,14:15:43
8300.0,1000,-100.0,0.0,SD,3000.0,34600.0,False,0.0,13:56:37
8300.0,1000,-100.0,0.0,SD,3000.0,33600.0,False,0.0,13:37:51
8300.0,4200,-100.0,0.0,SD,3000.0,32600.0,False,0.0,13:34:28
8300.0,1000,-100.0,0.0,SD,3000.0,28400.0,False,0.0,13:08:02
8300.0,500,-100.0,0.0,SD,3000.0,27400.0,False,0.0,11:21:11
8300.0,2000,-100.0,0.0,SD,3000.0,26900.0,False,0.0,11:01:32
8300.0,2000,-100.0,0.0,SD,3000.0,24900.0,False,100.0,10:44:49
8200.0,900,-200.0,0.0,SD,3000.0,22900.0,False,-100.0,10:38:00
8300.0,1000,-100.0,0.0,BU,3000.0,22000.0,False,0.0,10:37:51
8300.0,300,-100.0,0.0,BU,2000.0,22000.0,False,0.0,10:37:35
8300.0,1700,-100.0,0.0,BU,1700.0,22000.0,False,0.0,10:35:16
8300.0,12000,-100.0,0.0,SD,0.0,22000.0,False,0.0,10:28:47
8300.0,10000,-100.0,0.0,SD,0.0,10000.0,False,0.0,09:57:19
