p,v,cp,rcp,a,ba,sa,hl,pcp,t
13900.0,12300,-300.0,0.0,,203000.0,14600.0,False,-100.0,14:45:02
14000.0,200,-200.0,0.0,SD,203000.0,14600.0,False,0.0,14:24:22
14000.0,200,-200.0,0.0,SD,203000.0,14400.0,False,0.0,14:22:50
14000.0,600,-200.0,0.0,SD,203000.0,14200.0,False,0.0,14:15:23
14000.0,1000,-200.0,0.0,BU,203000.0,13600.0,False,0.0,14:14:01
14000.0,500,-200.0,0.0,SD,202000.0,13600.0,False,0.0,14:11:53
14000.0,100,-200.0,0.0,SD,202000.0,13100.0,False,0.0,14:11:53
14000.0,200,-200.0,0.0,SD,202000.0,13000.0,False,0.0,14:11:53
14000.0,100,-200.0,0.0,SD,202000.0,12800.0,False,0.0,14:11:53
14000.0,2000,-200.0,0.0,SD,202000.0,12700.0,False,-50.0,14:11:53
14050.0,300,-150.0,0.0,SD,202000.0,10700.0,False,0.0,14:11:53
14100.0,1200,-100.0,0.0,SD,196000.0,10400.0,False,0.0,14:01:51
14100.0,700,-100.0,0.0,SD,196000.0,9200.0,False,0.0,14:01:51
14100.0,200,-100.0,0.0,SD,193600.0,8500.0,False,0.0,13:30:45
14100.0,1500,-100.0,0.0,BU,193600.0,8300.0,False,0.0,11:10:16
14100.0,500,-100.0,0.0,SD,192100.0,8300.0,False,0.0,10:37:29
14100.0,200,-100.0,0.0,SD,192100.0,7800.0,False,0.0,10:37:29
14100.0,1000,-100.0,0.0,SD,192100.0,7600.0,False,0.0,10:37:29
14100.0,800,-100.0,0.0,SD,192100.0,6600.0,False,0.0,10:37:29
14100.0,300,-100.0,0.0,SD,192100.0,5800.0,False,0.0,10:06:34
14100.0,200,-100.0,0.0,SD,192100.0,5500.0,False,-50.0,10:03:51
14150.0,200,-50.0,0.0,SD,192100.0,5300.0,False,0.0,09:57:04
14150.0,1300,-50.0,0.0,SD,192100.0,5100.0,False,0.0,09:57:04
14150.0,192000,-50.0,0.0,BU,192100.0,3800.0,True,-50.0,09:44:39
14200.0,100,0.0,0.0,BU,100.0,3800.0,False,100.0,09:22:23
14100.0,1800,-100.0,0.0,SD,0.0,3800.0,False,0.0,09:19:05
14100.0,2000,-100.0,0.0,SD,0.0,2000.0,False,0.0,09:18:05
