p,v,cp,rcp,a,ba,sa,hl,pcp,t
26500.0,100,-400.0,0.0,BU,18600.0,13900.0,False,0.0,14:54:00
26500.0,100,-400.0,0.0,BU,18500.0,13900.0,False,100.0,14:48:54
26400.0,100,-500.0,0.0,SD,18400.0,13900.0,False,-100.0,14:48:46
26500.0,100,-400.0,0.0,BU,18400.0,13800.0,False,0.0,14:47:15
26500.0,100,-400.0,0.0,BU,18300.0,13800.0,False,0.0,14:47:11
26500.0,300,-400.0,0.0,BU,18200.0,13800.0,False,0.0,14:43:58
26500.0,100,-400.0,0.0,SD,17900.0,13800.0,False,0.0,14:38:55
26500.0,200,-400.0,0.0,SD,17900.0,13700.0,False,0.0,14:38:09
26500.0,1000,-400.0,0.0,SD,17900.0,13500.0,False,100.0,14:22:49
26400.0,1800,-500.0,0.0,SD,17900.0,12500.0,False,-100.0,13:58:55
26500.0,2600,-400.0,0.0,SD,17900.0,10700.0,False,0.0,13:53:32
26500.0,2400,-400.0,0.0,SD,17900.0,8100.0,False,-100.0,13:44:27
26600.0,500,-300.0,0.0,BU,17900.0,5700.0,False,0.0,13:43:46
26600.0,5000,-300.0,0.0,BU,17400.0,5700.0,False,0.0,13:39:40
26600.0,700,-300.0,0.0,BU,12400.0,5700.0,False,-100.0,13:38:36
26700.0,2700,-200.0,0.0,BU,11700.0,5700.0,False,0.0,13:34:00
26700.0,2000,-200.0,0.0,SD,9000.0,5700.0,False,-100.0,13:20:05
26800.0,1900,-100.0,0.0,BU,9000.0,3700.0,False,-100.0,13:19:27
26900.0,2000,0.0,0.0,BU,7100.0,3700.0,False,0.0,13:18:32
26900.0,2200,0.0,0.0,BU,5100.0,3700.0,False,-100.0,13:16:46
27000.0,600,100.0,0.0,BU,2900.0,3700.0,False,-300.0,13:15:16
27300.0,200,400.0,0.0,BU,2300.0,3700.0,False,300.0,13:10:54
27000.0,100,100.0,0.0,SD,2100.0,3700.0,False,-300.0,13:10:32
27300.0,100,400.0,0.0,BU,2100.0,3600.0,False,400.0,13:10:30
26900.0,400,0.0,0.0,SD,2000.0,3600.0,False,0.0,11:25:43
26900.0,1800,0.0,0.0,SD,2000.0,3200.0,False,-100.0,10:28:24
27000.0,400,100.0,0.0,SD,2000.0,1400.0,False,0.0,10:02:56
27000.0,600,100.0,0.0,SD,2000.0,1000.0,False,0.0,10:01:33
27000.0,400,100.0,0.0,SD,2000.0,400.0,False,-400.0,09:58:11
27400.0,100,500.0,0.0,BU,2000.0,0.0,False,200.0,09:54:03
27200.0,200,300.0,0.0,BU,1900.0,0.0,False,-100.0,09:53:35
27300.0,200,400.0,0.0,BU,1700.0,0.0,False,-100.0,09:52:54
27400.0,400,500.0,0.0,BU,1500.0,0.0,False,100.0,09:50:48
27300.0,100,400.0,0.0,BU,1100.0,0.0,False,0.0,09:35:04
27300.0,100,400.0,0.0,BU,1000.0,0.0,False,-100.0,09:34:02
27400.0,100,500.0,0.0,BU,900.0,0.0,False,300.0,09:15:55
27100.0,200,200.0,0.0,BU,800.0,0.0,False,0.0,09:15:29
27100.0,200,200.0,0.0,BU,600.0,0.0,False,0.0,09:14:25
27100.0,200,200.0,0.0,BU,400.0,0.0,False,0.0,09:13:11
27100.0,100,200.0,0.0,BU,200.0,0.0,False,0.0,09:09:37
27100.0,100,200.0,0.0,BU,100.0,0.0,False,0.0,09:04:38
