p,v,cp,rcp,a,ba,sa,hl,pcp,t
29900.0,100,-600.0,0.0,BU,6700.0,22100.0,False,800.0,14:54:29
29100.0,400,-1400.0,0.0,BU,6600.0,22100.0,False,0.0,14:51:44
29100.0,3000,-1400.0,0.0,SD,6200.0,22100.0,False,-800.0,14:48:45
29900.0,100,-600.0,0.0,BU,6200.0,19100.0,False,0.0,14:44:54
29900.0,100,-600.0,0.0,BU,6100.0,19100.0,False,800.0,14:36:27
29100.0,2100,-1400.0,0.0,SD,6000.0,19100.0,False,0.0,14:29:43
29100.0,4000,-1400.0,0.0,SD,6000.0,17000.0,False,-800.0,14:23:11
29900.0,200,-600.0,0.0,BU,6000.0,13000.0,False,-100.0,14:13:58
30000.0,100,-500.0,0.0,BU,5800.0,13000.0,False,100.0,14:07:23
29900.0,1300,-600.0,0.0,BU,5700.0,13000.0,False,800.0,14:04:35
29100.0,8500,-1400.0,0.0,SD,4400.0,13000.0,True,-300.0,13:39:01
29400.0,600,-1100.0,0.0,BU,4400.0,4500.0,False,0.0,13:23:50
29400.0,300,-1100.0,0.0,BU,3800.0,4500.0,False,0.0,13:22:25
29400.0,600,-1100.0,0.0,BU,3500.0,4500.0,False,0.0,13:22:04
29400.0,400,-1100.0,0.0,SD,2900.0,4500.0,False,-100.0,13:21:33
29500.0,600,-1000.0,0.0,SD,2900.0,4100.0,False,0.0,13:21:25
29500.0,2000,-1000.0,0.0,SD,2900.0,3500.0,False,-100.0,13:21:11
29600.0,100,-900.0,0.0,BU,2900.0,1500.0,False,0.0,13:21:00
29600.0,900,-900.0,0.0,SD,2800.0,1500.0,False,-400.0,13:19:41
30000.0,200,-500.0,0.0,SD,2800.0,600.0,False,-200.0,13:17:57
30200.0,300,-300.0,0.0,BU,2800.0,400.0,False,100.0,13:01:41
30100.0,800,-400.0,0.0,BU,2500.0,400.0,False,100.0,13:01:26
30000.0,200,-500.0,0.0,BU,1700.0,400.0,False,0.0,11:29:38
30000.0,200,-500.0,0.0,BU,1500.0,400.0,False,0.0,11:28:39
30000.0,300,-500.0,0.0,BU,1300.0,400.0,False,0.0,11:27:07
30000.0,200,-500.0,0.0,BU,1000.0,400.0,False,0.0,10:58:14
30000.0,300,-500.0,0.0,BU,800.0,400.0,False,-400.0,10:56:19
30400.0,400,-100.0,0.0,BU,500.0,400.0,False,-100.0,10:56:03
30500.0,100,0.0,0.0,BU,100.0,400.0,False,0.0,10:41:38
30500.0,400,0.0,0.0,SD,0.0,400.0,False,0.0,10:35:31
