p,v,cp,rcp,a,ba,sa,hl,pcp,t
5100.0,100,100.0,0.0,BU,2500.0,5700.0,False,100.0,13:06:32
5000.0,500,0.0,0.0,SD,2400.0,5700.0,False,0.0,11:17:18
5000.0,500,0.0,0.0,SD,2400.0,5200.0,False,0.0,11:02:29
5000.0,1000,0.0,0.0,BU,2400.0,4700.0,False,100.0,10:59:02
4900.0,2000,-100.0,0.0,SD,1400.0,4700.0,False,-100.0,10:04:33
5000.0,1200,0.0,0.0,SD,1400.0,2700.0,False,-100.0,09:47:54
5100.0,200,100.0,0.0,BU,1400.0,1500.0,False,100.0,09:41:44
5000.0,1500,0.0,0.0,SD,1200.0,1500.0,False,-100.0,09:33:27
5100.0,500,100.0,0.0,BU,1200.0,0.0,False,0.0,09:26:41
5100.0,300,100.0,0.0,BU,700.0,0.0,False,0.0,09:15:40
5100.0,400,100.0,0.0,BU,400.0,0.0,False,0.0,09:13:27
