p,v,cp,rcp,a,ba,sa,hl,pcp,t
27100.0,100,0.0,0.0,SD,1100.0,1800.0,False,0.0,14:30:26
27100.0,100,0.0,0.0,SD,1100.0,1700.0,False,-100.0,14:30:02
27200.0,300,100.0,0.0,BU,900.0,1600.0,False,0.0,13:34:08
27200.0,100,100.0,0.0,SD,600.0,1600.0,False,-100.0,13:03:44
27300.0,100,200.0,0.0,BU,600.0,1500.0,False,100.0,10:10:13
27200.0,100,100.0,0.0,SD,500.0,1500.0,False,200.0,10:08:49
27000.0,100,-100.0,0.0,SD,500.0,1400.0,False,0.0,09:42:53
27000.0,100,-100.0,0.0,SD,500.0,1300.0,False,-300.0,09:42:39
27300.0,1200,200.0,0.0,SD,500.0,1200.0,False,-100.0,09:01:27
27400.0,500,300.0,0.0,BU,500.0,0.0,False,0.0,09:01:02
