p,v,cp,rcp,a,ba,sa,hl,pcp,t
23450.0,38500,650.0,0.0,,415800.0,285600.0,False,-150.0,14:45:02
23600.0,200,800.0,0.0,BU,415800.0,285600.0,False,0.0,14:29:20
23600.0,700,800.0,0.0,BU,415600.0,285600.0,False,150.0,14:29:20
23450.0,500,650.0,0.0,BU,414900.0,285600.0,False,0.0,14:29:20
23450.0,300,650.0,0.0,BU,414400.0,285600.0,False,0.0,14:28:56
23450.0,3300,650.0,0.0,BU,414100.0,285600.0,False,0.0,14:28:52
23450.0,900,650.0,0.0,BU,410800.0,285600.0,False,50.0,14:28:02
23400.0,100,600.0,0.0,BU,409900.0,285600.0,False,150.0,14:28:02
23250.0,1000,450.0,0.0,BU,409800.0,285600.0,False,200.0,14:26:00
23050.0,100,250.0,0.0,SD,408800.0,285600.0,False,-50.0,14:25:34
23100.0,1000,300.0,0.0,SD,408800.0,285500.0,False,50.0,14:25:34
23050.0,300,250.0,0.0,SD,408800.0,284500.0,False,-50.0,14:25:34
23100.0,1700,300.0,0.0,SD,408800.0,284200.0,False,-100.0,14:25:34
23200.0,1000,400.0,0.0,SD,408800.0,282500.0,False,0.0,14:25:34
23200.0,900,400.0,0.0,SD,408800.0,281500.0,False,0.0,14:25:34
23200.0,100,400.0,0.0,BU,408800.0,280600.0,False,-50.0,14:25:15
23250.0,100,450.0,0.0,SD,408700.0,280600.0,False,150.0,14:24:56
23100.0,1000,300.0,0.0,SD,408700.0,280500.0,False,0.0,14:24:54
23100.0,1400,300.0,0.0,SD,408700.0,279500.0,False,-150.0,14:24:54
23250.0,3100,450.0,0.0,SD,408700.0,278100.0,False,-50.0,14:24:54
23300.0,500,500.0,0.0,SD,408700.0,275000.0,False,-100.0,14:24:54
23400.0,200,600.0,0.0,BU,408700.0,274500.0,False,0.0,14:24:44
23400.0,200,600.0,0.0,BU,408500.0,274500.0,False,0.0,14:24:44
23400.0,4600,600.0,0.0,BU,408300.0,274500.0,False,300.0,14:24:44
23100.0,5900,300.0,0.0,SD,403700.0,274500.0,False,-100.0,14:24:41
23200.0,800,400.0,0.0,SD,403700.0,268600.0,False,0.0,14:24:41
23200.0,2000,400.0,0.0,SD,403700.0,267800.0,False,0.0,14:24:41
23200.0,1300,400.0,0.0,SD,403700.0,265800.0,False,0.0,14:24:41
23200.0,1000,400.0,0.0,SD,403700.0,264500.0,False,-150.0,14:24:32
23350.0,1000,550.0,0.0,BU,403700.0,263500.0,False,50.0,14:24:29
23300.0,1000,500.0,0.0,BU,402700.0,263500.0,False,-50.0,14:24:24
23350.0,1000,550.0,0.0,BU,401700.0,263500.0,False,100.0,14:24:22
23250.0,500,450.0,0.0,SD,400700.0,263500.0,False,0.0,14:23:54
23250.0,1000,450.0,0.0,SD,400700.0,263000.0,False,50.0,14:23:43
23200.0,700,400.0,0.0,SD,400700.0,262000.0,False,0.0,14:22:37
23200.0,2000,400.0,0.0,SD,400700.0,261300.0,False,0.0,14:22:37
23200.0,1000,400.0,0.0,SD,400700.0,259300.0,False,-150.0,14:22:37
23350.0,1300,550.0,0.0,SD,400700.0,258300.0,False,0.0,14:22:37
23350.0,100,550.0,0.0,SD,400700.0,257000.0,False,0.0,14:22:35
23350.0,500,550.0,0.0,SD,400700.0,256900.0,False,0.0,14:22:29
23350.0,100,550.0,0.0,SD,400700.0,256400.0,False,-50.0,14:22:28
23400.0,100,600.0,0.0,SD,400700.0,256300.0,False,0.0,14:22:11
23400.0,100,600.0,0.0,SD,400700.0,256200.0,False,0.0,14:22:11
23400.0,200,600.0,0.0,SD,400700.0,256100.0,False,-200.0,14:22:10
23600.0,700,800.0,0.0,BU,400700.0,255900.0,False,100.0,14:21:43
23500.0,300,700.0,0.0,BU,400000.0,255900.0,False,100.0,14:21:43
23400.0,300,600.0,0.0,SD,399700.0,255900.0,False,0.0,14:21:37
23400.0,2500,600.0,0.0,SD,399700.0,255600.0,False,-100.0,14:21:29
23500.0,1000,700.0,0.0,SD,399700.0,253100.0,False,0.0,14:21:19
23500.0,1000,700.0,0.0,SD,399700.0,252100.0,False,0.0,14:21:19
23500.0,1700,700.0,0.0,SD,399700.0,251100.0,False,0.0,14:21:19
23500.0,1000,700.0,0.0,SD,399700.0,249400.0,False,-100.0,14:21:19
