p,v,cp,rcp,a,ba,sa,hl,pcp,t
19250.0,378700,50.0,0.0,,1816600.0,3267400.0,False,100.0,14:45:01
19150.0,1000,-50.0,0.0,SD,1816600.0,3267400.0,False,-50.0,14:29:53
19200.0,5200,0.0,0.0,BU,1816600.0,3266400.0,False,0.0,14:29:46
19200.0,100,0.0,0.0,BU,1811400.0,3266400.0,False,0.0,14:29:46
19200.0,100,0.0,0.0,BU,1811300.0,3266400.0,False,0.0,14:29:46
19200.0,400,0.0,0.0,BU,1811200.0,3266400.0,False,0.0,14:29:46
19200.0,200,0.0,0.0,BU,1810800.0,3266400.0,False,0.0,14:29:46
19200.0,1000,0.0,0.0,BU,1810600.0,3266400.0,False,0.0,14:29:46
19200.0,3000,0.0,0.0,BU,1809600.0,3266400.0,False,0.0,14:29:46
19200.0,100,0.0,0.0,BU,1806600.0,3266400.0,False,0.0,14:29:46
19200.0,2000,0.0,0.0,BU,1806500.0,3266400.0,False,0.0,14:29:46
19200.0,500,0.0,0.0,BU,1804500.0,3266400.0,False,0.0,14:29:46
19200.0,7400,0.0,0.0,BU,1804000.0,3266400.0,False,50.0,14:29:46
19150.0,500,-50.0,0.0,SD,1796600.0,3266400.0,False,0.0,14:29:39
19150.0,1000,-50.0,0.0,SD,1796600.0,3265900.0,False,0.0,14:29:39
19150.0,10800,-50.0,0.0,SD,1796600.0,3264900.0,True,0.0,14:29:39
19150.0,500,-50.0,0.0,BU,1796600.0,3254100.0,False,0.0,14:29:29
19150.0,500,-50.0,0.0,BU,1796100.0,3254100.0,False,0.0,14:29:26
19150.0,400,-50.0,0.0,BU,1795600.0,3254100.0,False,0.0,14:29:16
19150.0,1000,-50.0,0.0,BU,1795200.0,3254100.0,False,0.0,14:29:12
19150.0,5000,-50.0,0.0,BU,1794200.0,3254100.0,False,0.0,14:29:08
19150.0,1800,-50.0,0.0,BU,1789200.0,3254100.0,False,0.0,14:29:02
19150.0,200,-50.0,0.0,BU,1787400.0,3254100.0,False,50.0,14:29:02
19100.0,9200,-100.0,0.0,BU,1787200.0,3254100.0,False,0.0,14:28:56
19100.0,5000,-100.0,0.0,SD,1778000.0,3254100.0,False,0.0,14:28:51
19100.0,5000,-100.0,0.0,SD,1778000.0,3249100.0,False,-100.0,14:28:51
19200.0,2000,0.0,0.0,BU,1778000.0,3244100.0,False,0.0,14:28:40
19200.0,5100,0.0,0.0,BU,1776000.0,3244100.0,False,50.0,14:28:40
19150.0,800,-50.0,0.0,BU,1770900.0,3244100.0,False,-50.0,14:28:40
19200.0,4000,0.0,0.0,BU,1770100.0,3244100.0,False,100.0,14:27:45
19100.0,2000,-100.0,0.0,BU,1766100.0,3244100.0,False,-50.0,14:27:45
19150.0,10000,-50.0,0.0,BU,1764100.0,3244100.0,False,0.0,14:27:45
19150.0,1000,-50.0,0.0,BU,1754100.0,3244100.0,False,0.0,14:27:45
19150.0,100,-50.0,0.0,BU,1753100.0,3244100.0,False,0.0,14:27:45
19150.0,200,-50.0,0.0,BU,1753000.0,3244100.0,False,50.0,14:27:45
19100.0,100,-100.0,0.0,BU,1752800.0,3244100.0,False,0.0,14:27:45
19100.0,500,-100.0,0.0,BU,1752700.0,3244100.0,False,0.0,14:27:45
19100.0,100,-100.0,0.0,BU,1752200.0,3244100.0,False,0.0,14:27:45
