p,v,cp,rcp,a,ba,sa,hl,pcp,t
5360.0,188700,-60.0,0.0,,1116900.0,2126300.0,False,-20.0,14:45:03
5380.0,2000,-40.0,0.0,BU,1116900.0,2126300.0,False,0.0,14:29:54
5380.0,100,-40.0,0.0,BU,1114900.0,2126300.0,False,0.0,14:29:53
5380.0,1100,-40.0,0.0,BU,1114800.0,2126300.0,False,0.0,14:29:52
5380.0,1800,-40.0,0.0,BU,1113700.0,2126300.0,False,0.0,14:29:51
5380.0,100,-40.0,0.0,BU,1111900.0,2126300.0,False,0.0,14:29:49
5380.0,200,-40.0,0.0,BU,1111800.0,2126300.0,False,10.0,14:29:36
5370.0,6600,-50.0,0.0,BU,1111600.0,2126300.0,False,0.0,14:29:24
5370.0,500,-50.0,0.0,BU,1105000.0,2126300.0,False,0.0,14:29:24
5370.0,2000,-50.0,0.0,BU,1104500.0,2126300.0,False,0.0,14:29:16
5370.0,1000,-50.0,0.0,BU,1102500.0,2126300.0,False,0.0,14:29:15
5370.0,1000,-50.0,0.0,BU,1101500.0,2126300.0,False,0.0,14:29:06
5370.0,900,-50.0,0.0,SD,1100500.0,2126300.0,False,0.0,14:29:01
5370.0,600,-50.0,0.0,SD,1100500.0,2125400.0,False,-10.0,14:29:01
5380.0,2000,-40.0,0.0,BU,1100500.0,2124800.0,False,0.0,14:28:54
5380.0,200,-40.0,0.0,BU,1098500.0,2124800.0,False,0.0,14:28:46
5380.0,200,-40.0,0.0,BU,1098300.0,2124800.0,False,0.0,14:28:39
5380.0,500,-40.0,0.0,BU,1098100.0,2124800.0,False,0.0,14:28:36
5380.0,1000,-40.0,0.0,BU,1097600.0,2124800.0,False,0.0,14:28:31
5380.0,1000,-40.0,0.0,BU,1096600.0,2124800.0,False,10.0,14:28:31
5370.0,400,-50.0,0.0,SD,1095600.0,2124800.0,False,-10.0,14:28:13
5380.0,1000,-40.0,0.0,SD,1095600.0,2124400.0,False,0.0,14:28:09
5380.0,1100,-40.0,0.0,SD,1095600.0,2123400.0,False,0.0,14:28:09
5380.0,100,-40.0,0.0,SD,1095600.0,2122300.0,False,0.0,14:27:58
5380.0,100,-40.0,0.0,SD,1095600.0,2122200.0,False,0.0,14:27:58
5380.0,200,-40.0,0.0,BU,1095600.0,2122100.0,False,0.0,14:27:16
5380.0,100,-40.0,0.0,BU,1095400.0,2122100.0,False,20.0,14:27:12
5360.0,100,-60.0,0.0,SD,1095300.0,2122100.0,False,0.0,14:26:32
5360.0,400,-60.0,0.0,SD,1095300.0,2122000.0,False,10.0,14:26:31
5350.0,5000,-70.0,0.0,SD,1095300.0,2121600.0,False,0.0,14:26:13
5350.0,3200,-70.0,0.0,SD,1095300.0,2116600.0,False,0.0,14:26:13
5350.0,2000,-70.0,0.0,BU,1095300.0,2113400.0,False,10.0,14:26:11
5340.0,100,-80.0,0.0,SD,1093300.0,2113400.0,False,-10.0,14:26:08
5350.0,1800,-70.0,0.0,BU,1093300.0,2113300.0,False,0.0,14:26:07
5350.0,800,-70.0,0.0,BU,1091500.0,2113300.0,False,0.0,14:26:07
5350.0,17400,-70.0,0.0,BU,1090700.0,2113300.0,False,0.0,14:26:07
5350.0,500,-70.0,0.0,BU,1073300.0,2113300.0,False,0.0,14:26:07
5350.0,500,-70.0,0.0,BU,1072800.0,2113300.0,False,10.0,14:26:07
5340.0,38800,-80.0,0.0,SD,1072300.0,2113300.0,True,0.0,14:26:07
5340.0,2000,-80.0,0.0,SD,1072300.0,2074500.0,False,0.0,14:26:07
5340.0,500,-80.0,0.0,SD,1072300.0,2072500.0,False,0.0,14:26:07
5340.0,100,-80.0,0.0,SD,1072300.0,2072000.0,False,0.0,14:26:07
5340.0,10000,-80.0,0.0,SD,1072300.0,2071900.0,False,0.0,14:26:07
5340.0,500,-80.0,0.0,SD,1072300.0,2061900.0,False,0.0,14:26:07
5340.0,10000,-80.0,0.0,SD,1072300.0,2061400.0,False,0.0,14:26:07
5340.0,400,-80.0,0.0,SD,1072300.0,2051400.0,False,0.0,14:26:07
5340.0,100,-80.0,0.0,SD,1072300.0,2051000.0,False,0.0,14:26:07
5340.0,1000,-80.0,0.0,SD,1072300.0,2050900.0,False,0.0,14:26:07
5340.0,500,-80.0,0.0,SD,1072300.0,2049900.0,False,0.0,14:26:07
5340.0,100,-80.0,0.0,SD,1072300.0,2049400.0,False,0.0,14:26:07
5340.0,3000,-80.0,0.0,SD,1072300.0,2049300.0,False,-10.0,14:26:07
5350.0,100,-70.0,0.0,BU,1072300.0,2046300.0,False,0.0,14:26:05
5350.0,1500,-70.0,0.0,BU,1072200.0,2046300.0,False,0.0,14:25:54
5350.0,1000,-70.0,0.0,BU,1070700.0,2046300.0,False,0.0,14:25:54
5350.0,2500,-70.0,0.0,BU,1069700.0,2046300.0,False,0.0,14:25:54
5350.0,500,-70.0,0.0,BU,1067200.0,2046300.0,False,10.0,14:25:46
5340.0,3400,-80.0,0.0,SD,1066700.0,2046300.0,False,0.0,14:25:42
5340.0,800,-80.0,0.0,SD,1066700.0,2042900.0,False,0.0,14:25:25
5340.0,2700,-80.0,0.0,BU,1066700.0,2042100.0,False,0.0,14:25:21
5340.0,100,-80.0,0.0,BU,1064000.0,2042100.0,False,10.0,14:25:21
5330.0,4500,-90.0,0.0,SD,1063900.0,2042100.0,False,0.0,14:25:08
5330.0,1200,-90.0,0.0,SD,1063900.0,2037600.0,False,10.0,14:24:39
5320.0,13400,-100.0,0.0,SD,1063900.0,2036400.0,False,0.0,14:24:39
5320.0,100,-100.0,0.0,BU,1063900.0,2023000.0,False,0.0,14:24:36
5320.0,10000,-100.0,0.0,BU,1063800.0,2023000.0,False,0.0,14:24:35
5320.0,400,-100.0,0.0,BU,1053800.0,2023000.0,False,0.0,14:24:34
5320.0,1000,-100.0,0.0,BU,1053400.0,2023000.0,False,0.0,14:24:29
5320.0,2000,-100.0,0.0,BU,1052400.0,2023000.0,False,0.0,14:24:26
5320.0,300,-100.0,0.0,BU,1050400.0,2023000.0,False,0.0,14:24:23
5320.0,400,-100.0,0.0,SD,1050100.0,2023000.0,False,0.0,14:24:23
5320.0,2000,-100.0,0.0,SD,1050100.0,2022600.0,False,0.0,14:24:23
5320.0,400,-100.0,0.0,SD,1050100.0,2020600.0,False,-10.0,14:24:23
5330.0,500,-90.0,0.0,SD,1050100.0,2020200.0,False,-10.0,14:24:19
5340.0,100,-80.0,0.0,BU,1050100.0,2019700.0,False,20.0,14:24:16
5320.0,1600,-100.0,0.0,SD,1050000.0,2019700.0,False,0.0,14:24:14
5320.0,5000,-100.0,0.0,SD,1050000.0,2018100.0,False,0.0,14:24:14
5320.0,1000,-100.0,0.0,SD,1050000.0,2013100.0,False,0.0,14:24:13
5320.0,4400,-100.0,0.0,SD,1050000.0,2012100.0,False,-10.0,14:24:13
5330.0,500,-90.0,0.0,SD,1050000.0,2007700.0,False,-10.0,14:24:13
5340.0,500,-80.0,0.0,BU,1050000.0,2007200.0,False,0.0,14:24:07
5340.0,100,-80.0,0.0,BU,1049500.0,2007200.0,False,20.0,14:24:06
5320.0,600,-100.0,0.0,SD,1049400.0,2007200.0,False,0.0,14:24:00
5320.0,3000,-100.0,0.0,SD,1049400.0,2006600.0,False,0.0,14:24:00
5320.0,1400,-100.0,0.0,SD,1049400.0,2003600.0,False,-10.0,14:24:00
5330.0,1000,-90.0,0.0,SD,1049400.0,2002200.0,False,-10.0,14:23:59
5340.0,100,-80.0,0.0,BU,1049400.0,2001200.0,False,0.0,14:23:55
5340.0,100,-80.0,0.0,BU,1049300.0,2001200.0,False,0.0,14:23:45
5340.0,600,-80.0,0.0,BU,1049200.0,2001200.0,False,-10.0,14:23:45
5350.0,500,-70.0,0.0,BU,1048600.0,2001200.0,False,10.0,14:23:42
5340.0,300,-80.0,0.0,SD,1048100.0,2001200.0,False,-10.0,14:23:32
5350.0,1500,-70.0,0.0,BU,1048100.0,2000900.0,False,0.0,14:23:30
