p,v,cp,rcp,a,ba,sa,hl,pcp,t
37200.0,3200,-1200.0,0.0,,1300.0,1800.0,False,-100.0,14:45:02
37300.0,1200,-1100.0,0.0,SD,1300.0,1800.0,False,-600.0,14:02:34
37900.0,300,-500.0,0.0,SD,1300.0,600.0,False,700.0,13:06:57
37200.0,100,-1200.0,0.0,SD,1300.0,300.0,False,-700.0,13:01:05
37900.0,900,-500.0,0.0,BU,1300.0,200.0,False,-200.0,11:21:14
38100.0,100,-300.0,0.0,BU,400.0,200.0,False,100.0,11:07:32
38000.0,100,-400.0,0.0,BU,300.0,200.0,False,-100.0,11:06:43
38100.0,100,-300.0,0.0,BU,200.0,200.0,False,-100.0,11:00:59
38200.0,100,-200.0,0.0,BU,100.0,200.0,False,0.0,10:17:59
38200.0,200,-200.0,0.0,SD,0.0,200.0,False,0.0,10:04:00
