p,v,cp,rcp,a,ba,sa,hl,pcp,t
14600.0,10200,-200.0,0.0,,83900.0,137000.0,False,-100.0,14:45:02
14700.0,2000,-100.0,0.0,SD,83900.0,137000.0,False,0.0,14:29:17
14700.0,5000,-100.0,0.0,SD,83900.0,135000.0,False,100.0,14:29:12
14600.0,400,-200.0,0.0,BU,83900.0,130000.0,False,100.0,14:28:12
14500.0,11900,-300.0,0.0,SD,83500.0,130000.0,False,-100.0,14:28:06
14600.0,100,-200.0,0.0,BU,83500.0,118100.0,False,100.0,14:25:35
14500.0,1200,-300.0,0.0,SD,83400.0,118100.0,False,-100.0,14:25:28
14600.0,100,-200.0,0.0,BU,83400.0,116900.0,False,0.0,14:22:31
14600.0,300,-200.0,0.0,BU,83300.0,116900.0,False,0.0,14:22:23
14600.0,200,-200.0,0.0,BU,83000.0,116900.0,False,100.0,14:21:56
14500.0,3000,-300.0,0.0,SD,82800.0,116900.0,False,-100.0,14:21:25
14600.0,100,-200.0,0.0,BU,82800.0,113900.0,False,0.0,14:21:16
14600.0,200,-200.0,0.0,BU,82700.0,113900.0,False,0.0,14:21:01
14600.0,13100,-200.0,0.0,BU,82500.0,113900.0,False,-100.0,14:18:41
14700.0,100,-100.0,0.0,BU,69400.0,113900.0,False,0.0,14:12:43
14700.0,2300,-100.0,0.0,BU,69300.0,113900.0,False,0.0,14:11:39
14700.0,100,-100.0,0.0,BU,67000.0,113900.0,False,0.0,14:09:56
14700.0,100,-100.0,0.0,BU,66900.0,113900.0,False,0.0,14:09:53
14700.0,100,-100.0,0.0,BU,66800.0,113900.0,False,0.0,14:09:51
14700.0,100,-100.0,0.0,BU,66700.0,113900.0,False,0.0,14:09:49
14700.0,100,-100.0,0.0,BU,66600.0,113900.0,False,100.0,14:09:47
14600.0,22300,-200.0,0.0,SD,66500.0,113900.0,True,0.0,13:56:10
14600.0,100,-200.0,0.0,SD,66500.0,91600.0,False,0.0,13:55:36
14600.0,2300,-200.0,0.0,SD,66500.0,91500.0,False,-100.0,13:53:32
14700.0,500,-100.0,0.0,BU,66500.0,89200.0,False,0.0,13:49:58
14700.0,3000,-100.0,0.0,BU,66000.0,89200.0,False,0.0,13:49:50
14700.0,3000,-100.0,0.0,BU,63000.0,89200.0,False,0.0,13:48:52
14700.0,1200,-100.0,0.0,BU,60000.0,89200.0,False,0.0,13:42:30
14700.0,200,-100.0,0.0,BU,58800.0,89200.0,False,0.0,13:32:39
14700.0,200,-100.0,0.0,BU,58600.0,89200.0,False,0.0,13:32:20
14700.0,1500,-100.0,0.0,BU,58400.0,89200.0,False,0.0,13:31:39
14700.0,1000,-100.0,0.0,BU,56900.0,89200.0,False,0.0,13:25:21
14700.0,6400,-100.0,0.0,BU,55900.0,89200.0,False,0.0,13:23:17
14700.0,2100,-100.0,0.0,SD,49500.0,89200.0,False,-100.0,13:19:07
14800.0,200,0.0,0.0,BU,49500.0,87100.0,False,100.0,13:14:24
14700.0,500,-100.0,0.0,SD,49300.0,87100.0,False,-100.0,13:06:30
14800.0,200,0.0,0.0,BU,49300.0,86600.0,False,0.0,13:00:04
14800.0,200,0.0,0.0,BU,49100.0,86600.0,False,0.0,11:27:32
14800.0,1000,0.0,0.0,BU,48900.0,86600.0,False,0.0,11:27:31
14800.0,500,0.0,0.0,BU,47900.0,86600.0,False,0.0,11:27:24
14800.0,2000,0.0,0.0,BU,47400.0,86600.0,False,0.0,11:25:23
14800.0,1000,0.0,0.0,BU,45400.0,86600.0,False,0.0,11:25:12
14800.0,10000,0.0,0.0,BU,44400.0,86600.0,False,0.0,11:24:58
14800.0,1500,0.0,0.0,BU,34400.0,86600.0,False,0.0,11:23:19
14800.0,300,0.0,0.0,BU,32900.0,86600.0,False,0.0,11:12:12
14800.0,100,0.0,0.0,BU,32600.0,86600.0,False,0.0,11:12:08
