p,v,cp,rcp,a,ba,sa,hl,pcp,t
27000.0,10400,900.0,0.0,,326500.0,140100.0,False,0.0,14:45:02
27000.0,100,900.0,0.0,BU,326500.0,140100.0,False,150.0,14:29:19
26850.0,100,750.0,0.0,BU,326400.0,140100.0,False,0.0,14:29:09
26850.0,2600,750.0,0.0,BU,326300.0,140100.0,False,50.0,14:28:57
26800.0,200,700.0,0.0,SD,323700.0,140100.0,False,0.0,14:27:42
26800.0,700,700.0,0.0,SD,323700.0,139900.0,False,0.0,14:27:42
26800.0,100,700.0,0.0,BU,323700.0,139200.0,False,0.0,14:27:26
26800.0,600,700.0,0.0,BU,323600.0,139200.0,False,100.0,14:26:50
26700.0,100,600.0,0.0,SD,323000.0,139200.0,False,0.0,14:26:17
26700.0,1300,600.0,0.0,BU,323000.0,139100.0,False,50.0,14:25:58
26650.0,100,550.0,0.0,BU,321700.0,139100.0,False,0.0,14:25:26
26650.0,400,550.0,0.0,BU,321600.0,139100.0,False,0.0,14:25:19
26650.0,1000,550.0,0.0,BU,321200.0,139100.0,False,50.0,14:25:18
26600.0,100,500.0,0.0,SD,320200.0,139100.0,False,0.0,14:25:15
26600.0,500,500.0,0.0,SD,320200.0,139000.0,False,0.0,14:25:15
26600.0,1500,500.0,0.0,SD,320200.0,138500.0,False,0.0,14:25:15
26600.0,400,500.0,0.0,SD,320200.0,137000.0,False,-50.0,14:25:01
26650.0,100,550.0,0.0,BU,320200.0,136600.0,False,0.0,14:24:48
26650.0,2000,550.0,0.0,BU,320100.0,136600.0,False,0.0,14:23:39
26650.0,3000,550.0,0.0,BU,318100.0,136600.0,False,0.0,14:23:39
26650.0,1500,550.0,0.0,SD,315100.0,136600.0,False,-50.0,14:23:13
26700.0,500,600.0,0.0,SD,315100.0,135100.0,False,0.0,14:22:53
26700.0,1000,600.0,0.0,SD,315100.0,134600.0,False,0.0,14:22:53
26700.0,200,600.0,0.0,SD,315100.0,133600.0,False,0.0,14:22:53
26700.0,500,600.0,0.0,SD,315100.0,133400.0,False,0.0,14:22:53
26700.0,1500,600.0,0.0,SD,315100.0,132900.0,False,0.0,14:22:53
26700.0,3000,600.0,0.0,SD,315100.0,131400.0,False,-50.0,14:22:53
26750.0,300,650.0,0.0,SD,315100.0,128400.0,False,50.0,14:22:53
26700.0,1000,600.0,0.0,SD,315100.0,128100.0,False,-50.0,14:22:53
26750.0,100,650.0,0.0,SD,315100.0,127100.0,False,0.0,14:22:53
26750.0,200,650.0,0.0,SD,315100.0,127000.0,False,0.0,14:22:53
26750.0,400,650.0,0.0,SD,315100.0,126800.0,False,-50.0,14:22:53
26800.0,200,700.0,0.0,SD,315100.0,126400.0,False,0.0,14:21:53
26800.0,100,700.0,0.0,SD,315100.0,126200.0,False,0.0,14:21:44
26800.0,100,700.0,0.0,SD,315100.0,126100.0,False,0.0,14:21:44
26800.0,200,700.0,0.0,SD,315100.0,126000.0,False,0.0,14:21:44
26800.0,200,700.0,0.0,SD,315100.0,125800.0,False,0.0,14:21:44
26800.0,400,700.0,0.0,SD,315100.0,125600.0,False,0.0,14:21:44
26800.0,100,700.0,0.0,SD,315100.0,125200.0,False,0.0,14:21:08
26800.0,100,700.0,0.0,SD,315100.0,125100.0,False,0.0,14:21:08
26800.0,100,700.0,0.0,SD,315100.0,125000.0,False,0.0,14:21:08
26800.0,1000,700.0,0.0,SD,315100.0,124900.0,False,-50.0,14:21:08
26850.0,2300,750.0,0.0,BU,315100.0,123900.0,False,0.0,14:20:50
26850.0,700,750.0,0.0,SD,312800.0,123900.0,False,0.0,14:20:34
26850.0,2000,750.0,0.0,SD,312800.0,123200.0,False,-50.0,14:20:34
26900.0,500,800.0,0.0,BU,312800.0,121200.0,False,50.0,14:20:34
26850.0,1000,750.0,0.0,SD,312300.0,121200.0,False,0.0,14:20:34
26850.0,1000,750.0,0.0,SD,312300.0,120200.0,False,0.0,14:20:34
26850.0,500,750.0,0.0,SD,312300.0,119200.0,False,-50.0,14:20:34
26900.0,500,800.0,0.0,SD,312300.0,118700.0,False,0.0,14:20:18
26900.0,500,800.0,0.0,SD,312300.0,118200.0,False,0.0,14:20:18
26900.0,500,800.0,0.0,SD,312300.0,117700.0,False,0.0,14:19:51
26900.0,500,800.0,0.0,SD,312300.0,117200.0,False,0.0,14:19:51
26900.0,500,800.0,0.0,SD,312300.0,116700.0,False,0.0,14:19:37
26900.0,400,800.0,0.0,SD,312300.0,116200.0,False,-100.0,14:19:37
27000.0,500,900.0,0.0,SD,312300.0,115800.0,False,-150.0,14:19:37
27150.0,100,1050.0,0.0,BU,312300.0,115300.0,False,100.0,14:18:50
27050.0,500,950.0,0.0,SD,312200.0,115300.0,False,-50.0,14:18:47
27100.0,200,1000.0,0.0,BU,312200.0,114800.0,False,0.0,14:15:43
27100.0,100,1000.0,0.0,BU,312000.0,114800.0,False,0.0,14:15:10
27100.0,700,1000.0,0.0,BU,311900.0,114800.0,False,0.0,14:14:51
27100.0,300,1000.0,0.0,BU,311200.0,114800.0,False,0.0,14:14:51
27100.0,100,1000.0,0.0,BU,310900.0,114800.0,False,200.0,14:13:57
26900.0,500,800.0,0.0,SD,310800.0,114800.0,False,0.0,14:13:45
26900.0,100,800.0,0.0,SD,310800.0,114300.0,False,-200.0,14:13:34
27100.0,100,1000.0,0.0,BU,310800.0,114200.0,False,100.0,14:12:42
27000.0,500,900.0,0.0,BU,310700.0,114200.0,False,100.0,14:11:31
26900.0,300,800.0,0.0,BU,310200.0,114200.0,False,50.0,14:10:02
27200.0,200,1100.0,0.0,SD,300600.0,95100.0,False,0.0,13:58:12
27200.0,200,1100.0,0.0,SD,300600.0,94900.0,False,-50.0,13:58:12
27250.0,200,1150.0,0.0,BU,300600.0,94700.0,False,0.0,13:55:51
27250.0,100,1150.0,0.0,BU,300400.0,94700.0,False,50.0,13:55:51
27200.0,100,1100.0,0.0,SD,300300.0,94700.0,False,0.0,13:54:59
27150.0,100,1050.0,0.0,BU,298100.0,94300.0,False,0.0,13:48:24
27150.0,400,1050.0,0.0,BU,298000.0,94300.0,False,0.0,13:48:19
27150.0,300,1050.0,0.0,BU,297600.0,94300.0,False,0.0,13:46:25
27150.0,500,1050.0,0.0,BU,297300.0,94300.0,False,0.0,13:45:08
27150.0,200,1050.0,0.0,BU,296800.0,94300.0,False,0.0,13:44:33
27150.0,200,1050.0,0.0,BU,296600.0,94300.0,False,0.0,13:44:33
27150.0,3600,1050.0,0.0,BU,296400.0,94300.0,False,0.0,13:44:33
27150.0,100,1050.0,0.0,BU,292800.0,94300.0,False,0.0,13:43:41
27150.0,1300,1050.0,0.0,SD,292700.0,94300.0,False,0.0,13:42:56
27150.0,500,1050.0,0.0,SD,292700.0,93000.0,False,0.0,13:42:26
27150.0,1300,1050.0,0.0,SD,292700.0,92500.0,False,0.0,13:42:26
27150.0,600,1050.0,0.0,SD,292700.0,91200.0,False,0.0,13:42:23
27150.0,100,1050.0,0.0,SD,292700.0,90600.0,False,0.0,13:42:23
27150.0,300,1050.0,0.0,SD,292700.0,90500.0,False,0.0,13:41:55
27150.0,500,1050.0,0.0,SD,292700.0,90200.0,False,0.0,13:41:55
27150.0,400,1050.0,0.0,SD,292700.0,89700.0,False,0.0,13:41:47
27150.0,100,1050.0,0.0,SD,292700.0,89300.0,False,0.0,13:41:47
27150.0,1600,1050.0,0.0,SD,292700.0,89200.0,False,0.0,13:41:16
27150.0,3000,1050.0,0.0,SD,292700.0,87600.0,False,-50.0,13:41:16
27200.0,200,1100.0,0.0,BU,292700.0,84600.0,False,0.0,13:40:29
27200.0,300,1100.0,0.0,BU,292500.0,84600.0,False,0.0,13:40:29
27200.0,700,1100.0,0.0,BU,292200.0,84600.0,False,0.0,13:40:09
27200.0,1000,1100.0,0.0,BU,291500.0,84600.0,False,0.0,13:40:09
27200.0,500,1100.0,0.0,BU,290500.0,84600.0,False,0.0,13:40:09
27200.0,200,1100.0,0.0,BU,290000.0,84600.0,False,0.0,13:40:09
27200.0,1200,1100.0,0.0,BU,289800.0,84600.0,False,0.0,13:40:09
27200.0,100,1100.0,0.0,BU,288600.0,84600.0,False,0.0,13:39:13
27150.0,300,1050.0,0.0,BU,303700.0,96500.0,False,0.0,14:04:42
27150.0,100,1050.0,0.0,BU,303400.0,96500.0,False,0.0,14:04:42
27150.0,1200,1050.0,0.0,BU,303300.0,96500.0,False,-50.0,14:04:42
27200.0,1000,1100.0,0.0,BU,302100.0,96500.0,False,0.0,14:00:37
27200.0,500,1100.0,0.0,BU,301100.0,96500.0,False,0.0,14:00:37
27200.0,1000,1100.0,0.0,SD,300600.0,96500.0,False,0.0,13:59:29
27200.0,200,1100.0,0.0,SD,300600.0,95500.0,False,0.0,13:59:23
27200.0,100,1100.0,0.0,SD,300600.0,95300.0,False,0.0,13:58:44
27200.0,100,1100.0,0.0,SD,300600.0,95200.0,False,0.0,13:58:44
27200.0,200,1100.0,0.0,SD,300600.0,95100.0,False,0.0,13:58:12
27200.0,200,1100.0,0.0,SD,300600.0,94900.0,False,-50.0,13:58:12
27250.0,200,1150.0,0.0,BU,300600.0,94700.0,False,0.0,13:55:51
27250.0,100,1150.0,0.0,BU,300400.0,94700.0,False,50.0,13:55:51
27200.0,100,1100.0,0.0,SD,300300.0,94700.0,False,0.0,13:54:59
27200.0,500,1100.0,0.0,BU,300300.0,94600.0,False,0.0,13:53:08
27200.0,1000,1100.0,0.0,BU,299800.0,94600.0,False,0.0,13:53:08
27200.0,200,1100.0,0.0,BU,298800.0,94600.0,False,0.0,13:53:08
27200.0,300,1100.0,0.0,BU,298600.0,94600.0,False,50.0,13:53:08
27150.0,200,1050.0,0.0,BU,298300.0,94600.0,False,0.0,13:50:20
27150.0,300,1050.0,0.0,SD,298100.0,94600.0,False,0.0,13:49:23
27150.0,100,1050.0,0.0,BU,298100.0,94300.0,False,0.0,13:48:24
27150.0,400,1050.0,0.0,BU,298000.0,94300.0,False,0.0,13:48:19
27150.0,300,1050.0,0.0,BU,297600.0,94300.0,False,0.0,13:46:25
27150.0,500,1050.0,0.0,BU,297300.0,94300.0,False,0.0,13:45:08
27150.0,200,1050.0,0.0,BU,296800.0,94300.0,False,0.0,13:44:33
27150.0,200,1050.0,0.0,BU,296600.0,94300.0,False,0.0,13:44:33
27150.0,3600,1050.0,0.0,BU,296400.0,94300.0,False,0.0,13:44:33
27150.0,100,1050.0,0.0,BU,292800.0,94300.0,False,0.0,13:43:41
27150.0,1300,1050.0,0.0,SD,292700.0,94300.0,False,0.0,13:42:56
27150.0,500,1050.0,0.0,SD,292700.0,93000.0,False,0.0,13:42:26
27150.0,1300,1050.0,0.0,SD,292700.0,92500.0,False,0.0,13:42:26
27150.0,600,1050.0,0.0,SD,292700.0,91200.0,False,0.0,13:42:23
27150.0,100,1050.0,0.0,SD,292700.0,90600.0,False,0.0,13:42:23
27150.0,300,1050.0,0.0,SD,292700.0,90500.0,False,0.0,13:41:55
27150.0,500,1050.0,0.0,SD,292700.0,90200.0,False,0.0,13:41:55
27150.0,400,1050.0,0.0,SD,292700.0,89700.0,False,0.0,13:41:47
27150.0,100,1050.0,0.0,SD,292700.0,89300.0,False,0.0,13:41:47
27150.0,1600,1050.0,0.0,SD,292700.0,89200.0,False,0.0,13:41:16
27150.0,3000,1050.0,0.0,SD,292700.0,87600.0,False,-50.0,13:41:16
27200.0,200,1100.0,0.0,BU,292700.0,84600.0,False,0.0,13:40:29
27200.0,300,1100.0,0.0,BU,292500.0,84600.0,False,0.0,13:40:29
27200.0,700,1100.0,0.0,BU,292200.0,84600.0,False,0.0,13:40:09
27200.0,1000,1100.0,0.0,BU,291500.0,84600.0,False,0.0,13:40:09
27200.0,500,1100.0,0.0,BU,290500.0,84600.0,False,0.0,13:40:09
27200.0,200,1100.0,0.0,BU,290000.0,84600.0,False,0.0,13:40:09
27200.0,1200,1100.0,0.0,BU,289800.0,84600.0,False,0.0,13:40:09
