p,v,cp,rcp,a,ba,sa,hl,pcp,t
28800.0,547700,0.0,0.0,,10205500.0,9353000.0,False,-150.0,14:45:03
28950.0,100,150.0,0.0,SD,10205500.0,9353000.0,False,0.0,14:29:55
28950.0,2700,150.0,0.0,SD,10205500.0,9352900.0,False,-50.0,14:29:55
29000.0,300,200.0,0.0,BU,10205500.0,9350200.0,False,0.0,14:29:55
29000.0,500,200.0,0.0,BU,10205200.0,9350200.0,False,0.0,14:29:55
29000.0,200,200.0,0.0,BU,10204700.0,9350200.0,False,0.0,14:29:55
29000.0,2400,200.0,0.0,BU,10204500.0,9350200.0,False,0.0,14:29:55
29000.0,500,200.0,0.0,BU,10202100.0,9350200.0,False,0.0,14:29:55
29000.0,4100,200.0,0.0,BU,10201600.0,9350200.0,False,50.0,14:29:55
28950.0,2300,150.0,0.0,SD,10197500.0,9350200.0,False,0.0,14:29:54
28950.0,600,150.0,0.0,SD,10197500.0,9347900.0,False,0.0,14:29:54
28950.0,100,150.0,0.0,SD,10197500.0,9347300.0,False,-50.0,14:29:54
29000.0,1000,200.0,0.0,BU,10197500.0,9347200.0,False,0.0,14:29:51
29000.0,4900,200.0,0.0,BU,10196500.0,9347200.0,False,0.0,14:29:50
29000.0,7100,200.0,0.0,BU,10191600.0,9347200.0,True,50.0,14:29:50
28950.0,300,150.0,0.0,SD,10184500.0,9347200.0,False,-50.0,14:29:46
29000.0,500,200.0,0.0,BU,10184500.0,9346900.0,False,0.0,14:29:44
29000.0,100,200.0,0.0,BU,10184000.0,9346900.0,False,0.0,14:29:43
29000.0,1000,200.0,0.0,BU,10183900.0,9346900.0,False,0.0,14:29:41
29000.0,300,200.0,0.0,SD,10182900.0,9346900.0,False,0.0,14:29:40
29000.0,1000,200.0,0.0,SD,10182900.0,9346600.0,False,0.0,14:29:40
29000.0,500,200.0,0.0,SD,10182900.0,9345600.0,False,0.0,14:29:38
29000.0,3200,200.0,0.0,SD,10182900.0,9345100.0,False,0.0,14:29:38
29000.0,1000,200.0,0.0,SD,10182900.0,9341900.0,False,0.0,14:29:38
29000.0,200,200.0,0.0,BU,10182900.0,9340900.0,False,0.0,14:29:37
29000.0,300,200.0,0.0,BU,10182700.0,9340900.0,False,0.0,14:29:37
29000.0,2000,200.0,0.0,BU,10182400.0,9340900.0,False,0.0,14:29:37
29000.0,200,200.0,0.0,BU,10180400.0,9340900.0,False,0.0,14:29:37
29000.0,2000,200.0,0.0,BU,10180200.0,9340900.0,False,0.0,14:29:37
29000.0,100,200.0,0.0,BU,10178200.0,9340900.0,False,0.0,14:29:35
29000.0,500,200.0,0.0,SD,10178100.0,9340900.0,False,0.0,14:29:29
29000.0,2700,200.0,0.0,SD,10178100.0,9340400.0,False,0.0,14:29:29
29000.0,5000,200.0,0.0,SD,10178100.0,9337700.0,False,0.0,14:29:25
29000.0,300,200.0,0.0,SD,10178100.0,9332700.0,False,0.0,14:29:25
29000.0,1000,200.0,0.0,SD,10178100.0,9332400.0,False,0.0,14:29:19
29000.0,100,200.0,0.0,SD,10178100.0,9331400.0,False,0.0,14:29:19
29000.0,200,200.0,0.0,SD,10178100.0,9331300.0,False,0.0,14:29:19
29000.0,500,200.0,0.0,SD,10178100.0,9331100.0,False,0.0,14:29:19
29000.0,200,200.0,0.0,BU,10178100.0,9330600.0,False,0.0,14:29:19
29000.0,400,200.0,0.0,BU,10177900.0,9330600.0,False,0.0,14:29:19
29000.0,1000,200.0,0.0,BU,10177500.0,9330600.0,False,0.0,14:29:19
29000.0,100,200.0,0.0,BU,10176500.0,9330600.0,False,0.0,14:29:19
29000.0,2000,200.0,0.0,BU,10176400.0,9330600.0,False,0.0,14:29:19
29000.0,5000,200.0,0.0,BU,10174400.0,9330600.0,False,0.0,14:29:19
29000.0,1000,200.0,0.0,BU,10169400.0,9330600.0,False,0.0,14:29:19
29000.0,300,200.0,0.0,BU,10168400.0,9330600.0,False,0.0,14:29:19
29000.0,7500,200.0,0.0,BU,10168100.0,9330600.0,True,0.0,14:29:19
29000.0,200,200.0,0.0,BU,10160600.0,9330600.0,False,0.0,14:29:16
29000.0,1000,200.0,0.0,BU,10160400.0,9330600.0,False,0.0,14:29:12
29000.0,1300,200.0,0.0,BU,10159400.0,9330600.0,False,0.0,14:29:12
29000.0,100,200.0,0.0,BU,10158100.0,9330600.0,False,0.0,14:29:12
29000.0,1100,200.0,0.0,BU,10158000.0,9330600.0,False,0.0,14:29:12
29000.0,1000,200.0,0.0,BU,10156900.0,9330600.0,False,0.0,14:29:11
29000.0,400,200.0,0.0,BU,10155900.0,9330600.0,False,50.0,14:29:08
28950.0,100,150.0,0.0,SD,10155500.0,9330600.0,False,-50.0,14:29:06
29000.0,1000,200.0,0.0,BU,10155500.0,9330500.0,False,0.0,14:29:03
29000.0,300,200.0,0.0,BU,10154500.0,9330500.0,False,0.0,14:29:02
29000.0,16200,200.0,0.0,BU,10154200.0,9330500.0,True,0.0,14:29:02
29000.0,100,200.0,0.0,BU,10138000.0,9330500.0,False,0.0,14:29:02
29000.0,3000,200.0,0.0,BU,10137900.0,9330500.0,False,0.0,14:29:02
29000.0,700,200.0,0.0,BU,10134900.0,9330500.0,False,0.0,14:29:02
29000.0,300,200.0,0.0,BU,10134200.0,9330500.0,False,0.0,14:29:01
29000.0,300,200.0,0.0,BU,10133900.0,9330500.0,False,0.0,14:28:59
29000.0,4700,200.0,0.0,BU,10133600.0,9330500.0,False,0.0,14:28:55
29000.0,300,200.0,0.0,BU,10128900.0,9330500.0,False,0.0,14:28:55
29000.0,200,200.0,0.0,BU,10128600.0,9330500.0,False,0.0,14:28:55
29000.0,100,200.0,0.0,BU,10128400.0,9330500.0,False,0.0,14:28:55
29000.0,4000,200.0,0.0,BU,10128300.0,9330500.0,False,50.0,14:28:55
28950.0,700,150.0,0.0,BU,10124300.0,9330500.0,False,100.0,14:28:55
28850.0,400,50.0,0.0,SD,10123600.0,9330500.0,False,0.0,14:28:54
28850.0,700,50.0,0.0,SD,10123600.0,9330100.0,False,0.0,14:28:53
28850.0,400,50.0,0.0,SD,10123600.0,9329400.0,False,-100.0,14:28:53
28950.0,100,150.0,0.0,BU,10123600.0,9329000.0,False,50.0,14:28:53
28900.0,100,100.0,0.0,BU,10123500.0,9329000.0,False,-50.0,14:28:53
28950.0,200,150.0,0.0,BU,10123400.0,9329000.0,False,100.0,14:28:52
28850.0,100,50.0,0.0,SD,10123200.0,9329000.0,False,-150.0,14:28:50
29000.0,200,200.0,0.0,BU,10123200.0,9328900.0,False,0.0,14:28:47
29000.0,500,200.0,0.0,BU,10123000.0,9328900.0,False,0.0,14:28:47
29000.0,2000,200.0,0.0,BU,10122500.0,9328900.0,False,0.0,14:28:47
29000.0,200,200.0,0.0,BU,10120500.0,9328900.0,False,0.0,14:28:47
29000.0,500,200.0,0.0,BU,10120300.0,9328900.0,False,0.0,14:28:44
29000.0,300,200.0,0.0,BU,10119800.0,9328900.0,False,0.0,14:28:44
29000.0,100,200.0,0.0,BU,10119500.0,9328900.0,False,0.0,14:28:44
29000.0,100,200.0,0.0,BU,10119400.0,9328900.0,False,0.0,14:28:44
29000.0,500,200.0,0.0,BU,10119300.0,9328900.0,False,0.0,14:28:44
29000.0,100,200.0,0.0,BU,10118800.0,9328900.0,False,0.0,14:28:44
29000.0,2000,200.0,0.0,BU,10118700.0,9328900.0,False,0.0,14:28:43
29000.0,200,200.0,0.0,BU,10116700.0,9328900.0,False,0.0,14:28:43
29000.0,300,200.0,0.0,BU,10116500.0,9328900.0,False,0.0,14:28:43
29000.0,1000,200.0,0.0,BU,10116200.0,9328900.0,False,0.0,14:28:43
29000.0,100,200.0,0.0,BU,10115200.0,9328900.0,False,0.0,14:28:43
29000.0,3200,200.0,0.0,BU,10115100.0,9328900.0,False,0.0,14:28:43
29000.0,12000,200.0,0.0,BU,10111900.0,9328900.0,True,0.0,14:28:43
29000.0,900,200.0,0.0,BU,10099900.0,9328900.0,False,0.0,14:28:43
29000.0,8000,200.0,0.0,BU,10099000.0,9328900.0,True,0.0,14:28:43
29000.0,5000,200.0,0.0,BU,10091000.0,9328900.0,False,0.0,14:28:43
29000.0,6000,200.0,0.0,BU,10086000.0,9328900.0,False,0.0,14:28:43
29000.0,2000,200.0,0.0,BU,10080000.0,9328900.0,False,0.0,14:28:43
29000.0,8200,200.0,0.0,BU,10078000.0,9328900.0,True,200.0,14:28:43
28800.0,200,0.0,0.0,SD,10069800.0,9328900.0,False,-200.0,14:28:34
29000.0,300,200.0,0.0,BU,10069800.0,9328700.0,False,0.0,14:28:33
29000.0,1000,200.0,0.0,BU,10069500.0,9328700.0,False,0.0,14:28:33
29000.0,1000,200.0,0.0,BU,10068500.0,9328700.0,False,200.0,14:28:33
28800.0,1000,0.0,0.0,SD,10067500.0,9328700.0,False,0.0,14:28:30
