p,v,cp,rcp,a,ba,sa,hl,pcp,t
18600.0,85700,-500.0,0.0,,523400.0,885100.0,False,-200.0,14:45:03
18800.0,3600,-300.0,0.0,BU,523400.0,885100.0,False,0.0,14:29:39
18800.0,5000,-300.0,0.0,BU,519800.0,885100.0,False,0.0,14:29:39
18800.0,3900,-300.0,0.0,BU,514800.0,885100.0,False,100.0,14:29:39
18700.0,4000,-400.0,0.0,BU,510900.0,885100.0,False,0.0,14:29:39
18700.0,900,-400.0,0.0,BU,506900.0,885100.0,False,0.0,14:29:39
18700.0,400,-400.0,0.0,BU,506000.0,885100.0,False,0.0,14:29:39
18700.0,200,-400.0,0.0,BU,505600.0,885100.0,False,50.0,14:29:39
18650.0,800,-450.0,0.0,BU,505400.0,885100.0,False,0.0,14:29:39
18650.0,200,-450.0,0.0,SD,504600.0,885100.0,False,0.0,14:29:35
18650.0,200,-450.0,0.0,SD,504600.0,884900.0,False,100.0,14:29:35
18550.0,4800,-550.0,0.0,BU,504600.0,884700.0,False,0.0,14:29:32
18550.0,1000,-550.0,0.0,SD,499800.0,884700.0,False,0.0,14:29:31
18550.0,1000,-550.0,0.0,SD,499800.0,883700.0,False,-50.0,14:29:31
18600.0,2000,-500.0,0.0,SD,499800.0,882700.0,False,0.0,14:29:31
18600.0,200,-500.0,0.0,SD,499800.0,880700.0,False,0.0,14:29:31
18600.0,100,-500.0,0.0,SD,499800.0,880500.0,False,0.0,14:29:31
18600.0,100,-500.0,0.0,SD,499800.0,880400.0,False,0.0,14:29:31
18600.0,1000,-500.0,0.0,SD,499800.0,880300.0,False,-50.0,14:29:31
18650.0,200,-450.0,0.0,SD,499800.0,879300.0,False,0.0,14:29:31
18650.0,100,-450.0,0.0,SD,499800.0,879100.0,False,-50.0,14:29:31
18700.0,100,-400.0,0.0,BU,499800.0,879000.0,False,0.0,14:29:25
18700.0,200,-400.0,0.0,BU,499700.0,879000.0,False,50.0,14:29:14
18650.0,2300,-450.0,0.0,BU,499500.0,879000.0,False,50.0,14:29:14
18600.0,4000,-500.0,0.0,SD,497200.0,879000.0,False,0.0,14:29:13
18600.0,1000,-500.0,0.0,SD,497200.0,875000.0,False,-50.0,14:29:13
18650.0,100,-450.0,0.0,BU,497200.0,874000.0,False,0.0,14:29:12
18650.0,100,-450.0,0.0,BU,497100.0,874000.0,False,0.0,14:29:09
18650.0,200,-450.0,0.0,BU,497000.0,874000.0,False,0.0,14:29:07
18650.0,500,-450.0,0.0,BU,496800.0,874000.0,False,0.0,14:29:01
18650.0,600,-450.0,0.0,BU,496300.0,874000.0,False,0.0,14:29:00
18650.0,100,-450.0,0.0,BU,495700.0,874000.0,False,0.0,14:28:58
18650.0,200,-450.0,0.0,BU,495600.0,874000.0,False,0.0,14:28:57
18650.0,500,-450.0,0.0,BU,495400.0,874000.0,False,0.0,14:28:56
18650.0,400,-450.0,0.0,BU,494900.0,874000.0,False,0.0,14:28:54
18650.0,100,-450.0,0.0,BU,494500.0,874000.0,False,0.0,14:28:54
18650.0,300,-450.0,0.0,BU,494400.0,874000.0,False,0.0,14:28:54
18650.0,200,-450.0,0.0,BU,494100.0,874000.0,False,0.0,14:28:54
18650.0,100,-450.0,0.0,BU,493900.0,874000.0,False,0.0,14:28:53
18650.0,2700,-450.0,0.0,BU,493800.0,874000.0,False,0.0,14:28:50
18650.0,300,-450.0,0.0,BU,491100.0,874000.0,False,0.0,14:28:50
18650.0,1000,-450.0,0.0,BU,490800.0,874000.0,False,0.0,14:28:47
18650.0,100,-450.0,0.0,BU,489800.0,874000.0,False,0.0,14:28:46
18650.0,1000,-450.0,0.0,BU,489700.0,874000.0,False,0.0,14:28:39
18650.0,100,-450.0,0.0,BU,488700.0,874000.0,False,0.0,14:28:36
18650.0,100,-450.0,0.0,BU,488600.0,874000.0,False,0.0,14:28:32
18650.0,1000,-450.0,0.0,BU,488500.0,874000.0,False,0.0,14:28:32
18650.0,100,-450.0,0.0,BU,487500.0,874000.0,False,0.0,14:28:25
18650.0,100,-450.0,0.0,BU,487400.0,874000.0,False,0.0,14:28:19
18650.0,100,-450.0,0.0,BU,487300.0,874000.0,False,0.0,14:28:14
18650.0,1000,-450.0,0.0,BU,487200.0,874000.0,False,0.0,14:28:14
18650.0,500,-450.0,0.0,BU,486200.0,874000.0,False,100.0,14:28:09
18550.0,300,-550.0,0.0,SD,485700.0,874000.0,False,-50.0,14:28:02
18600.0,200,-500.0,0.0,SD,485700.0,873700.0,False,0.0,14:28:02
18600.0,500,-500.0,0.0,SD,485700.0,873500.0,False,-50.0,14:28:02
18650.0,800,-450.0,0.0,BU,485700.0,873000.0,False,0.0,14:27:53
18650.0,600,-450.0,0.0,BU,484900.0,873000.0,False,0.0,14:27:47
18650.0,100,-450.0,0.0,BU,484300.0,873000.0,False,0.0,14:27:35
18650.0,500,-450.0,0.0,BU,484200.0,873000.0,False,0.0,14:27:28
18650.0,2000,-450.0,0.0,BU,483700.0,873000.0,False,0.0,14:27:11
18650.0,600,-450.0,0.0,BU,481700.0,873000.0,False,100.0,14:26:30
18550.0,6000,-550.0,0.0,BU,481100.0,873000.0,False,50.0,14:26:30
18500.0,300,-600.0,0.0,BU,475100.0,873000.0,False,0.0,14:26:30
18500.0,200,-600.0,0.0,BU,474800.0,873000.0,False,0.0,14:26:30
18500.0,6300,-600.0,0.0,BU,474600.0,873000.0,False,0.0,14:26:30
18500.0,1000,-600.0,0.0,BU,468300.0,873000.0,False,0.0,14:26:24
18500.0,200,-600.0,0.0,BU,467300.0,873000.0,False,0.0,14:26:24
18500.0,100,-600.0,0.0,BU,467100.0,873000.0,False,0.0,14:26:22
18500.0,200,-600.0,0.0,BU,467000.0,873000.0,False,0.0,14:26:21
18500.0,100,-600.0,0.0,BU,466800.0,873000.0,False,0.0,14:26:19
18500.0,1000,-600.0,0.0,BU,466700.0,873000.0,False,0.0,14:26:15
18500.0,2000,-600.0,0.0,BU,465700.0,873000.0,False,0.0,14:26:10
18500.0,900,-600.0,0.0,BU,463700.0,873000.0,False,0.0,14:26:03
18500.0,1000,-600.0,0.0,BU,462800.0,873000.0,False,0.0,14:26:03
18500.0,100,-600.0,0.0,BU,461800.0,873000.0,False,150.0,14:26:03
18350.0,300,-750.0,0.0,SD,461700.0,873000.0,False,0.0,14:25:57
18350.0,100,-750.0,0.0,SD,461700.0,872700.0,False,0.0,14:25:57
18350.0,100,-750.0,0.0,SD,461700.0,872600.0,False,0.0,14:25:57
18350.0,300,-750.0,0.0,BU,461700.0,872500.0,False,0.0,14:25:45
18350.0,100,-750.0,0.0,BU,461400.0,872500.0,False,0.0,14:25:43
18350.0,2000,-750.0,0.0,BU,461300.0,872500.0,False,0.0,14:25:42
18350.0,400,-750.0,0.0,BU,459300.0,872500.0,False,0.0,14:25:40
18350.0,500,-750.0,0.0,BU,458900.0,872500.0,False,0.0,14:25:40
18350.0,1000,-750.0,0.0,BU,458400.0,872500.0,False,0.0,14:25:31
18350.0,300,-750.0,0.0,BU,457400.0,872500.0,False,0.0,14:25:28
18350.0,200,-750.0,0.0,BU,457100.0,872500.0,False,0.0,14:25:26
18350.0,500,-750.0,0.0,BU,456900.0,872500.0,False,0.0,14:25:24
18350.0,700,-750.0,0.0,BU,456400.0,872500.0,False,0.0,14:25:24
18350.0,600,-750.0,0.0,BU,455700.0,872500.0,False,0.0,14:25:20
18350.0,300,-750.0,0.0,BU,455100.0,872500.0,False,0.0,14:25:17
18350.0,1000,-750.0,0.0,BU,454800.0,872500.0,False,0.0,14:25:16
18350.0,400,-750.0,0.0,BU,453800.0,872500.0,False,0.0,14:25:14
18350.0,500,-750.0,0.0,BU,453400.0,872500.0,False,0.0,14:25:05
18350.0,300,-750.0,0.0,BU,452900.0,872500.0,False,0.0,14:25:04
18350.0,100,-750.0,0.0,BU,452600.0,872500.0,False,50.0,14:24:53
18300.0,500,-800.0,0.0,SD,452500.0,872500.0,False,-50.0,14:24:51
18350.0,500,-750.0,0.0,BU,452500.0,872000.0,False,50.0,14:24:49
18300.0,1000,-800.0,0.0,BU,452000.0,872000.0,False,300.0,14:24:43
18000.0,600,-1100.0,-0.1,SD,451000.0,872000.0,False,-200.0,14:24:37
18200.0,200,-900.0,0.0,SD,451000.0,871400.0,False,-100.0,14:24:37
18300.0,300,-800.0,0.0,BU,451000.0,871200.0,False,0.0,14:24:37
18300.0,1000,-800.0,0.0,BU,450700.0,871200.0,False,300.0,14:24:36
18000.0,3200,-1100.0,-0.1,SD,449700.0,871200.0,False,-100.0,14:24:28
18100.0,100,-1000.0,-0.1,SD,449700.0,868000.0,False,0.0,14:24:28
18100.0,2000,-1000.0,-0.1,SD,449700.0,867900.0,False,0.0,14:24:28
18100.0,300,-1000.0,-0.1,SD,449700.0,865900.0,False,0.0,14:24:28
18100.0,3000,-1000.0,-0.1,SD,449700.0,865600.0,False,-50.0,14:24:28
18150.0,100,-950.0,0.0,SD,449700.0,862600.0,False,-50.0,14:24:28
18200.0,500,-900.0,0.0,SD,449700.0,862500.0,False,0.0,14:24:28
18200.0,100,-900.0,0.0,SD,449700.0,862000.0,False,0.0,14:24:28
18200.0,1000,-900.0,0.0,SD,449700.0,861900.0,False,0.0,14:24:28
18200.0,800,-900.0,0.0,SD,449700.0,860900.0,False,0.0,14:24:28
18200.0,200,-900.0,0.0,SD,449700.0,860100.0,False,0.0,14:24:28
18200.0,500,-900.0,0.0,SD,449700.0,859900.0,False,0.0,14:24:28
18200.0,700,-900.0,0.0,SD,449700.0,859400.0,False,0.0,14:24:28
18200.0,400,-900.0,0.0,SD,449700.0,858700.0,False,-50.0,14:24:28
18250.0,300,-850.0,0.0,SD,449700.0,858300.0,False,0.0,14:24:28
18250.0,500,-850.0,0.0,SD,449700.0,858000.0,False,0.0,14:24:28
18250.0,200,-850.0,0.0,SD,449700.0,857500.0,False,-50.0,14:24:28
18300.0,100,-800.0,0.0,SD,449700.0,857300.0,False,0.0,14:24:28
18300.0,1000,-800.0,0.0,SD,449700.0,857200.0,False,-50.0,14:24:28
18350.0,300,-750.0,0.0,BU,449700.0,856200.0,False,50.0,14:24:19
18300.0,700,-800.0,0.0,BU,449400.0,856200.0,False,0.0,14:24:19
18300.0,200,-800.0,0.0,BU,448700.0,856200.0,False,0.0,14:24:16
18300.0,100,-800.0,0.0,BU,448500.0,856200.0,False,0.0,14:24:14
18300.0,100,-800.0,0.0,BU,448400.0,856200.0,False,0.0,14:24:10
18300.0,500,-800.0,0.0,SD,448300.0,856200.0,False,0.0,14:24:08
18300.0,200,-800.0,0.0,SD,448300.0,855700.0,False,0.0,14:24:08
18300.0,2000,-800.0,0.0,SD,448300.0,855500.0,False,0.0,14:24:08
18300.0,1000,-800.0,0.0,SD,448300.0,853500.0,False,0.0,14:24:08
18300.0,200,-800.0,0.0,SD,448300.0,852500.0,False,0.0,14:24:08
18300.0,500,-800.0,0.0,SD,448300.0,852300.0,False,-50.0,14:24:08
18350.0,100,-750.0,0.0,SD,448300.0,851800.0,False,0.0,14:24:08
18350.0,100,-750.0,0.0,SD,448300.0,851700.0,False,0.0,14:24:08
