p,v,cp,rcp,a,ba,sa,hl,pcp,t
24800.0,35200,-800.0,0.0,,638800.0,429900.0,False,100.0,14:45:00
24700.0,100,-900.0,0.0,BU,638800.0,429900.0,False,0.0,14:29:43
24700.0,500,-900.0,0.0,BU,638700.0,429900.0,False,0.0,14:29:37
24700.0,200,-900.0,0.0,BU,638200.0,429900.0,False,200.0,14:29:28
24500.0,1000,-1100.0,0.0,SD,638000.0,429900.0,False,0.0,14:29:06
24500.0,100,-1100.0,0.0,SD,638000.0,428900.0,False,-200.0,14:27:19
24700.0,1500,-900.0,0.0,SD,638000.0,428800.0,False,0.0,14:26:48
24700.0,500,-900.0,0.0,SD,638000.0,427300.0,False,-100.0,14:26:07
24800.0,200,-800.0,0.0,SD,638000.0,426800.0,False,0.0,14:25:52
24800.0,100,-800.0,0.0,SD,638000.0,426600.0,False,0.0,14:25:48
24800.0,400,-800.0,0.0,BU,638000.0,426500.0,False,0.0,14:25:44
24800.0,1100,-800.0,0.0,SD,637600.0,426500.0,False,-100.0,14:25:40
24900.0,1000,-700.0,0.0,BU,637600.0,425400.0,False,100.0,14:25:36
24800.0,2000,-800.0,0.0,SD,636600.0,425400.0,False,-100.0,14:25:31
24900.0,500,-700.0,0.0,BU,636600.0,423400.0,False,100.0,14:25:25
24800.0,1900,-800.0,0.0,SD,636100.0,423400.0,False,100.0,14:25:18
24700.0,1000,-900.0,0.0,SD,636100.0,421500.0,False,400.0,14:25:15
24300.0,10000,-1300.0,-0.1,SD,636100.0,420500.0,True,-300.0,14:24:55
24600.0,1500,-1000.0,0.0,SD,636100.0,410500.0,False,100.0,14:24:52
24500.0,500,-1100.0,0.0,SD,636100.0,409000.0,False,0.0,14:24:44
24500.0,2700,-1100.0,0.0,SD,636100.0,408500.0,False,100.0,14:24:31
24400.0,200,-1200.0,0.0,SD,636100.0,405800.0,False,100.0,14:24:19
24300.0,1000,-1300.0,-0.1,SD,636100.0,405600.0,False,100.0,14:24:04
24200.0,4100,-1400.0,-0.1,SD,636100.0,404600.0,False,100.0,14:23:50
24100.0,3300,-1500.0,-0.1,BU,636100.0,400500.0,False,100.0,14:23:39
24000.0,1100,-1600.0,-0.1,SD,632800.0,400500.0,False,0.0,14:23:27
24000.0,100,-1600.0,-0.1,BU,632800.0,399400.0,False,0.0,14:23:26
24000.0,2000,-1600.0,-0.1,BU,632700.0,399400.0,False,0.0,14:23:20
24000.0,4200,-1600.0,-0.1,BU,630700.0,399400.0,False,0.0,14:23:11
