p,v,cp,rcp,a,ba,sa,hl,pcp,t
51200.0,91800,-700.0,0.0,,431900.0,507300.0,False,-100.0,14:45:01
51300.0,100,-600.0,0.0,SD,431900.0,507300.0,False,0.0,14:29:43
51300.0,100,-600.0,0.0,SD,431900.0,507200.0,False,0.0,14:29:43
51300.0,100,-600.0,0.0,SD,431900.0,507100.0,False,0.0,14:29:43
51300.0,300,-600.0,0.0,SD,431900.0,507000.0,False,-100.0,14:29:41
51400.0,400,-500.0,0.0,SD,431900.0,506700.0,False,-100.0,14:29:41
51500.0,1000,-400.0,0.0,BU,431900.0,506300.0,False,200.0,14:29:36
51300.0,100,-600.0,0.0,BU,430900.0,506300.0,False,300.0,14:29:04
51000.0,1200,-900.0,0.0,SD,430800.0,506300.0,False,-100.0,14:29:01
51100.0,900,-800.0,0.0,SD,430800.0,505100.0,False,0.0,14:29:01
51100.0,100,-800.0,0.0,SD,430800.0,504200.0,False,0.0,14:29:01
51100.0,100,-800.0,0.0,SD,430800.0,504100.0,False,-100.0,14:29:01
51200.0,100,-700.0,0.0,SD,430800.0,504000.0,False,-100.0,14:29:01
51300.0,1900,-600.0,0.0,BU,430800.0,503900.0,False,0.0,14:28:45
51300.0,100,-600.0,0.0,BU,428900.0,503900.0,False,-100.0,14:28:45
51400.0,500,-500.0,0.0,BU,428800.0,503900.0,False,0.0,14:28:15
51400.0,1500,-500.0,0.0,SD,428300.0,503900.0,False,0.0,14:28:10
51400.0,2000,-500.0,0.0,SD,428300.0,502400.0,False,0.0,14:28:04
51400.0,1500,-500.0,0.0,BU,428300.0,500400.0,False,0.0,14:28:02
51400.0,1000,-500.0,0.0,BU,426800.0,500400.0,False,0.0,14:28:02
51400.0,2000,-500.0,0.0,BU,425800.0,500400.0,False,0.0,14:27:30
51400.0,400,-500.0,0.0,BU,423800.0,500400.0,False,0.0,14:27:27
51400.0,100,-500.0,0.0,BU,423400.0,500400.0,False,400.0,14:27:26
51000.0,100,-900.0,0.0,SD,423300.0,500400.0,False,0.0,14:27:25
51000.0,300,-900.0,0.0,SD,423300.0,500300.0,False,0.0,14:27:14
51000.0,1000,-900.0,0.0,BU,423300.0,500000.0,False,0.0,14:27:12
51000.0,500,-900.0,0.0,BU,422300.0,500000.0,False,0.0,14:27:11
51000.0,1000,-900.0,0.0,BU,421800.0,500000.0,False,0.0,14:27:10
51000.0,3000,-900.0,0.0,BU,420800.0,500000.0,False,0.0,14:27:09
51000.0,1800,-900.0,0.0,BU,417800.0,500000.0,False,0.0,14:27:09
51000.0,200,-900.0,0.0,BU,416000.0,500000.0,False,0.0,14:27:09
51000.0,200,-900.0,0.0,BU,415800.0,500000.0,False,0.0,14:27:04
51000.0,500,-900.0,0.0,BU,415600.0,500000.0,False,0.0,14:27:03
51000.0,500,-900.0,0.0,BU,415100.0,500000.0,False,0.0,14:27:01
51000.0,100,-900.0,0.0,BU,414600.0,500000.0,False,0.0,14:26:59
51000.0,5000,-900.0,0.0,BU,414500.0,500000.0,True,0.0,14:26:52
51000.0,500,-900.0,0.0,BU,409500.0,500000.0,False,0.0,14:26:51
51000.0,3000,-900.0,0.0,BU,409000.0,500000.0,False,0.0,14:26:50
51000.0,500,-900.0,0.0,BU,406000.0,500000.0,False,0.0,14:26:42
51000.0,500,-900.0,0.0,BU,405500.0,500000.0,False,300.0,14:26:26
50700.0,200,-1200.0,0.0,SD,405000.0,500000.0,False,400.0,14:25:37
50300.0,100,-1600.0,0.0,SD,405000.0,499800.0,False,0.0,14:25:33
50300.0,1000,-1600.0,0.0,BU,405000.0,499700.0,False,0.0,14:25:31
50300.0,200,-1600.0,0.0,BU,404000.0,499700.0,False,0.0,14:25:31
50300.0,2000,-1600.0,0.0,BU,403800.0,499700.0,False,-100.0,14:25:31
50400.0,200,-1500.0,0.0,BU,401800.0,499700.0,False,0.0,14:25:31
50400.0,1000,-1500.0,0.0,BU,401600.0,499700.0,False,0.0,14:25:31
50400.0,200,-1500.0,0.0,BU,400600.0,499700.0,False,0.0,14:25:31
50400.0,1000,-1500.0,0.0,BU,400400.0,499700.0,False,0.0,14:25:31
50400.0,100,-1500.0,0.0,BU,399400.0,499700.0,False,0.0,14:25:31
50400.0,400,-1500.0,0.0,BU,399300.0,499700.0,False,0.0,14:25:31
50400.0,800,-1500.0,0.0,BU,398900.0,499700.0,False,0.0,14:25:31
50400.0,1500,-1500.0,0.0,BU,398100.0,499700.0,False,-100.0,14:25:31
50500.0,500,-1400.0,0.0,BU,396600.0,499700.0,False,0.0,14:25:31
50500.0,900,-1400.0,0.0,BU,396100.0,499700.0,False,0.0,14:25:31
50500.0,2000,-1400.0,0.0,BU,395200.0,499700.0,False,0.0,14:25:31
50500.0,1000,-1400.0,0.0,BU,393200.0,499700.0,False,-100.0,14:25:31
50600.0,100,-1300.0,0.0,BU,392200.0,499700.0,False,0.0,14:25:31
50600.0,400,-1300.0,0.0,BU,392100.0,499700.0,False,0.0,14:25:31
50600.0,3900,-1300.0,0.0,BU,391700.0,499700.0,False,-100.0,14:25:31
50700.0,700,-1200.0,0.0,BU,387800.0,499700.0,False,0.0,14:25:31
50700.0,300,-1200.0,0.0,BU,387100.0,499700.0,False,0.0,14:25:29
50700.0,100,-1200.0,0.0,BU,386800.0,499700.0,False,0.0,14:25:28
50700.0,500,-1200.0,0.0,BU,386700.0,499700.0,False,100.0,14:25:27
50600.0,700,-1300.0,0.0,SD,386200.0,499700.0,False,-100.0,14:25:26
50700.0,100,-1200.0,0.0,BU,386200.0,499000.0,False,0.0,14:25:25
50700.0,200,-1200.0,0.0,BU,386100.0,499000.0,False,0.0,14:25:21
50700.0,500,-1200.0,0.0,BU,385900.0,499000.0,False,0.0,14:25:19
50700.0,100,-1200.0,0.0,BU,385400.0,499000.0,False,0.0,14:25:16
50700.0,500,-1200.0,0.0,BU,385300.0,499000.0,False,0.0,14:25:14
50700.0,200,-1200.0,0.0,BU,384800.0,499000.0,False,100.0,14:25:06
50600.0,300,-1300.0,0.0,SD,384600.0,499000.0,False,0.0,14:25:06
50600.0,2000,-1300.0,0.0,SD,384600.0,498700.0,False,0.0,14:25:05
50600.0,1100,-1300.0,0.0,BU,384600.0,496700.0,False,100.0,14:24:57
50500.0,400,-1400.0,0.0,SD,383500.0,496700.0,False,-100.0,14:24:55
50600.0,100,-1300.0,0.0,BU,383500.0,496300.0,False,0.0,14:24:53
50600.0,1000,-1300.0,0.0,BU,383400.0,496300.0,False,0.0,14:24:49
50600.0,100,-1300.0,0.0,BU,382400.0,496300.0,False,100.0,14:24:47
50500.0,500,-1400.0,0.0,SD,382300.0,496300.0,False,0.0,14:24:46
50500.0,500,-1400.0,0.0,SD,382300.0,495800.0,False,-100.0,14:24:46
50600.0,100,-1300.0,0.0,SD,382300.0,495300.0,False,0.0,14:24:35
