p,v,cp,rcp,a,ba,sa,hl,pcp,t
21000.0,1338600,600.0,0.0,,5304900.0,4441200.0,False,200.0,14:45:01
20800.0,1000,400.0,0.0,SD,5304900.0,4441200.0,False,0.0,14:29:57
20800.0,2000,400.0,0.0,BU,5304900.0,4440200.0,False,0.0,14:29:57
20800.0,200,400.0,0.0,BU,5302900.0,4440200.0,False,0.0,14:29:57
20800.0,100,400.0,0.0,BU,5302700.0,4440200.0,False,0.0,14:29:57
20800.0,2000,400.0,0.0,BU,5302600.0,4440200.0,False,0.0,14:29:57
20800.0,1000,400.0,0.0,BU,5300600.0,4440200.0,False,0.0,14:29:57
20800.0,500,400.0,0.0,BU,5299600.0,4440200.0,False,0.0,14:29:57
20800.0,1000,400.0,0.0,BU,5299100.0,4440200.0,False,0.0,14:29:57
20800.0,500,400.0,0.0,BU,5298100.0,4440200.0,False,0.0,14:29:57
20800.0,5000,400.0,0.0,BU,5297600.0,4440200.0,False,0.0,14:29:57
20800.0,100,400.0,0.0,BU,5292600.0,4440200.0,False,0.0,14:29:57
20800.0,500,400.0,0.0,BU,5292500.0,4440200.0,False,0.0,14:29:57
20800.0,100,400.0,0.0,BU,5292000.0,4440200.0,False,0.0,14:29:57
20800.0,100,400.0,0.0,BU,5291900.0,4440200.0,False,0.0,14:29:57
20800.0,2000,400.0,0.0,BU,5291800.0,4440200.0,False,0.0,14:29:57
20800.0,1000,400.0,0.0,BU,5289800.0,4440200.0,False,0.0,14:29:57
20800.0,1300,400.0,0.0,BU,5288800.0,4440200.0,False,0.0,14:29:57
20800.0,500,400.0,0.0,BU,5287500.0,4440200.0,False,0.0,14:29:56
20800.0,1000,400.0,0.0,BU,5287000.0,4440200.0,False,0.0,14:29:54
20800.0,5000,400.0,0.0,BU,5286000.0,4440200.0,False,0.0,14:29:52
20800.0,1000,400.0,0.0,BU,5281000.0,4440200.0,False,0.0,14:29:51
20800.0,5000,400.0,0.0,BU,5280000.0,4440200.0,False,0.0,14:29:51
20800.0,500,400.0,0.0,BU,5275000.0,4440200.0,False,0.0,14:29:50
20800.0,1000,400.0,0.0,BU,5274500.0,4440200.0,False,0.0,14:29:50
20800.0,4700,400.0,0.0,BU,5273500.0,4440200.0,False,0.0,14:29:50
20800.0,100,400.0,0.0,BU,5268800.0,4440200.0,False,0.0,14:29:50
20800.0,4700,400.0,0.0,BU,5268700.0,4440200.0,False,0.0,14:29:50
20800.0,1000,400.0,0.0,BU,5264000.0,4440200.0,False,0.0,14:29:49
20800.0,100,400.0,0.0,BU,5263000.0,4440200.0,False,0.0,14:29:49
20800.0,6300,400.0,0.0,BU,5262900.0,4440200.0,False,0.0,14:29:49
20800.0,1000,400.0,0.0,BU,5256600.0,4440200.0,False,0.0,14:29:49
20800.0,1400,400.0,0.0,BU,5255600.0,4440200.0,False,0.0,14:29:49
20800.0,10000,400.0,0.0,BU,5254200.0,4440200.0,True,0.0,14:29:48
20800.0,1000,400.0,0.0,BU,5244200.0,4440200.0,False,0.0,14:29:48
20800.0,1000,400.0,0.0,BU,5243200.0,4440200.0,False,50.0,14:29:47
20750.0,200,350.0,0.0,SD,5242200.0,4440200.0,False,0.0,14:29:46
20750.0,800,350.0,0.0,SD,5242200.0,4440000.0,False,-50.0,14:29:46
20800.0,100,400.0,0.0,BU,5242200.0,4439200.0,False,0.0,14:29:46
20800.0,300,400.0,0.0,BU,5242100.0,4439200.0,False,0.0,14:29:44
20800.0,1000,400.0,0.0,BU,5241800.0,4439200.0,False,0.0,14:29:43
20800.0,3000,400.0,0.0,BU,5240800.0,4439200.0,False,0.0,14:29:43
20800.0,9600,400.0,0.0,BU,5237800.0,4439200.0,False,0.0,14:29:41
20800.0,300,400.0,0.0,BU,5228200.0,4439200.0,False,0.0,14:29:41
20800.0,5000,400.0,0.0,BU,5227900.0,4439200.0,False,50.0,14:29:41
20750.0,900,350.0,0.0,SD,5222900.0,4439200.0,False,-50.0,14:29:37
20800.0,300,400.0,0.0,BU,5222900.0,4438300.0,False,50.0,14:29:29
20750.0,4800,350.0,0.0,SD,5222600.0,4438300.0,False,0.0,14:29:28
20750.0,300,350.0,0.0,SD,5222600.0,4433500.0,False,0.0,14:29:28
20750.0,300,350.0,0.0,SD,5222600.0,4433200.0,False,0.0,14:29:28
20750.0,4600,350.0,0.0,SD,5222600.0,4432900.0,False,0.0,14:29:28
20750.0,10000,350.0,0.0,SD,5222600.0,4428300.0,True,-50.0,14:29:28
20800.0,17000,400.0,0.0,BU,5222600.0,4418300.0,True,0.0,14:29:25
20800.0,500,400.0,0.0,BU,5205600.0,4418300.0,False,0.0,14:29:25
20800.0,200,400.0,0.0,BU,5205100.0,4418300.0,False,0.0,14:29:25
20800.0,800,400.0,0.0,BU,5204900.0,4418300.0,False,0.0,14:29:25
20800.0,100,400.0,0.0,BU,5204100.0,4418300.0,False,0.0,14:29:25
20800.0,1400,400.0,0.0,BU,5204000.0,4418300.0,False,50.0,14:29:25
20750.0,400,350.0,0.0,SD,5202600.0,4418300.0,False,0.0,14:29:23
20750.0,600,350.0,0.0,SD,5202600.0,4417900.0,False,0.0,14:29:23
20750.0,1000,350.0,0.0,SD,5202600.0,4417300.0,False,-50.0,14:29:18
20800.0,200,400.0,0.0,BU,5202600.0,4416300.0,False,0.0,14:29:18
20800.0,400,400.0,0.0,BU,5202400.0,4416300.0,False,0.0,14:29:14
20800.0,500,400.0,0.0,BU,5202000.0,4416300.0,False,0.0,14:29:14
20800.0,100,400.0,0.0,BU,5201500.0,4416300.0,False,0.0,14:29:14
20800.0,1300,400.0,0.0,BU,5201400.0,4416300.0,False,0.0,14:29:14
20800.0,700,400.0,0.0,BU,5200100.0,4416300.0,False,0.0,14:29:12
20800.0,500,400.0,0.0,BU,5199400.0,4416300.0,False,0.0,14:29:12
20800.0,3800,400.0,0.0,BU,5198900.0,4416300.0,False,50.0,14:29:12
20750.0,6300,350.0,0.0,SD,5195100.0,4416300.0,False,0.0,14:29:08
20750.0,1000,350.0,0.0,SD,5195100.0,4410000.0,False,0.0,14:29:08
20750.0,4200,350.0,0.0,SD,5195100.0,4409000.0,False,0.0,14:29:08
20750.0,2000,350.0,0.0,SD,5195100.0,4404800.0,False,0.0,14:29:08
20750.0,5000,350.0,0.0,SD,5195100.0,4402800.0,False,0.0,14:29:08
20750.0,800,350.0,0.0,SD,5195100.0,4397800.0,False,0.0,14:29:08
20750.0,20000,350.0,0.0,SD,5195100.0,4397000.0,True,0.0,14:29:08
20750.0,500,350.0,0.0,SD,5195100.0,4377000.0,False,0.0,14:29:08
20750.0,1500,350.0,0.0,SD,5195100.0,4376500.0,False,0.0,14:29:08
20750.0,600,350.0,0.0,SD,5195100.0,4375000.0,False,0.0,14:29:08
20750.0,100,350.0,0.0,SD,5195100.0,4374400.0,False,0.0,14:29:08
20750.0,100,350.0,0.0,SD,5195100.0,4374300.0,False,0.0,14:29:08
20750.0,300,350.0,0.0,SD,5195100.0,4374200.0,False,0.0,14:29:08
20750.0,5000,350.0,0.0,SD,5195100.0,4373900.0,False,0.0,14:29:08
20750.0,2600,350.0,0.0,SD,5195100.0,4368900.0,False,-50.0,14:29:08
20800.0,1000,400.0,0.0,BU,5195100.0,4366300.0,False,0.0,14:29:08
20800.0,4600,400.0,0.0,BU,5194100.0,4366300.0,False,0.0,14:29:07
20800.0,400,400.0,0.0,BU,5189500.0,4366300.0,False,0.0,14:29:07
20800.0,100,400.0,0.0,BU,5189100.0,4366300.0,False,0.0,14:29:05
20800.0,600,400.0,0.0,BU,5189000.0,4366300.0,False,0.0,14:29:05
20800.0,200,400.0,0.0,BU,5188400.0,4366300.0,False,0.0,14:29:05
20800.0,500,400.0,0.0,BU,5188200.0,4366300.0,False,0.0,14:29:05
20800.0,200,400.0,0.0,BU,5187700.0,4366300.0,False,0.0,14:29:05
20800.0,100,400.0,0.0,BU,5187500.0,4366300.0,False,0.0,14:29:05
20800.0,300,400.0,0.0,BU,5187400.0,4366300.0,False,0.0,14:29:05
20800.0,100,400.0,0.0,BU,5187100.0,4366300.0,False,0.0,14:29:05
20800.0,9700,400.0,0.0,BU,5187000.0,4366300.0,True,0.0,14:29:03
20800.0,100,400.0,0.0,BU,5177300.0,4366300.0,False,0.0,14:29:03
20800.0,100,400.0,0.0,BU,5177200.0,4366300.0,False,0.0,14:29:03
20800.0,100,400.0,0.0,BU,5177100.0,4366300.0,False,50.0,14:29:03
20750.0,1000,350.0,0.0,SD,5177000.0,4366300.0,False,-50.0,14:28:59
20800.0,300,400.0,0.0,BU,5177000.0,4365300.0,False,0.0,14:28:58
20800.0,200,400.0,0.0,BU,5176700.0,4365300.0,False,0.0,14:28:58
20800.0,300,400.0,0.0,BU,5176500.0,4365300.0,False,0.0,14:28:57
20800.0,100,400.0,0.0,BU,5176200.0,4365300.0,False,0.0,14:28:57
20800.0,1600,400.0,0.0,BU,5176100.0,4365300.0,False,0.0,14:28:57
20800.0,1000,400.0,0.0,BU,5174500.0,4365300.0,False,0.0,14:28:53
20800.0,200,400.0,0.0,BU,5173500.0,4365300.0,False,0.0,14:28:52
20800.0,200,400.0,0.0,BU,5173300.0,4365300.0,False,0.0,14:28:51
20800.0,200,400.0,0.0,BU,5173100.0,4365300.0,False,0.0,14:28:51
20800.0,3600,400.0,0.0,BU,5172900.0,4365300.0,False,0.0,14:28:51
20800.0,500,400.0,0.0,BU,5169300.0,4365300.0,False,0.0,14:28:49
20800.0,1000,400.0,0.0,BU,5168800.0,4365300.0,False,0.0,14:28:47
20800.0,900,400.0,0.0,BU,5167800.0,4365300.0,False,0.0,14:28:46
20800.0,100,400.0,0.0,BU,5166900.0,4365300.0,False,0.0,14:28:46
20800.0,400,400.0,0.0,BU,5166800.0,4365300.0,False,0.0,14:28:45
20800.0,900,400.0,0.0,BU,5166400.0,4365300.0,False,0.0,14:28:45
20800.0,200,400.0,0.0,BU,5165500.0,4365300.0,False,0.0,14:28:45
20800.0,1000,400.0,0.0,BU,5165300.0,4365300.0,False,0.0,14:28:45
20800.0,3000,400.0,0.0,BU,5164300.0,4365300.0,False,0.0,14:28:44
20800.0,1000,400.0,0.0,BU,5161300.0,4365300.0,False,0.0,14:28:43
20800.0,3000,400.0,0.0,BU,5160300.0,4365300.0,False,0.0,14:28:43
20800.0,1000,400.0,0.0,BU,5157300.0,4365300.0,False,0.0,14:28:43
