p,v,cp,rcp,a,ba,sa,hl,pcp,t
16200.0,400,-100.0,0.0,SD,76300.0,48400.0,False,0.0,14:58:27
16200.0,400,-100.0,0.0,SD,76300.0,48000.0,False,-100.0,14:57:39
16300.0,700,0.0,0.0,BU,76300.0,47600.0,False,0.0,14:43:09
16300.0,100,0.0,0.0,BU,75600.0,47600.0,False,100.0,14:35:50
16200.0,100,-100.0,0.0,SD,75500.0,47600.0,False,0.0,14:35:38
16200.0,500,-100.0,0.0,SD,75500.0,47500.0,False,0.0,14:28:52
16200.0,100,-100.0,0.0,SD,75500.0,47000.0,False,0.0,14:26:42
16200.0,200,-100.0,0.0,SD,75500.0,46900.0,False,0.0,14:26:38
16200.0,100,-100.0,0.0,SD,75500.0,46700.0,False,0.0,14:24:05
16200.0,1400,-100.0,0.0,SD,75500.0,46600.0,False,0.0,14:22:59
16200.0,2000,-100.0,0.0,SD,75500.0,45200.0,False,-100.0,14:10:16
16300.0,2000,0.0,0.0,SD,75500.0,43200.0,False,0.0,14:08:10
16300.0,200,0.0,0.0,SD,75500.0,41200.0,False,0.0,14:02:56
16300.0,3500,0.0,0.0,SD,75500.0,41000.0,False,0.0,13:59:28
16300.0,2600,0.0,0.0,SD,75500.0,37500.0,False,0.0,13:58:36
16300.0,100,0.0,0.0,BU,75500.0,34900.0,False,0.0,13:47:54
16300.0,200,0.0,0.0,BU,75400.0,34900.0,False,0.0,13:38:34
16300.0,300,0.0,0.0,BU,75200.0,34900.0,False,0.0,13:38:14
16300.0,500,0.0,0.0,BU,74900.0,34900.0,False,0.0,13:37:26
16300.0,600,0.0,0.0,BU,74400.0,34900.0,False,0.0,13:32:01
16300.0,100,0.0,0.0,BU,73800.0,34900.0,False,0.0,13:31:21
16300.0,100,0.0,0.0,BU,73700.0,34900.0,False,0.0,13:31:17
16300.0,2100,0.0,0.0,BU,73600.0,34900.0,False,0.0,13:27:56
16300.0,1000,0.0,0.0,SD,71500.0,34900.0,False,0.0,13:25:34
16300.0,100,0.0,0.0,SD,71500.0,33900.0,False,-100.0,13:21:18
16400.0,3000,100.0,0.0,BU,71500.0,33800.0,False,0.0,13:16:35
16400.0,5000,100.0,0.0,BU,68500.0,33800.0,False,100.0,13:15:25
16300.0,1000,0.0,0.0,SD,63500.0,33800.0,False,0.0,13:15:04
16300.0,2100,0.0,0.0,SD,63500.0,32800.0,False,-100.0,13:09:57
16400.0,400,100.0,0.0,BU,63500.0,30700.0,False,0.0,11:25:25
16400.0,2000,100.0,0.0,BU,63100.0,30700.0,False,0.0,11:11:22
