p,v,cp,rcp,a,ba,sa,hl,pcp,t
21800.0,348000,100.0,0.0,,1046100.0,1623900.0,False,150.0,14:45:03
21650.0,800,-50.0,0.0,BU,1046100.0,1623900.0,False,0.0,14:29:57
21650.0,4200,-50.0,0.0,BU,1045300.0,1623900.0,False,50.0,14:29:57
21600.0,400,-100.0,0.0,BU,1041100.0,1623900.0,False,0.0,14:29:50
21600.0,3000,-100.0,0.0,BU,1040700.0,1623900.0,False,0.0,14:29:43
21600.0,300,-100.0,0.0,BU,1037700.0,1623900.0,False,0.0,14:29:42
21600.0,200,-100.0,0.0,SD,1037400.0,1623900.0,False,0.0,14:29:41
21600.0,100,-100.0,0.0,SD,1037400.0,1623700.0,False,-50.0,14:29:41
21650.0,200,-50.0,0.0,SD,1037400.0,1623600.0,False,0.0,14:29:19
21650.0,1800,-50.0,0.0,SD,1037400.0,1623400.0,False,0.0,14:29:19
21650.0,100,-50.0,0.0,BU,1037400.0,1621600.0,False,0.0,14:29:14
21650.0,1000,-50.0,0.0,BU,1037300.0,1621600.0,False,0.0,14:29:06
21650.0,1300,-50.0,0.0,BU,1036300.0,1621600.0,False,150.0,14:28:56
21500.0,4000,-200.0,0.0,SD,1035000.0,1621600.0,False,-150.0,14:28:46
21650.0,1700,-50.0,0.0,BU,1035000.0,1617600.0,False,0.0,14:28:40
21650.0,2100,-50.0,0.0,BU,1033300.0,1617600.0,False,0.0,14:28:04
21650.0,7900,-50.0,0.0,BU,1031200.0,1617600.0,False,0.0,14:28:04
21650.0,500,-50.0,0.0,BU,1023300.0,1617600.0,False,0.0,14:28:02
21650.0,1000,-50.0,0.0,BU,1022800.0,1617600.0,False,50.0,14:27:50
21600.0,10000,-100.0,0.0,BU,1021800.0,1617600.0,True,0.0,14:27:50
21600.0,9000,-100.0,0.0,BU,1011800.0,1617600.0,False,250.0,14:27:50
21350.0,1300,-350.0,0.0,SD,1002800.0,1617600.0,False,-50.0,14:27:28
21400.0,500,-300.0,0.0,SD,1002800.0,1616300.0,False,-200.0,14:27:28
21600.0,1000,-100.0,0.0,BU,1002800.0,1615800.0,False,-50.0,14:27:23
21650.0,500,-50.0,0.0,BU,1001800.0,1615800.0,False,300.0,14:27:11
21350.0,2200,-350.0,0.0,SD,1001300.0,1615800.0,False,-50.0,14:27:06
21400.0,1900,-300.0,0.0,SD,1001300.0,1613600.0,False,-50.0,14:27:06
21450.0,900,-250.0,0.0,SD,1001300.0,1611700.0,False,50.0,14:27:06
21400.0,1000,-300.0,0.0,BU,1001300.0,1610800.0,False,-250.0,14:27:01
21650.0,100,-50.0,0.0,BU,1000300.0,1610800.0,False,0.0,14:26:53
21650.0,500,-50.0,0.0,BU,1000200.0,1610800.0,False,50.0,14:26:53
21600.0,1500,-100.0,0.0,BU,999700.0,1610800.0,False,0.0,14:26:53
21600.0,2500,-100.0,0.0,BU,998200.0,1610800.0,False,0.0,14:26:53
21600.0,2000,-100.0,0.0,BU,995700.0,1610800.0,False,0.0,14:26:53
21600.0,7000,-100.0,0.0,BU,993700.0,1610800.0,False,0.0,14:26:53
21600.0,4300,-100.0,0.0,BU,986700.0,1610800.0,False,100.0,14:26:53
21500.0,1800,-200.0,0.0,BU,982400.0,1610800.0,False,0.0,14:26:53
21500.0,10000,-200.0,0.0,BU,980600.0,1610800.0,True,0.0,14:26:53
21500.0,1000,-200.0,0.0,BU,970600.0,1610800.0,False,50.0,14:26:53
21450.0,8000,-250.0,0.0,BU,969600.0,1610800.0,False,100.0,14:26:53
21350.0,11300,-350.0,0.0,BU,961600.0,1610800.0,True,0.0,14:26:53
21350.0,1500,-350.0,0.0,BU,950300.0,1610800.0,False,0.0,14:26:50
21350.0,200,-350.0,0.0,SD,948800.0,1610800.0,False,-50.0,14:26:48
21400.0,2000,-300.0,0.0,BU,948800.0,1610600.0,False,100.0,14:26:47
21300.0,400,-400.0,0.0,SD,946800.0,1610600.0,False,0.0,14:26:37
21300.0,200,-400.0,0.0,SD,946800.0,1610200.0,False,-150.0,14:26:37
21450.0,2000,-250.0,0.0,BU,946800.0,1610000.0,False,150.0,14:26:26
21300.0,500,-400.0,0.0,SD,944800.0,1610000.0,False,0.0,14:26:22
21300.0,2500,-400.0,0.0,BU,944800.0,1609500.0,False,0.0,14:26:15
21300.0,1000,-400.0,0.0,BU,942300.0,1609500.0,False,0.0,14:26:14
21300.0,300,-400.0,0.0,BU,941300.0,1609500.0,False,0.0,14:26:14
21300.0,400,-400.0,0.0,BU,941000.0,1609500.0,False,0.0,14:26:03
21300.0,1000,-400.0,0.0,BU,940600.0,1609500.0,False,0.0,14:26:03
21300.0,5000,-400.0,0.0,BU,939600.0,1609500.0,False,0.0,14:26:02
