p,v,cp,rcp,a,ba,sa,hl,pcp,t
10350.0,26400,-400.0,0.0,,252600.0,241900.0,False,-150.0,14:45:03
10500.0,100,-250.0,0.0,BU,252600.0,241900.0,False,0.0,14:29:27
10500.0,100,-250.0,0.0,BU,252500.0,241900.0,False,0.0,14:28:35
10500.0,200,-250.0,0.0,BU,252400.0,241900.0,False,0.0,14:28:26
10500.0,100,-250.0,0.0,BU,252200.0,241900.0,False,100.0,14:28:14
10400.0,1000,-350.0,0.0,BU,252100.0,241900.0,False,100.0,14:28:09
10300.0,100,-450.0,0.0,BU,251100.0,241900.0,False,0.0,14:27:21
10300.0,700,-450.0,0.0,BU,251000.0,241900.0,False,0.0,14:27:13
10300.0,3600,-450.0,0.0,BU,250300.0,241900.0,False,0.0,14:27:13
10300.0,200,-450.0,0.0,BU,246700.0,241900.0,False,0.0,14:27:13
10300.0,1500,-450.0,0.0,BU,246500.0,241900.0,False,50.0,14:27:13
10250.0,1200,-500.0,0.0,SD,245000.0,241900.0,False,-50.0,14:26:53
10300.0,400,-450.0,0.0,BU,245000.0,240700.0,False,0.0,14:26:35
10300.0,200,-450.0,0.0,BU,244600.0,240700.0,False,0.0,14:26:30
10300.0,500,-450.0,0.0,BU,244400.0,240700.0,False,0.0,14:26:01
10300.0,200,-450.0,0.0,BU,243900.0,240700.0,False,0.0,14:25:36
10300.0,200,-450.0,0.0,BU,243700.0,240700.0,False,0.0,14:25:25
10300.0,100,-450.0,0.0,BU,243500.0,240700.0,False,0.0,14:25:16
10300.0,1000,-450.0,0.0,BU,243400.0,240700.0,False,0.0,14:24:56
10300.0,1700,-450.0,0.0,BU,242400.0,240700.0,False,0.0,14:24:46
10300.0,100,-450.0,0.0,BU,240700.0,240700.0,False,0.0,14:24:26
10300.0,500,-450.0,0.0,BU,240600.0,240700.0,False,0.0,14:24:24
10300.0,200,-450.0,0.0,BU,240100.0,240700.0,False,0.0,14:24:15
10300.0,2000,-450.0,0.0,BU,239900.0,240700.0,False,0.0,14:24:14
10300.0,500,-450.0,0.0,BU,237900.0,240700.0,False,50.0,14:24:04
10250.0,900,-500.0,0.0,BU,237400.0,240700.0,False,0.0,14:23:44
10250.0,100,-500.0,0.0,SD,236500.0,240700.0,False,0.0,14:23:42
10250.0,1000,-500.0,0.0,SD,236500.0,240600.0,False,-50.0,14:23:42
10300.0,200,-450.0,0.0,BU,236500.0,239600.0,False,0.0,14:23:00
10300.0,10000,-450.0,0.0,BU,236300.0,239600.0,False,0.0,14:22:40
10300.0,200,-450.0,0.0,BU,226300.0,239600.0,False,0.0,14:22:40
10300.0,300,-450.0,0.0,SD,226100.0,239600.0,False,0.0,14:22:40
10300.0,100,-450.0,0.0,SD,226100.0,239300.0,False,0.0,14:22:40
10300.0,100,-450.0,0.0,SD,226100.0,239200.0,False,-50.0,14:22:40
10350.0,3500,-400.0,0.0,BU,226100.0,239100.0,False,0.0,14:22:32
10350.0,300,-400.0,0.0,BU,222600.0,239100.0,False,50.0,14:22:25
10300.0,100,-450.0,0.0,SD,222300.0,239100.0,False,0.0,14:21:42
10300.0,5000,-450.0,0.0,SD,222300.0,239000.0,False,0.0,14:21:01
10300.0,1400,-450.0,0.0,BU,222300.0,234000.0,False,0.0,14:20:49
10300.0,200,-450.0,0.0,SD,220900.0,234000.0,False,0.0,14:20:45
10300.0,500,-450.0,0.0,SD,220900.0,233800.0,False,0.0,14:20:45
10300.0,500,-450.0,0.0,SD,220900.0,233300.0,False,0.0,14:20:45
10300.0,500,-450.0,0.0,SD,220900.0,232800.0,False,0.0,14:20:40
10300.0,500,-450.0,0.0,SD,220900.0,232300.0,False,0.0,14:20:40
10300.0,200,-450.0,0.0,SD,220900.0,231800.0,False,0.0,14:20:40
10300.0,5000,-450.0,0.0,SD,220900.0,231600.0,False,0.0,14:20:40
10300.0,100,-450.0,0.0,SD,220900.0,226600.0,False,0.0,14:20:40
10300.0,1000,-450.0,0.0,SD,220900.0,226500.0,False,0.0,14:20:40
10300.0,1000,-450.0,0.0,SD,220900.0,225500.0,False,-50.0,14:20:40
