p,v,cp,rcp,a,ba,sa,hl,pcp,t
43100.0,500,400.0,0.0,,6900.0,112800.0,False,-400.0,14:45:02
43500.0,200,800.0,0.0,BU,6900.0,112800.0,False,-500.0,14:23:20
44000.0,100,1300.0,0.0,BU,6700.0,112800.0,False,500.0,13:43:28
43500.0,100,800.0,0.0,SD,6600.0,112800.0,False,0.0,13:41:12
43500.0,100,800.0,0.0,SD,6600.0,112700.0,False,0.0,13:36:21
43500.0,500,800.0,0.0,BU,6600.0,112600.0,False,100.0,13:36:21
43400.0,200,700.0,0.0,BU,6100.0,112600.0,False,350.0,13:36:21
43050.0,100,350.0,0.0,SD,5900.0,112600.0,False,0.0,13:22:44
43050.0,500,350.0,0.0,SD,5900.0,112500.0,False,0.0,13:22:43
43050.0,2400,350.0,0.0,SD,5900.0,112000.0,False,0.0,13:22:43
43050.0,300,350.0,0.0,SD,5900.0,109600.0,False,0.0,13:20:13
43050.0,100,350.0,0.0,SD,5900.0,109300.0,False,0.0,13:20:13
43050.0,300,350.0,0.0,SD,5900.0,109200.0,False,-150.0,13:19:03
43200.0,200,500.0,0.0,BU,5900.0,108900.0,False,0.0,13:11:15
43200.0,300,500.0,0.0,SD,5700.0,108900.0,False,150.0,13:08:57
43050.0,100,350.0,0.0,BU,5700.0,108600.0,False,50.0,13:08:43
43000.0,100,300.0,0.0,SD,5600.0,108600.0,False,0.0,13:08:00
43000.0,900,300.0,0.0,SD,5600.0,108500.0,False,-50.0,13:08:00
43050.0,800,350.0,0.0,SD,5600.0,107600.0,False,0.0,13:04:22
43050.0,200,350.0,0.0,SD,5600.0,106800.0,False,-450.0,13:00:00
43500.0,200,800.0,0.0,BU,5600.0,106600.0,False,300.0,11:23:37
43200.0,200,500.0,0.0,SD,5400.0,106600.0,False,0.0,11:21:37
43200.0,400,500.0,0.0,BU,5400.0,106400.0,False,0.0,11:21:36
43200.0,900,500.0,0.0,BU,5000.0,106400.0,False,0.0,11:21:36
43200.0,900,500.0,0.0,BU,4100.0,106400.0,False,0.0,11:21:25
43200.0,1100,500.0,0.0,BU,3200.0,106400.0,False,0.0,11:21:25
43200.0,2800,500.0,0.0,SD,2100.0,106400.0,False,0.0,11:21:08
43200.0,1500,500.0,0.0,SD,2100.0,103600.0,False,0.0,11:21:08
43200.0,4100,500.0,0.0,SD,2100.0,102100.0,False,-100.0,11:21:08
43300.0,100,600.0,0.0,BU,2100.0,98000.0,False,0.0,10:50:16
43300.0,100,600.0,0.0,SD,2000.0,98000.0,False,100.0,10:23:31
43200.0,300,500.0,0.0,SD,2000.0,97900.0,False,0.0,10:10:18
43200.0,1400,500.0,0.0,SD,2000.0,97600.0,False,0.0,10:10:17
43200.0,500,500.0,0.0,SD,2000.0,96200.0,False,-300.0,10:10:16
43500.0,6100,800.0,0.0,SD,2000.0,95700.0,True,0.0,10:10:16
43500.0,200,800.0,0.0,SD,2000.0,89600.0,False,500.0,10:02:22
43000.0,300,300.0,0.0,SD,2000.0,89400.0,False,0.0,09:53:23
43000.0,100,300.0,0.0,SD,2000.0,89100.0,False,0.0,09:52:51
43000.0,500,300.0,0.0,BU,2000.0,89000.0,False,0.0,09:52:50
43000.0,200,300.0,0.0,BU,1500.0,89000.0,False,300.0,09:52:50
42700.0,100,0.0,0.0,BU,1300.0,89000.0,False,550.0,09:47:30
42150.0,300,-550.0,0.0,SD,1200.0,89000.0,False,0.0,09:43:25
42150.0,1600,-550.0,0.0,SD,1200.0,88700.0,False,0.0,09:43:24
42150.0,7700,-550.0,0.0,SD,1200.0,87100.0,True,0.0,09:43:23
42150.0,35000,-550.0,0.0,SD,1200.0,79400.0,True,-550.0,09:43:21
42700.0,300,0.0,0.0,BU,1200.0,44400.0,False,200.0,09:41:32
42500.0,100,-200.0,0.0,BU,900.0,44400.0,False,500.0,09:41:32
42000.0,200,-700.0,0.0,BU,800.0,44400.0,False,0.0,09:31:49
42000.0,200,-700.0,0.0,BU,600.0,44400.0,False,900.0,09:31:18
41100.0,300,-1600.0,0.0,SD,400.0,44400.0,False,0.0,09:30:42
41100.0,1500,-1600.0,0.0,SD,400.0,44100.0,False,0.0,09:30:41
41100.0,7000,-1600.0,0.0,SD,400.0,42600.0,True,0.0,09:30:40
41100.0,30500,-1600.0,0.0,SD,400.0,35600.0,True,-200.0,09:30:39
41300.0,500,-1400.0,0.0,SD,400.0,5100.0,False,0.0,09:30:39
41300.0,300,-1400.0,0.0,SD,400.0,4600.0,False,-100.0,09:30:39
41400.0,500,-1300.0,0.0,SD,400.0,4300.0,False,0.0,09:30:39
41400.0,100,-1300.0,0.0,SD,400.0,3800.0,False,0.0,09:30:39
41400.0,100,-1300.0,0.0,SD,400.0,3700.0,False,0.0,09:30:39
41400.0,100,-1300.0,0.0,SD,400.0,3600.0,False,0.0,09:30:06
