p,v,cp,rcp,a,ba,sa,hl,pcp,t
5100.0,11100,-100.0,0.0,,7200.0,23000.0,False,-100.0,14:45:02
5200.0,100,0.0,0.0,BU,7200.0,23000.0,False,100.0,14:29:51
5100.0,1800,-100.0,0.0,BU,7100.0,23000.0,False,0.0,14:25:00
5100.0,3200,-100.0,0.0,BU,5300.0,23000.0,False,0.0,14:23:59
5100.0,3000,-100.0,0.0,SD,2100.0,23000.0,False,0.0,14:23:36
5100.0,1000,-100.0,0.0,SD,2100.0,20000.0,False,0.0,14:23:22
5100.0,100,-100.0,0.0,SD,2100.0,19000.0,False,0.0,14:21:01
5100.0,3000,-100.0,0.0,SD,2100.0,18900.0,False,0.0,14:20:35
5100.0,500,-100.0,0.0,SD,2100.0,15900.0,False,0.0,14:19:42
5100.0,500,-100.0,0.0,SD,2100.0,15400.0,False,0.0,14:19:03
5100.0,500,-100.0,0.0,SD,2100.0,14900.0,False,-100.0,14:18:14
5200.0,300,0.0,0.0,BU,2100.0,14400.0,False,100.0,13:51:44
5100.0,100,-100.0,0.0,SD,1800.0,14400.0,False,0.0,13:51:14
5100.0,3000,-100.0,0.0,SD,1800.0,14300.0,False,0.0,13:49:45
5100.0,1000,-100.0,0.0,SD,1800.0,11300.0,False,0.0,13:29:33
5100.0,400,-100.0,0.0,SD,1800.0,10300.0,False,0.0,13:24:45
5100.0,1800,-100.0,0.0,SD,1800.0,9900.0,False,0.0,13:08:59
5100.0,200,-100.0,0.0,SD,1800.0,8100.0,False,0.0,13:02:16
5100.0,800,-100.0,0.0,SD,1800.0,7900.0,False,0.0,13:00:04
5100.0,7000,-100.0,0.0,SD,1800.0,7100.0,False,0.0,11:12:15
5100.0,100,-100.0,0.0,SD,1800.0,100.0,False,-100.0,11:01:24
5200.0,1800,0.0,0.0,BU,1800.0,0.0,False,0.0,09:00:16
