p,v,cp,rcp,a,ba,sa,hl,pcp,t
9300.0,600,0.0,0.0,SD,33000.0,19300.0,False,0.0,14:52:17
9300.0,100,0.0,0.0,BU,33000.0,18700.0,False,100.0,14:31:07
9200.0,500,-100.0,0.0,SD,32900.0,18700.0,False,0.0,14:27:48
9200.0,1000,-100.0,0.0,SD,32900.0,18200.0,False,-100.0,14:22:15
9300.0,100,0.0,0.0,BU,32900.0,17200.0,False,0.0,14:15:40
9300.0,200,0.0,0.0,BU,32800.0,17200.0,False,0.0,14:14:26
9300.0,300,0.0,0.0,BU,32600.0,17200.0,False,0.0,14:09:15
9300.0,400,0.0,0.0,BU,32300.0,17200.0,False,0.0,14:07:43
9300.0,300,0.0,0.0,BU,31900.0,17200.0,False,0.0,14:01:26
9300.0,100,0.0,0.0,SD,31600.0,17200.0,False,0.0,13:59:35
9300.0,1000,0.0,0.0,BU,31600.0,17100.0,False,0.0,13:43:23
9300.0,200,0.0,0.0,BU,30600.0,17100.0,False,0.0,13:42:51
9300.0,100,0.0,0.0,BU,30400.0,17100.0,False,100.0,13:40:39
9200.0,2000,-100.0,0.0,SD,30300.0,17100.0,False,-100.0,13:40:35
9300.0,200,0.0,0.0,BU,30300.0,15100.0,False,100.0,13:39:33
9200.0,500,-100.0,0.0,SD,30100.0,15100.0,False,-100.0,13:38:19
9300.0,1000,0.0,0.0,BU,30100.0,14600.0,False,0.0,13:38:15
9300.0,200,0.0,0.0,BU,29100.0,14600.0,False,100.0,13:27:58
9200.0,4200,-100.0,0.0,SD,28900.0,14600.0,False,0.0,13:22:12
9200.0,400,-100.0,0.0,SD,28900.0,10400.0,False,-100.0,13:19:52
9300.0,300,0.0,0.0,BU,28900.0,10000.0,False,0.0,13:14:27
9300.0,1000,0.0,0.0,BU,28600.0,10000.0,False,100.0,13:09:55
9200.0,2000,-100.0,0.0,SD,27600.0,10000.0,False,-100.0,13:00:10
9300.0,1200,0.0,0.0,BU,27600.0,8000.0,False,0.0,11:18:20
9300.0,1800,0.0,0.0,BU,26400.0,8000.0,False,0.0,11:18:04
9300.0,3400,0.0,0.0,SD,24600.0,8000.0,False,0.0,11:15:45
9300.0,400,0.0,0.0,BU,24600.0,4600.0,False,100.0,11:15:25
9200.0,800,-100.0,0.0,SD,24200.0,4600.0,False,-100.0,11:00:00
9300.0,200,0.0,0.0,BU,24200.0,3800.0,False,0.0,10:52:48
9300.0,500,0.0,0.0,BU,24000.0,3800.0,False,0.0,10:51:27
9300.0,200,0.0,0.0,BU,23500.0,3800.0,False,0.0,10:49:47
9300.0,400,0.0,0.0,BU,23300.0,3800.0,False,0.0,10:47:24
9300.0,100,0.0,0.0,BU,22900.0,3800.0,False,0.0,10:35:28
9300.0,500,0.0,0.0,BU,22800.0,3800.0,False,0.0,10:18:06
9300.0,1500,0.0,0.0,BU,22300.0,3800.0,False,0.0,10:06:07
9300.0,3500,0.0,0.0,BU,20800.0,3800.0,False,0.0,10:05:33
9300.0,1000,0.0,0.0,SD,17300.0,3800.0,False,0.0,09:54:55
9300.0,2700,0.0,0.0,SD,17300.0,2800.0,False,0.0,09:43:28
9300.0,17300,0.0,0.0,BU,17300.0,100.0,False,0.0,09:43:06
9300.0,100,0.0,0.0,SD,0.0,100.0,False,0.0,09:00:22
