p,v,cp,rcp,a,ba,sa,hl,pcp,t
42100.0,200,-600.0,0.0,BU,11700.0,18000.0,False,0.0,11:29:25
42100.0,300,-600.0,0.0,BU,11500.0,18000.0,False,0.0,11:19:23
42100.0,500,-600.0,0.0,BU,11200.0,18000.0,False,100.0,11:18:26
42000.0,900,-700.0,0.0,BU,10700.0,18000.0,False,0.0,11:17:04
42000.0,4100,-700.0,0.0,BU,9800.0,18000.0,False,0.0,11:16:56
42000.0,1100,-700.0,0.0,BU,5700.0,18000.0,False,0.0,11:16:56
42000.0,200,-700.0,0.0,BU,4600.0,18000.0,False,50.0,11:16:56
41950.0,500,-750.0,0.0,BU,4400.0,18000.0,False,0.0,11:16:56
41950.0,400,-750.0,0.0,BU,3900.0,18000.0,False,300.0,11:16:56
41650.0,300,-1050.0,0.0,SD,3500.0,18000.0,False,50.0,11:05:13
41600.0,100,-1100.0,0.0,SD,3500.0,17700.0,False,-300.0,11:00:17
41900.0,300,-800.0,0.0,BU,3500.0,17600.0,False,250.0,10:59:15
41650.0,500,-1050.0,0.0,SD,3200.0,17600.0,False,0.0,10:53:26
41650.0,1000,-1050.0,0.0,SD,3200.0,17100.0,False,-250.0,10:53:26
41900.0,200,-800.0,0.0,BU,3200.0,16100.0,False,300.0,10:50:50
41600.0,600,-1100.0,0.0,SD,3000.0,16100.0,False,0.0,10:43:41
41600.0,200,-1100.0,0.0,SD,3000.0,15500.0,False,0.0,10:37:18
41600.0,500,-1100.0,0.0,SD,3000.0,15300.0,False,0.0,10:37:03
41600.0,100,-1100.0,0.0,BU,3000.0,14800.0,False,0.0,10:33:13
41600.0,300,-1100.0,0.0,SD,2900.0,14800.0,False,0.0,10:32:49
41600.0,1000,-1100.0,0.0,SD,2900.0,14500.0,False,-100.0,10:32:49
41700.0,100,-1000.0,0.0,SD,2900.0,13500.0,False,0.0,10:32:49
41700.0,1000,-1000.0,0.0,SD,2900.0,13400.0,False,-150.0,10:32:49
41850.0,300,-850.0,0.0,SD,2900.0,12400.0,False,0.0,10:30:27
41850.0,100,-850.0,0.0,SD,2900.0,12100.0,False,0.0,10:30:27
41850.0,1000,-850.0,0.0,SD,2900.0,12000.0,False,0.0,10:30:27
41850.0,500,-850.0,0.0,SD,2900.0,11000.0,False,-50.0,10:30:27
41900.0,500,-800.0,0.0,SD,2900.0,10500.0,False,0.0,10:28:30
41900.0,2000,-800.0,0.0,SD,2900.0,10000.0,False,0.0,10:28:30
41900.0,3000,-800.0,0.0,SD,2900.0,8000.0,False,-50.0,10:28:30
41950.0,500,-750.0,0.0,BU,2900.0,5000.0,False,0.0,10:28:12
41950.0,100,-750.0,0.0,BU,2400.0,5000.0,False,0.0,10:28:12
41950.0,2000,-750.0,0.0,BU,2300.0,5000.0,False,-50.0,10:28:12
42000.0,100,-700.0,0.0,SD,300.0,5000.0,False,0.0,10:25:53
42000.0,500,-700.0,0.0,SD,300.0,4900.0,False,0.0,10:13:27
42000.0,100,-700.0,0.0,BU,300.0,4400.0,False,0.0,10:03:02
42000.0,100,-700.0,0.0,BU,200.0,4400.0,False,0.0,10:01:50
42000.0,100,-700.0,0.0,BU,100.0,4400.0,False,0.0,10:00:37
42000.0,200,-700.0,0.0,SD,0.0,4400.0,False,150.0,09:59:20
41850.0,400,-850.0,0.0,SD,0.0,4200.0,False,-50.0,09:26:40
41900.0,100,-800.0,0.0,SD,0.0,3800.0,False,-100.0,09:26:40
42000.0,3000,-700.0,0.0,SD,0.0,3700.0,False,0.0,09:26:40
42000.0,100,-700.0,0.0,SD,0.0,700.0,False,0.0,09:26:40
42000.0,100,-700.0,0.0,SD,0.0,600.0,False,0.0,09:20:35
42000.0,500,-700.0,0.0,SD,0.0,500.0,False,0.0,09:20:35
