p,v,cp,rcp,a,ba,sa,hl,pcp,t
14700.0,3800,-800.0,-0.1,SD,42700.0,85900.0,False,0.0,11:26:59
14700.0,500,-800.0,-0.1,SD,42700.0,82100.0,False,-50.0,11:26:59
14750.0,100,-750.0,0.0,BU,42700.0,81600.0,False,0.0,11:26:28
14750.0,100,-750.0,0.0,BU,42600.0,81600.0,False,0.0,11:26:04
14750.0,100,-750.0,0.0,BU,42500.0,81600.0,False,0.0,11:24:43
14750.0,100,-750.0,0.0,BU,42400.0,81600.0,False,50.0,11:24:36
14700.0,300,-800.0,-0.1,BU,42300.0,81600.0,False,0.0,11:17:22
14700.0,100,-800.0,-0.1,BU,42000.0,81600.0,False,0.0,11:13:52
14700.0,600,-800.0,-0.1,BU,41900.0,81600.0,False,0.0,11:11:53
14700.0,100,-800.0,-0.1,BU,41300.0,81600.0,False,0.0,11:10:06
14700.0,100,-800.0,-0.1,BU,41200.0,81600.0,False,0.0,11:09:21
14700.0,1000,-800.0,-0.1,BU,41100.0,81600.0,False,50.0,11:07:44
14650.0,100,-850.0,-0.1,SD,40100.0,81600.0,False,0.0,11:04:13
14650.0,100,-850.0,-0.1,SD,40100.0,81500.0,False,0.0,11:01:15
14650.0,200,-850.0,-0.1,SD,40100.0,81400.0,False,0.0,10:58:59
14650.0,100,-850.0,-0.1,SD,40100.0,81200.0,False,0.0,10:58:59
14650.0,100,-850.0,-0.1,SD,40100.0,81100.0,False,0.0,10:58:59
14650.0,100,-850.0,-0.1,SD,40100.0,81000.0,False,0.0,10:58:59
14650.0,1000,-850.0,-0.1,SD,40100.0,80900.0,False,0.0,10:58:59
14650.0,1300,-850.0,-0.1,SD,40100.0,79900.0,False,0.0,10:58:59
14650.0,2200,-850.0,-0.1,SD,40100.0,78600.0,False,0.0,10:58:59
14650.0,600,-850.0,-0.1,BU,40100.0,76400.0,False,0.0,10:48:23
14650.0,500,-850.0,-0.1,BU,39500.0,76400.0,False,0.0,10:47:38
14650.0,1800,-850.0,-0.1,SD,39000.0,76400.0,False,0.0,10:47:13
14650.0,500,-850.0,-0.1,SD,39000.0,74600.0,False,0.0,10:47:13
14650.0,2100,-850.0,-0.1,SD,39000.0,74100.0,False,-150.0,10:47:13
14800.0,4400,-700.0,0.0,BU,39000.0,72000.0,False,50.0,10:42:23
14750.0,400,-750.0,0.0,BU,34600.0,72000.0,False,0.0,10:42:23
14750.0,500,-750.0,0.0,BU,34200.0,72000.0,False,0.0,10:42:23
14750.0,1000,-750.0,0.0,BU,33700.0,72000.0,False,0.0,10:42:23
14750.0,2000,-750.0,0.0,BU,32700.0,72000.0,False,150.0,10:42:23
14600.0,100,-900.0,-0.1,SD,30700.0,72000.0,False,-50.0,10:41:00
14650.0,200,-850.0,-0.1,BU,30700.0,71900.0,False,0.0,10:41:00
14650.0,200,-850.0,-0.1,BU,30500.0,71900.0,False,50.0,10:41:00
14600.0,200,-900.0,-0.1,SD,30300.0,71900.0,False,0.0,10:38:26
14600.0,600,-900.0,-0.1,SD,30300.0,71700.0,False,0.0,10:38:08
14600.0,100,-900.0,-0.1,SD,30300.0,71100.0,False,0.0,10:38:08
14600.0,500,-900.0,-0.1,SD,30300.0,71000.0,False,0.0,10:38:08
14600.0,100,-900.0,-0.1,SD,30300.0,70500.0,False,0.0,10:38:08
14600.0,200,-900.0,-0.1,SD,30300.0,70400.0,False,0.0,10:38:08
14600.0,1300,-900.0,-0.1,SD,30300.0,70200.0,False,-50.0,10:37:53
14650.0,3000,-850.0,-0.1,SD,30300.0,68900.0,False,0.0,10:37:29
14650.0,500,-850.0,-0.1,SD,30300.0,65900.0,False,0.0,10:37:29
14650.0,100,-850.0,-0.1,SD,30300.0,65400.0,False,0.0,10:37:29
14650.0,100,-850.0,-0.1,SD,30300.0,65300.0,False,0.0,10:37:29
14650.0,600,-850.0,-0.1,SD,30300.0,65200.0,False,0.0,10:37:29
14650.0,400,-850.0,-0.1,SD,30300.0,64600.0,False,0.0,10:30:32
14650.0,200,-850.0,-0.1,BU,30300.0,64200.0,False,0.0,10:29:41
14650.0,100,-850.0,-0.1,BU,30100.0,64200.0,False,0.0,10:27:46
14650.0,100,-850.0,-0.1,BU,30000.0,64200.0,False,0.0,10:26:37
14650.0,700,-850.0,-0.1,BU,29900.0,64200.0,False,0.0,10:26:01
14650.0,200,-850.0,-0.1,BU,29200.0,64200.0,False,0.0,10:26:01
14650.0,200,-850.0,-0.1,BU,29000.0,64200.0,False,0.0,10:26:01
14650.0,5900,-850.0,-0.1,BU,28800.0,64200.0,False,0.0,10:26:01
14650.0,100,-850.0,-0.1,BU,22900.0,64200.0,False,0.0,10:26:01
14650.0,1500,-850.0,-0.1,BU,22800.0,64200.0,False,0.0,10:26:01
14650.0,500,-850.0,-0.1,SD,21300.0,64200.0,False,0.0,10:24:37
14650.0,3000,-850.0,-0.1,SD,21300.0,63700.0,False,-50.0,10:22:06
14700.0,400,-800.0,-0.1,SD,21300.0,60700.0,False,0.0,10:22:06
14700.0,900,-800.0,-0.1,SD,21300.0,60300.0,False,-50.0,10:22:06
14750.0,100,-750.0,0.0,SD,21300.0,59400.0,False,0.0,10:22:06
14750.0,2000,-750.0,0.0,SD,21300.0,59300.0,False,-50.0,10:22:06
14800.0,200,-700.0,0.0,SD,21300.0,57300.0,False,0.0,10:19:29
14800.0,1800,-700.0,0.0,SD,21300.0,57100.0,False,0.0,10:19:29
14800.0,400,-700.0,0.0,SD,21300.0,55300.0,False,0.0,10:19:29
14800.0,500,-700.0,0.0,SD,21300.0,54900.0,False,0.0,10:19:29
14800.0,100,-700.0,0.0,SD,21300.0,54400.0,False,0.0,10:19:29
14800.0,1000,-700.0,0.0,SD,21300.0,54300.0,False,0.0,10:13:00
14800.0,500,-700.0,0.0,SD,21300.0,53300.0,False,0.0,10:13:00
14800.0,2000,-700.0,0.0,SD,21300.0,52800.0,False,0.0,10:13:00
14800.0,100,-700.0,0.0,SD,21300.0,50800.0,False,0.0,10:13:00
14800.0,100,-700.0,0.0,SD,21300.0,50700.0,False,0.0,10:13:00
14800.0,1400,-700.0,0.0,SD,21300.0,50600.0,False,0.0,10:13:00
14800.0,100,-700.0,0.0,SD,21300.0,49200.0,False,-50.0,10:10:12
14850.0,200,-650.0,0.0,BU,21300.0,49100.0,False,0.0,10:06:26
14850.0,13400,-650.0,0.0,SD,21100.0,49100.0,False,0.0,10:04:22
14850.0,500,-650.0,0.0,SD,21100.0,35700.0,False,-50.0,10:03:30
14900.0,100,-600.0,0.0,BU,21100.0,35200.0,False,0.0,10:02:59
14900.0,100,-600.0,0.0,SD,21000.0,35200.0,False,0.0,09:59:54
14900.0,400,-600.0,0.0,SD,21000.0,35100.0,False,0.0,09:59:24
14900.0,100,-600.0,0.0,SD,21000.0,34700.0,False,-50.0,09:59:24
14950.0,300,-550.0,0.0,BU,21000.0,34600.0,False,0.0,09:54:03
14950.0,100,-550.0,0.0,BU,20700.0,34600.0,False,0.0,09:53:17
14950.0,100,-550.0,0.0,BU,20600.0,34600.0,False,0.0,09:52:37
14950.0,3000,-550.0,0.0,BU,20500.0,34600.0,False,350.0,09:51:49
14600.0,1500,-900.0,-0.1,SD,17500.0,34600.0,False,0.0,09:46:23
14600.0,1000,-900.0,-0.1,SD,17500.0,33100.0,False,0.0,09:46:23
14600.0,3000,-900.0,-0.1,SD,17500.0,32100.0,False,50.0,09:46:23
14550.0,500,-950.0,-0.1,SD,17500.0,29100.0,False,50.0,09:42:35
14500.0,100,-1000.0,-0.1,SD,17500.0,28600.0,False,0.0,09:42:04
14500.0,3000,-1000.0,-0.1,SD,17500.0,28500.0,False,-50.0,09:42:04
14550.0,500,-950.0,-0.1,SD,17500.0,25500.0,False,0.0,09:42:04
14550.0,500,-950.0,-0.1,SD,17500.0,25000.0,False,0.0,09:42:04
14550.0,500,-950.0,-0.1,SD,17500.0,24500.0,False,0.0,09:42:04
14550.0,200,-950.0,-0.1,SD,17500.0,24000.0,False,-50.0,09:42:04
14600.0,500,-900.0,-0.1,SD,17500.0,23800.0,False,0.0,09:42:04
14600.0,500,-900.0,-0.1,SD,17500.0,23300.0,False,0.0,09:42:04
14600.0,200,-900.0,-0.1,SD,17500.0,22800.0,False,0.0,09:42:04
14600.0,1500,-900.0,-0.1,SD,17500.0,22600.0,False,0.0,09:42:04
14600.0,200,-900.0,-0.1,SD,17500.0,21100.0,False,-100.0,09:42:04
14700.0,100,-800.0,-0.1,SD,17500.0,20900.0,False,0.0,09:42:04
14700.0,100,-800.0,-0.1,SD,17500.0,20800.0,False,0.0,09:42:04
14700.0,100,-800.0,-0.1,SD,17500.0,20700.0,False,0.0,09:42:04
14700.0,400,-800.0,-0.1,BU,17500.0,20600.0,False,0.0,09:41:36
14700.0,900,-800.0,-0.1,BU,17100.0,20600.0,False,100.0,09:41:34
14600.0,2000,-900.0,-0.1,SD,16200.0,20600.0,False,0.0,09:41:22
14600.0,500,-900.0,-0.1,SD,16200.0,18600.0,False,0.0,09:41:22
14600.0,200,-900.0,-0.1,SD,16200.0,18100.0,False,0.0,09:41:22
14600.0,1000,-900.0,-0.1,SD,16200.0,17900.0,False,0.0,09:41:22
14600.0,100,-900.0,-0.1,SD,16200.0,16900.0,False,0.0,09:41:22
14600.0,1000,-900.0,-0.1,SD,16200.0,16800.0,False,0.0,09:41:22
14600.0,200,-900.0,-0.1,SD,16200.0,15800.0,False,-100.0,09:41:22
14700.0,5000,-800.0,-0.1,BU,16200.0,15600.0,False,0.0,09:40:47
14700.0,3700,-800.0,-0.1,BU,11200.0,15600.0,False,-300.0,09:40:47
15000.0,400,-500.0,0.0,BU,7500.0,15600.0,False,200.0,09:39:38
14800.0,300,-700.0,0.0,BU,7100.0,15600.0,False,50.0,09:39:10
14750.0,200,-750.0,0.0,BU,6800.0,15600.0,False,50.0,09:39:10
14700.0,1300,-800.0,-0.1,SD,6600.0,15600.0,False,-50.0,09:39:10
14750.0,100,-750.0,0.0,BU,6600.0,14300.0,False,50.0,09:39:10
14700.0,500,-800.0,-0.1,SD,6500.0,14300.0,False,-50.0,09:39:10
14750.0,2500,-750.0,0.0,BU,6500.0,13800.0,False,-50.0,09:39:10
14800.0,100,-700.0,0.0,BU,4000.0,13800.0,False,-200.0,09:39:10
15000.0,100,-500.0,0.0,BU,3900.0,13800.0,False,100.0,09:36:16
14900.0,100,-600.0,0.0,BU,3800.0,13800.0,False,100.0,09:36:12
14800.0,1000,-700.0,0.0,BU,3700.0,13800.0,False,50.0,09:35:53
14750.0,500,-750.0,0.0,SD,2700.0,13800.0,False,50.0,09:34:44
14700.0,100,-800.0,-0.1,SD,2700.0,13300.0,False,0.0,09:33:04
14700.0,300,-800.0,-0.1,SD,2700.0,13200.0,False,-100.0,09:33:04
14800.0,100,-700.0,0.0,SD,2700.0,12900.0,False,0.0,09:33:04
14800.0,500,-700.0,0.0,SD,2700.0,12800.0,False,0.0,09:33:04
14800.0,1500,-700.0,0.0,SD,2700.0,12300.0,False,0.0,09:33:04
14800.0,500,-700.0,0.0,SD,2700.0,10800.0,False,0.0,09:33:04
14800.0,1000,-700.0,0.0,SD,2700.0,10300.0,False,0.0,09:33:04
14800.0,1000,-700.0,0.0,SD,2700.0,9300.0,False,0.0,09:33:04
14800.0,200,-700.0,0.0,SD,2700.0,8300.0,False,0.0,09:30:23
14800.0,300,-700.0,0.0,SD,2700.0,8100.0,False,0.0,09:28:48
14800.0,1800,-700.0,0.0,SD,2700.0,7800.0,False,-100.0,09:27:01
14900.0,200,-600.0,0.0,BU,2700.0,6000.0,False,-250.0,09:27:01
15150.0,200,-350.0,0.0,BU,2500.0,6000.0,False,350.0,09:25:18
14800.0,100,-700.0,0.0,SD,2300.0,6000.0,False,0.0,09:24:21
14800.0,600,-700.0,0.0,BU,2300.0,5900.0,False,0.0,09:22:56
14800.0,200,-700.0,0.0,BU,1700.0,5900.0,False,0.0,09:22:52
14800.0,100,-700.0,0.0,SD,1500.0,5900.0,False,0.0,09:22:51
14800.0,100,-700.0,0.0,SD,1500.0,5800.0,False,0.0,09:22:51
14800.0,100,-700.0,0.0,BU,1500.0,5700.0,False,0.0,09:21:42
14800.0,100,-700.0,0.0,BU,1400.0,5700.0,False,0.0,09:20:52
14800.0,300,-700.0,0.0,BU,1300.0,5700.0,False,300.0,09:20:13
14500.0,500,-1000.0,-0.1,SD,1000.0,5700.0,False,-500.0,09:17:37
15000.0,100,-500.0,0.0,BU,1000.0,5200.0,False,450.0,09:17:37
14550.0,500,-950.0,-0.1,BU,900.0,5200.0,False,-150.0,09:17:37
14700.0,1000,-800.0,-0.1,SD,400.0,5200.0,False,-150.0,09:17:37
14850.0,100,-650.0,0.0,SD,400.0,4200.0,False,0.0,09:17:37
14850.0,500,-650.0,0.0,SD,400.0,4100.0,False,-150.0,09:17:37
15000.0,100,-500.0,0.0,SD,400.0,3600.0,False,0.0,09:17:37
15000.0,2200,-500.0,0.0,SD,400.0,3500.0,False,-50.0,09:17:37
15050.0,1000,-450.0,0.0,SD,400.0,1300.0,False,50.0,09:17:37
15000.0,200,-500.0,0.0,SD,400.0,300.0,False,0.0,09:16:26
15000.0,100,-500.0,0.0,SD,400.0,100.0,False,-300.0,09:15:35
15300.0,300,-200.0,0.0,BU,400.0,0.0,False,0.0,09:15:19
15300.0,100,-200.0,0.0,BU,100.0,0.0,False,0.0,09:15:19
15300.0,4000,-200.0,0.0,,0.0,0.0,False,0.0,09:15:00
