p,v,cp,rcp,a,ba,sa,hl,pcp,t
9100.0,300,-100.0,0.0,SD,320000.0,378800.0,False,0.0,11:29:54
9100.0,2000,-100.0,0.0,SD,320000.0,378500.0,False,0.0,11:29:46
9100.0,500,-100.0,0.0,SD,320000.0,376500.0,False,0.0,11:29:02
9100.0,500,-100.0,0.0,SD,320000.0,376000.0,False,0.0,11:28:58
9100.0,500,-100.0,0.0,SD,320000.0,375500.0,False,0.0,11:28:52
9100.0,1100,-100.0,0.0,SD,320000.0,375000.0,False,0.0,11:28:41
9100.0,500,-100.0,0.0,SD,320000.0,373900.0,False,0.0,11:27:59
9100.0,1000,-100.0,0.0,SD,320000.0,373400.0,False,0.0,11:26:07
9100.0,2000,-100.0,0.0,SD,320000.0,372400.0,False,0.0,11:25:38
9100.0,400,-100.0,0.0,SD,320000.0,370400.0,False,0.0,11:25:03
9100.0,1000,-100.0,0.0,SD,320000.0,370000.0,False,0.0,11:22:01
9100.0,500,-100.0,0.0,SD,320000.0,369000.0,False,0.0,11:20:52
9100.0,10000,-100.0,0.0,SD,320000.0,368500.0,False,0.0,11:17:51
9100.0,100,-100.0,0.0,SD,320000.0,358500.0,False,0.0,11:15:08
9100.0,2000,-100.0,0.0,SD,320000.0,358400.0,False,0.0,11:13:34
9100.0,200,-100.0,0.0,SD,320000.0,356400.0,False,-100.0,11:12:21
9200.0,100,0.0,0.0,BU,320000.0,356200.0,False,0.0,11:03:03
9200.0,400,0.0,0.0,BU,319900.0,356200.0,False,0.0,11:02:26
9200.0,600,0.0,0.0,BU,319500.0,356200.0,False,0.0,11:01:10
9200.0,3700,0.0,0.0,BU,318900.0,356200.0,False,0.0,11:00:28
9200.0,200,0.0,0.0,SD,315200.0,356200.0,False,-100.0,11:00:24
9300.0,200,100.0,0.0,BU,315200.0,356000.0,False,100.0,11:00:01
9200.0,2000,0.0,0.0,SD,315000.0,356000.0,False,0.0,11:00:00
9200.0,500,0.0,0.0,SD,315000.0,354000.0,False,0.0,10:59:58
9200.0,1000,0.0,0.0,SD,315000.0,353500.0,False,0.0,10:59:57
9200.0,1000,0.0,0.0,SD,315000.0,352500.0,False,0.0,10:59:47
9200.0,2000,0.0,0.0,SD,315000.0,351500.0,False,0.0,10:59:07
9200.0,1000,0.0,0.0,SD,315000.0,349500.0,False,0.0,10:58:43
9200.0,1800,0.0,0.0,SD,315000.0,348500.0,False,0.0,10:58:32
9200.0,1000,0.0,0.0,SD,315000.0,346700.0,False,-100.0,10:58:23
9300.0,600,100.0,0.0,BU,315000.0,345700.0,False,0.0,10:56:53
9300.0,100,100.0,0.0,BU,314400.0,345700.0,False,100.0,10:56:31
9200.0,500,0.0,0.0,SD,314300.0,345700.0,False,0.0,10:55:36
9200.0,100,0.0,0.0,SD,314300.0,345200.0,False,0.0,10:55:30
9200.0,1100,0.0,0.0,SD,314300.0,345100.0,False,0.0,10:55:29
9200.0,300,0.0,0.0,BU,314300.0,344000.0,False,0.0,10:55:25
9200.0,10000,0.0,0.0,BU,314000.0,344000.0,False,0.0,10:55:02
9200.0,100,0.0,0.0,BU,304000.0,344000.0,False,0.0,10:54:32
9200.0,2300,0.0,0.0,BU,303900.0,344000.0,False,0.0,10:54:19
9200.0,1000,0.0,0.0,BU,301600.0,344000.0,False,0.0,10:54:16
9200.0,100,0.0,0.0,BU,300600.0,344000.0,False,0.0,10:54:15
9200.0,300,0.0,0.0,BU,300500.0,344000.0,False,0.0,10:54:11
9200.0,30000,0.0,0.0,BU,300200.0,344000.0,True,0.0,10:54:03
9200.0,200,0.0,0.0,BU,270200.0,344000.0,False,0.0,10:53:58
9200.0,10000,0.0,0.0,BU,270000.0,344000.0,False,0.0,10:53:13
9200.0,200,0.0,0.0,BU,260000.0,344000.0,False,0.0,10:52:44
9200.0,10000,0.0,0.0,BU,259800.0,344000.0,False,0.0,10:52:32
9200.0,100,0.0,0.0,BU,249800.0,344000.0,False,0.0,10:51:18
9200.0,1900,0.0,0.0,BU,249700.0,344000.0,False,0.0,10:51:04
9200.0,20000,0.0,0.0,BU,247800.0,344000.0,False,0.0,10:50:29
9200.0,10000,0.0,0.0,BU,227800.0,344000.0,False,0.0,10:49:41
9200.0,100,0.0,0.0,BU,217800.0,344000.0,False,100.0,10:47:28
9100.0,1300,-100.0,0.0,SD,217700.0,344000.0,False,0.0,10:46:58
9100.0,5200,-100.0,0.0,SD,217700.0,342700.0,False,0.0,10:46:34
9100.0,1000,-100.0,0.0,SD,217700.0,337500.0,False,0.0,10:46:16
9100.0,18200,-100.0,0.0,SD,217700.0,336500.0,False,0.0,10:45:46
9100.0,10000,-100.0,0.0,BU,217700.0,318300.0,False,0.0,10:45:28
9100.0,100,-100.0,0.0,BU,207700.0,318300.0,False,0.0,10:45:12
9100.0,30000,-100.0,0.0,BU,207600.0,318300.0,True,100.0,10:45:06
9000.0,700,-200.0,0.0,SD,177600.0,318300.0,False,-100.0,10:44:51
9100.0,800,-100.0,0.0,BU,177600.0,317600.0,False,0.0,10:44:35
9100.0,2000,-100.0,0.0,BU,176800.0,317600.0,False,0.0,10:44:18
9100.0,3000,-100.0,0.0,BU,174800.0,317600.0,False,0.0,10:44:06
9100.0,5000,-100.0,0.0,BU,171800.0,317600.0,False,0.0,10:44:05
9100.0,1100,-100.0,0.0,BU,166800.0,317600.0,False,0.0,10:43:53
9100.0,2000,-100.0,0.0,BU,165700.0,317600.0,False,0.0,10:43:39
9100.0,3000,-100.0,0.0,BU,163700.0,317600.0,False,0.0,10:43:00
9100.0,30000,-100.0,0.0,BU,160700.0,317600.0,True,0.0,10:42:55
9100.0,2800,-100.0,0.0,BU,130700.0,317600.0,False,0.0,10:42:09
9100.0,100,-100.0,0.0,BU,127900.0,317600.0,False,0.0,10:41:41
9100.0,1000,-100.0,0.0,BU,127800.0,317600.0,False,0.0,10:41:07
9100.0,500,-100.0,0.0,BU,126800.0,317600.0,False,0.0,10:40:29
9100.0,100,-100.0,0.0,BU,126300.0,317600.0,False,0.0,10:40:27
9100.0,200,-100.0,0.0,BU,126200.0,317600.0,False,100.0,10:39:55
9000.0,2000,-200.0,0.0,SD,126000.0,317600.0,False,0.0,10:38:43
9000.0,13000,-200.0,0.0,SD,126000.0,315600.0,False,0.0,10:38:26
9000.0,1000,-200.0,0.0,SD,126000.0,302600.0,False,0.0,10:37:44
9000.0,100,-200.0,0.0,SD,126000.0,301600.0,False,0.0,10:37:42
9000.0,1000,-200.0,0.0,SD,126000.0,301500.0,False,0.0,10:37:09
9000.0,500,-200.0,0.0,SD,126000.0,300500.0,False,0.0,10:36:43
9000.0,1400,-200.0,0.0,SD,126000.0,300000.0,False,-100.0,10:36:32
9100.0,500,-100.0,0.0,BU,126000.0,298600.0,False,100.0,10:35:05
9000.0,100,-200.0,0.0,SD,125500.0,298600.0,False,0.0,10:34:56
9000.0,7800,-200.0,0.0,SD,125500.0,298500.0,False,0.0,10:34:54
9000.0,1000,-200.0,0.0,SD,125500.0,290700.0,False,0.0,10:34:50
9000.0,1000,-200.0,0.0,SD,125500.0,289700.0,False,0.0,10:34:31
9000.0,3000,-200.0,0.0,SD,125500.0,288700.0,False,0.0,10:34:15
9000.0,5300,-200.0,0.0,SD,125500.0,285700.0,False,0.0,10:33:26
9000.0,2000,-200.0,0.0,SD,125500.0,280400.0,False,-100.0,10:32:25
9100.0,1200,-100.0,0.0,BU,125500.0,278400.0,False,0.0,10:31:14
9100.0,4400,-100.0,0.0,BU,124300.0,278400.0,False,100.0,10:30:34
9000.0,1000,-200.0,0.0,SD,119900.0,278400.0,False,-100.0,10:30:18
9100.0,100,-100.0,0.0,BU,119900.0,277400.0,False,100.0,10:29:20
9000.0,200,-200.0,0.0,SD,119800.0,277400.0,False,-100.0,10:29:04
9100.0,400,-100.0,0.0,BU,119800.0,277200.0,False,0.0,10:26:58
9100.0,200,-100.0,0.0,BU,119400.0,277200.0,False,0.0,10:26:53
9100.0,100,-100.0,0.0,BU,119200.0,277200.0,False,0.0,10:23:34
