p,v,cp,rcp,a,ba,sa,hl,pcp,t
10900.0,2000,-50.0,0.0,SD,490800.0,1414000.0,False,0.0,11:29:17
10900.0,4100,-50.0,0.0,SD,490800.0,1412000.0,False,0.0,11:29:08
10900.0,1000,-50.0,0.0,SD,490800.0,1407900.0,False,0.0,11:28:22
10900.0,3400,-50.0,0.0,SD,490800.0,1406900.0,False,0.0,11:28:18
10900.0,100,-50.0,0.0,SD,490800.0,1403500.0,False,0.0,11:28:18
10900.0,100,-50.0,0.0,SD,490800.0,1403400.0,False,0.0,11:28:18
10900.0,23500,-50.0,0.0,SD,490800.0,1403300.0,True,0.0,11:28:18
10900.0,50000,-50.0,0.0,SD,490800.0,1379800.0,True,0.0,11:28:18
10900.0,10000,-50.0,0.0,SD,490800.0,1329800.0,False,0.0,11:28:18
10900.0,11200,-50.0,0.0,SD,490800.0,1319800.0,False,0.0,11:28:18
10900.0,1700,-50.0,0.0,SD,490800.0,1308600.0,False,0.0,11:28:18
10900.0,2000,-50.0,0.0,SD,490800.0,1306900.0,False,0.0,11:27:56
10900.0,5000,-50.0,0.0,SD,490800.0,1304900.0,False,-50.0,11:26:50
10950.0,1000,0.0,0.0,BU,490800.0,1299900.0,False,0.0,11:26:20
10950.0,1000,0.0,0.0,BU,489800.0,1299900.0,False,50.0,11:24:15
10900.0,900,-50.0,0.0,SD,488800.0,1299900.0,False,0.0,11:23:41
10900.0,1100,-50.0,0.0,SD,488800.0,1299000.0,False,0.0,11:23:41
10900.0,3900,-50.0,0.0,SD,488800.0,1297900.0,False,0.0,11:23:30
10900.0,1000,-50.0,0.0,SD,488800.0,1294000.0,False,0.0,11:23:30
10900.0,4100,-50.0,0.0,SD,488800.0,1293000.0,False,0.0,11:23:30
10900.0,100,-50.0,0.0,SD,488800.0,1288900.0,False,0.0,11:23:13
10900.0,900,-50.0,0.0,SD,488800.0,1288800.0,False,0.0,11:23:13
10900.0,5500,-50.0,0.0,SD,488800.0,1287900.0,False,0.0,11:19:36
10900.0,3000,-50.0,0.0,SD,488800.0,1282400.0,False,0.0,11:19:36
10900.0,1000,-50.0,0.0,SD,488800.0,1279400.0,False,0.0,11:19:36
10900.0,200,-50.0,0.0,SD,488800.0,1278400.0,False,0.0,11:19:36
10900.0,300,-50.0,0.0,SD,488800.0,1278200.0,False,0.0,11:19:36
10900.0,100,-50.0,0.0,SD,488800.0,1277900.0,False,0.0,11:19:02
10900.0,400,-50.0,0.0,SD,488800.0,1277800.0,False,0.0,11:18:52
10900.0,200,-50.0,0.0,SD,488800.0,1277400.0,False,0.0,11:18:21
10900.0,200,-50.0,0.0,SD,488800.0,1277200.0,False,0.0,11:18:21
10900.0,100,-50.0,0.0,SD,488800.0,1277000.0,False,0.0,11:18:21
10900.0,2500,-50.0,0.0,SD,488800.0,1276900.0,False,0.0,11:18:21
10900.0,1000,-50.0,0.0,SD,488800.0,1274400.0,False,0.0,11:17:10
10900.0,1000,-50.0,0.0,SD,488800.0,1273400.0,False,0.0,11:16:44
10900.0,100,-50.0,0.0,SD,488800.0,1272400.0,False,0.0,11:16:35
10900.0,300,-50.0,0.0,SD,488800.0,1272300.0,False,-50.0,11:16:02
10950.0,100,0.0,0.0,BU,488800.0,1272000.0,False,0.0,11:16:01
10950.0,100,0.0,0.0,BU,488700.0,1272000.0,False,0.0,11:14:56
10950.0,100,0.0,0.0,BU,488600.0,1272000.0,False,0.0,11:13:14
10950.0,500,0.0,0.0,BU,488500.0,1272000.0,False,0.0,11:09:49
10950.0,200,0.0,0.0,BU,488000.0,1272000.0,False,50.0,11:09:34
10900.0,100,-50.0,0.0,SD,487800.0,1272000.0,False,0.0,11:09:26
10900.0,100,-50.0,0.0,SD,487800.0,1271900.0,False,0.0,11:09:26
10900.0,300,-50.0,0.0,SD,487800.0,1271800.0,False,0.0,11:09:26
10900.0,100,-50.0,0.0,SD,487800.0,1271500.0,False,0.0,11:09:26
10900.0,700,-50.0,0.0,SD,487800.0,1271400.0,False,0.0,11:09:26
10900.0,300,-50.0,0.0,SD,487800.0,1270700.0,False,0.0,11:09:20
10900.0,400,-50.0,0.0,SD,487800.0,1270400.0,False,0.0,11:09:20
10900.0,600,-50.0,0.0,SD,487800.0,1270000.0,False,0.0,11:06:38
10900.0,1000,-50.0,0.0,SD,487800.0,1269400.0,False,0.0,11:06:38
10900.0,400,-50.0,0.0,SD,487800.0,1268400.0,False,-50.0,11:06:38
10950.0,300,0.0,0.0,SD,487800.0,1268000.0,False,0.0,11:06:07
10950.0,100,0.0,0.0,SD,487800.0,1267700.0,False,0.0,11:06:07
10950.0,1000,0.0,0.0,SD,487800.0,1267600.0,False,0.0,11:06:07
10950.0,1900,0.0,0.0,SD,487800.0,1266600.0,False,0.0,11:06:07
10950.0,6100,0.0,0.0,SD,487800.0,1264700.0,False,0.0,11:06:01
10950.0,3000,0.0,0.0,SD,487800.0,1258600.0,False,0.0,11:05:56
10950.0,500,0.0,0.0,SD,487800.0,1255600.0,False,0.0,11:05:51
10950.0,100,0.0,0.0,SD,487800.0,1255100.0,False,0.0,11:05:50
10950.0,12600,0.0,0.0,SD,487800.0,1255000.0,False,0.0,11:05:49
10950.0,25800,0.0,0.0,SD,487800.0,1242400.0,True,0.0,11:05:46
10950.0,3300,0.0,0.0,SD,487800.0,1216600.0,False,0.0,11:05:46
10950.0,100,0.0,0.0,SD,487800.0,1213300.0,False,0.0,11:05:46
10950.0,5500,0.0,0.0,SD,487800.0,1213200.0,False,0.0,11:05:46
10950.0,100,0.0,0.0,SD,487800.0,1207700.0,False,0.0,11:05:46
10950.0,600,0.0,0.0,SD,487800.0,1207600.0,False,0.0,11:05:46
10950.0,100,0.0,0.0,SD,487800.0,1207000.0,False,0.0,11:05:46
10950.0,9900,0.0,0.0,SD,487800.0,1206900.0,False,0.0,11:05:46
10950.0,4600,0.0,0.0,SD,487800.0,1197000.0,False,0.0,11:05:46
10950.0,500,0.0,0.0,SD,487800.0,1192400.0,False,0.0,11:04:57
10950.0,5000,0.0,0.0,SD,487800.0,1191900.0,False,0.0,11:04:29
10950.0,5000,0.0,0.0,SD,487800.0,1186900.0,False,0.0,11:03:55
10950.0,4900,0.0,0.0,SD,487800.0,1181900.0,False,0.0,11:03:54
10950.0,5100,0.0,0.0,SD,487800.0,1177000.0,False,-50.0,11:03:54
11000.0,600,50.0,0.0,BU,487800.0,1171900.0,False,50.0,11:03:22
10950.0,600,0.0,0.0,SD,487200.0,1171900.0,False,-50.0,11:03:18
11000.0,100,50.0,0.0,BU,487200.0,1171300.0,False,0.0,11:01:56
11000.0,500,50.0,0.0,BU,487100.0,1171300.0,False,0.0,11:01:56
11000.0,1000,50.0,0.0,BU,486600.0,1171300.0,False,0.0,11:01:56
11000.0,200,50.0,0.0,BU,485600.0,1171300.0,False,0.0,11:01:56
11000.0,200,50.0,0.0,BU,485400.0,1171300.0,False,0.0,11:01:56
11000.0,100,50.0,0.0,BU,485200.0,1171300.0,False,0.0,11:01:15
11000.0,400,50.0,0.0,BU,485100.0,1171300.0,False,0.0,11:01:08
11000.0,100,50.0,0.0,BU,484700.0,1171300.0,False,0.0,11:00:01
11000.0,3400,50.0,0.0,BU,484600.0,1171300.0,False,0.0,11:00:01
11000.0,200,50.0,0.0,BU,481200.0,1171300.0,False,0.0,11:00:01
11000.0,1400,50.0,0.0,BU,481000.0,1171300.0,False,0.0,11:00:01
11000.0,3000,50.0,0.0,BU,479600.0,1171300.0,False,0.0,10:59:58
11000.0,5000,50.0,0.0,BU,476600.0,1171300.0,False,0.0,10:59:45
11000.0,500,50.0,0.0,BU,471600.0,1171300.0,False,0.0,10:59:30
11000.0,100,50.0,0.0,BU,471100.0,1171300.0,False,0.0,10:58:42
11000.0,100,50.0,0.0,BU,471000.0,1171300.0,False,0.0,10:58:10
11000.0,2000,50.0,0.0,BU,470900.0,1171300.0,False,0.0,10:58:10
11000.0,900,50.0,0.0,BU,468900.0,1171300.0,False,0.0,10:58:10
11000.0,700,50.0,0.0,BU,468000.0,1171300.0,False,50.0,10:55:48
10950.0,3000,0.0,0.0,SD,467300.0,1171300.0,False,-50.0,10:55:48
11000.0,100,50.0,0.0,BU,467300.0,1168300.0,False,0.0,10:55:11
11000.0,500,50.0,0.0,BU,467200.0,1168300.0,False,0.0,10:54:44
11000.0,7800,50.0,0.0,BU,466700.0,1168300.0,False,0.0,10:53:45
11000.0,500,50.0,0.0,BU,458900.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,458400.0,1168300.0,False,0.0,10:53:15
11000.0,500,50.0,0.0,BU,457400.0,1168300.0,False,0.0,10:53:15
11000.0,200,50.0,0.0,BU,456900.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,456700.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,455700.0,1168300.0,False,0.0,10:53:15
11000.0,2900,50.0,0.0,BU,454700.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,451800.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,450800.0,1168300.0,False,0.0,10:53:15
11000.0,1100,50.0,0.0,BU,449800.0,1168300.0,False,0.0,10:53:15
11000.0,5000,50.0,0.0,BU,448700.0,1168300.0,False,0.0,10:53:15
11000.0,500,50.0,0.0,BU,443700.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,443200.0,1168300.0,False,0.0,10:53:15
11000.0,5000,50.0,0.0,BU,442200.0,1168300.0,False,0.0,10:53:15
11000.0,300,50.0,0.0,BU,437200.0,1168300.0,False,0.0,10:53:15
11000.0,12600,50.0,0.0,BU,436900.0,1168300.0,False,0.0,10:53:15
11000.0,3000,50.0,0.0,BU,424300.0,1168300.0,False,0.0,10:53:15
11000.0,1200,50.0,0.0,BU,421300.0,1168300.0,False,0.0,10:53:15
11000.0,200,50.0,0.0,BU,420100.0,1168300.0,False,0.0,10:53:15
11000.0,8500,50.0,0.0,BU,419900.0,1168300.0,False,0.0,10:53:15
11000.0,300,50.0,0.0,BU,411400.0,1168300.0,False,0.0,10:53:15
11000.0,100,50.0,0.0,BU,411100.0,1168300.0,False,0.0,10:53:15
11000.0,100,50.0,0.0,BU,411000.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,410900.0,1168300.0,False,0.0,10:53:15
11000.0,100,50.0,0.0,BU,409900.0,1168300.0,False,0.0,10:53:15
11000.0,500,50.0,0.0,BU,409800.0,1168300.0,False,0.0,10:53:15
11000.0,2000,50.0,0.0,BU,409300.0,1168300.0,False,0.0,10:53:15
11000.0,500,50.0,0.0,BU,407300.0,1168300.0,False,0.0,10:53:15
11000.0,5000,50.0,0.0,BU,406800.0,1168300.0,False,0.0,10:53:15
11000.0,1000,50.0,0.0,BU,401800.0,1168300.0,False,0.0,10:53:15
11000.0,6000,50.0,0.0,BU,400800.0,1168300.0,False,0.0,10:53:15
11000.0,3000,50.0,0.0,BU,394800.0,1168300.0,False,0.0,10:53:15
11000.0,19500,50.0,0.0,BU,391800.0,1168300.0,True,0.0,10:53:15
11000.0,5000,50.0,0.0,BU,372300.0,1168300.0,False,0.0,10:53:15
11000.0,600,50.0,0.0,BU,367300.0,1168300.0,False,0.0,10:53:15
11000.0,400,50.0,0.0,BU,366700.0,1168300.0,False,50.0,10:53:10
10950.0,5000,0.0,0.0,SD,366300.0,1168300.0,False,0.0,10:51:19
10950.0,6000,0.0,0.0,BU,366300.0,1163300.0,False,0.0,10:50:25
10950.0,300,0.0,0.0,BU,360300.0,1163300.0,False,0.0,10:50:25
10950.0,100,0.0,0.0,BU,360000.0,1163300.0,False,0.0,10:50:12
10950.0,200,0.0,0.0,BU,359900.0,1163300.0,False,0.0,10:50:10
10950.0,5400,0.0,0.0,BU,359700.0,1163300.0,False,0.0,10:50:02
10950.0,4000,0.0,0.0,BU,354300.0,1163300.0,False,0.0,10:50:02
10950.0,600,0.0,0.0,BU,350300.0,1163300.0,False,0.0,10:50:02
10950.0,400,0.0,0.0,BU,349700.0,1163300.0,False,0.0,10:49:54
10950.0,100,0.0,0.0,BU,349300.0,1163300.0,False,0.0,10:49:54
10950.0,10000,0.0,0.0,BU,349200.0,1163300.0,False,0.0,10:49:51
10950.0,2000,0.0,0.0,BU,339200.0,1163300.0,False,0.0,10:49:51
10950.0,300,0.0,0.0,BU,337200.0,1163300.0,False,0.0,10:49:51
10950.0,2000,0.0,0.0,BU,336900.0,1163300.0,False,0.0,10:49:51
10950.0,1000,0.0,0.0,BU,334900.0,1163300.0,False,0.0,10:49:51
10950.0,4700,0.0,0.0,BU,333900.0,1163300.0,False,0.0,10:49:51
10950.0,200,0.0,0.0,BU,329200.0,1163300.0,False,0.0,10:48:46
10950.0,100,0.0,0.0,BU,329000.0,1163300.0,False,50.0,10:48:13
10900.0,1600,-50.0,0.0,SD,328900.0,1163300.0,False,0.0,10:45:32
10900.0,200,-50.0,0.0,SD,328900.0,1161700.0,False,0.0,10:45:32
10900.0,200,-50.0,0.0,SD,328900.0,1161500.0,False,0.0,10:45:32
10900.0,1000,-50.0,0.0,SD,328900.0,1161300.0,False,0.0,10:45:32
10900.0,2000,-50.0,0.0,SD,328900.0,1160300.0,False,-50.0,10:45:32
10950.0,500,0.0,0.0,BU,328900.0,1158300.0,False,0.0,10:44:23
10950.0,500,0.0,0.0,BU,328400.0,1158300.0,False,0.0,10:44:16
10950.0,900,0.0,0.0,BU,327900.0,1158300.0,False,0.0,10:44:16
10950.0,100,0.0,0.0,BU,327000.0,1158300.0,False,0.0,10:44:02
10950.0,1000,0.0,0.0,BU,326900.0,1158300.0,False,50.0,10:43:37
10900.0,2500,-50.0,0.0,SD,325900.0,1158300.0,False,0.0,10:42:36
10900.0,500,-50.0,0.0,BU,325900.0,1155800.0,False,0.0,10:42:23
10900.0,1200,-50.0,0.0,BU,325400.0,1155800.0,False,0.0,10:42:13
10900.0,100,-50.0,0.0,BU,324200.0,1155800.0,False,0.0,10:42:12
10900.0,100,-50.0,0.0,SD,324100.0,1155800.0,False,0.0,10:41:44
10900.0,2100,-50.0,0.0,SD,324100.0,1155700.0,False,0.0,10:41:44
10900.0,200,-50.0,0.0,SD,324100.0,1153600.0,False,0.0,10:41:28
10900.0,2800,-50.0,0.0,SD,324100.0,1153400.0,False,0.0,10:41:28
10900.0,7200,-50.0,0.0,SD,324100.0,1150600.0,False,0.0,10:41:17
10900.0,3900,-50.0,0.0,SD,324100.0,1143400.0,False,0.0,10:41:17
10900.0,6100,-50.0,0.0,BU,324100.0,1139500.0,False,0.0,10:41:13
10900.0,500,-50.0,0.0,SD,318000.0,1139500.0,False,0.0,10:41:02
10900.0,100,-50.0,0.0,SD,318000.0,1139000.0,False,0.0,10:41:02
10900.0,400,-50.0,0.0,SD,318000.0,1138900.0,False,0.0,10:41:02
10900.0,100,-50.0,0.0,SD,318000.0,1138500.0,False,0.0,10:41:02
10900.0,2000,-50.0,0.0,SD,318000.0,1138400.0,False,0.0,10:41:02
10900.0,800,-50.0,0.0,SD,318000.0,1136400.0,False,0.0,10:41:02
10900.0,200,-50.0,0.0,SD,318000.0,1135600.0,False,0.0,10:40:41
10900.0,100,-50.0,0.0,SD,318000.0,1135400.0,False,0.0,10:40:41
10900.0,900,-50.0,0.0,BU,318000.0,1135300.0,False,0.0,10:39:59
10900.0,1000,-50.0,0.0,BU,317100.0,1135300.0,False,0.0,10:39:47
10900.0,100,-50.0,0.0,BU,316100.0,1135300.0,False,0.0,10:39:42
10900.0,100,-50.0,0.0,BU,316000.0,1135300.0,False,0.0,10:39:42
10900.0,300,-50.0,0.0,BU,315900.0,1135300.0,False,0.0,10:39:36
10900.0,200,-50.0,0.0,BU,315600.0,1135300.0,False,0.0,10:39:36
10900.0,1000,-50.0,0.0,BU,315400.0,1135300.0,False,0.0,10:39:34
10900.0,400,-50.0,0.0,BU,314400.0,1135300.0,False,0.0,10:39:33
