p,v,cp,rcp,a,ba,sa,hl,pcp,t
14000.0,2200,0.0,0.0,SD,1100.0,9400.0,False,-100.0,10:31:27
14100.0,1800,100.0,0.0,SD,1100.0,7200.0,False,0.0,10:20:35
14100.0,3000,100.0,0.0,SD,1100.0,5400.0,False,0.0,10:11:48
14100.0,100,100.0,0.0,SD,1100.0,2400.0,False,0.0,10:10:00
14100.0,100,100.0,0.0,SD,1100.0,2300.0,False,-100.0,10:09:00
14200.0,100,200.0,0.0,BU,1100.0,2200.0,False,100.0,10:07:34
14100.0,100,100.0,0.0,SD,1000.0,2200.0,False,0.0,10:07:13
14100.0,1000,100.0,0.0,SD,1000.0,2100.0,False,0.0,09:29:12
14100.0,1000,100.0,0.0,BU,1000.0,1100.0,False,100.0,09:23:21
14000.0,600,0.0,0.0,SD,0.0,1100.0,False,0.0,09:11:45
14000.0,500,0.0,0.0,SD,0.0,500.0,False,0.0,09:10:34
