p,v,cp,rcp,a,ba,sa,hl,pcp,t
69600.0,400,-1400.0,0.0,SD,27300.0,122100.0,False,0.0,11:29:28
69600.0,500,-1400.0,0.0,SD,27300.0,121700.0,False,0.0,11:28:47
69600.0,500,-1400.0,0.0,SD,27300.0,121200.0,False,0.0,11:28:03
69600.0,500,-1400.0,0.0,SD,27300.0,120700.0,False,0.0,11:27:17
69600.0,400,-1400.0,0.0,SD,27300.0,120200.0,False,0.0,11:26:31
69600.0,300,-1400.0,0.0,SD,27300.0,119800.0,False,-100.0,11:26:18
69700.0,400,-1300.0,0.0,SD,27300.0,119500.0,False,0.0,11:25:50
69700.0,100,-1300.0,0.0,SD,27300.0,119100.0,False,100.0,11:25:39
69600.0,500,-1400.0,0.0,SD,27300.0,119000.0,False,-100.0,11:25:07
69700.0,100,-1300.0,0.0,BU,27300.0,118500.0,False,0.0,11:24:27
69700.0,300,-1300.0,0.0,BU,27200.0,118500.0,False,0.0,11:24:27
69700.0,100,-1300.0,0.0,BU,26900.0,118500.0,False,0.0,11:24:27
69700.0,400,-1300.0,0.0,SD,26800.0,118500.0,False,100.0,11:23:41
69600.0,300,-1400.0,0.0,SD,26800.0,118100.0,False,-200.0,11:23:00
69800.0,200,-1200.0,0.0,BU,26800.0,117800.0,False,-200.0,11:23:00
70000.0,500,-1000.0,0.0,BU,26600.0,117800.0,False,0.0,11:21:32
70000.0,500,-1000.0,0.0,BU,26100.0,117800.0,False,0.0,11:21:32
70000.0,400,-1000.0,0.0,BU,25600.0,117800.0,False,0.0,11:21:32
70000.0,500,-1000.0,0.0,BU,25200.0,117800.0,False,400.0,11:21:32
69600.0,500,-1400.0,0.0,SD,24700.0,117800.0,False,0.0,11:20:51
69600.0,900,-1400.0,0.0,SD,24700.0,117300.0,False,0.0,11:20:40
69600.0,500,-1400.0,0.0,SD,24700.0,116400.0,False,0.0,11:20:07
69600.0,400,-1400.0,0.0,SD,24700.0,115900.0,False,0.0,11:19:23
69600.0,400,-1400.0,0.0,SD,24700.0,115500.0,False,0.0,11:18:41
69600.0,500,-1400.0,0.0,SD,24700.0,115100.0,False,0.0,11:18:00
69600.0,300,-1400.0,0.0,SD,24700.0,114600.0,False,-300.0,11:17:16
69900.0,200,-1100.0,0.0,SD,24700.0,114300.0,False,300.0,11:17:16
69600.0,400,-1400.0,0.0,SD,24700.0,114100.0,False,0.0,11:16:35
69600.0,500,-1400.0,0.0,SD,24700.0,113700.0,False,0.0,11:15:53
69600.0,500,-1400.0,0.0,SD,24700.0,113200.0,False,-300.0,11:15:09
69900.0,200,-1100.0,0.0,SD,24700.0,112700.0,False,-100.0,11:14:22
70000.0,200,-1000.0,0.0,SD,24700.0,112500.0,False,400.0,11:14:22
