p,v,cp,rcp,a,ba,sa,hl,pcp,t
27100.0,100,-850.0,0.0,BU,60100.0,180600.0,False,0.0,14:03:29
27100.0,100,-850.0,0.0,BU,60000.0,180600.0,False,0.0,14:03:07
27100.0,100,-850.0,0.0,BU,59900.0,180600.0,False,0.0,14:03:01
27100.0,200,-850.0,0.0,BU,59800.0,180600.0,False,0.0,14:02:34
27100.0,200,-850.0,0.0,BU,59600.0,180600.0,False,0.0,14:01:56
27100.0,600,-850.0,0.0,BU,59400.0,180600.0,False,0.0,14:01:56
27100.0,200,-850.0,0.0,BU,58800.0,180600.0,False,0.0,14:01:34
27100.0,300,-850.0,0.0,BU,58600.0,180600.0,False,0.0,14:00:42
27100.0,1000,-850.0,0.0,BU,58300.0,180600.0,False,0.0,14:00:42
27100.0,500,-850.0,0.0,BU,57300.0,180600.0,False,0.0,14:00:42
27100.0,100,-850.0,0.0,BU,56800.0,180600.0,False,0.0,14:00:42
27100.0,300,-850.0,0.0,BU,56700.0,180600.0,False,0.0,14:00:42
27100.0,100,-850.0,0.0,BU,56400.0,180600.0,False,0.0,14:00:30
27100.0,100,-850.0,0.0,BU,56300.0,180600.0,False,50.0,14:00:04
27050.0,1000,-900.0,0.0,BU,56200.0,180600.0,False,50.0,13:58:55
27000.0,500,-950.0,0.0,SD,55200.0,180600.0,False,0.0,13:58:03
27000.0,500,-950.0,0.0,SD,55200.0,180100.0,False,0.0,13:58:03
27000.0,400,-950.0,0.0,SD,55200.0,179600.0,False,0.0,13:57:40
27000.0,100,-950.0,0.0,SD,55200.0,179200.0,False,0.0,13:57:40
27000.0,200,-950.0,0.0,SD,55200.0,179100.0,False,0.0,13:57:40
27000.0,300,-950.0,0.0,SD,55200.0,178900.0,False,0.0,13:57:40
27000.0,200,-950.0,0.0,BU,55200.0,178600.0,False,0.0,13:55:37
27000.0,200,-950.0,0.0,BU,55000.0,178600.0,False,50.0,13:55:35
26950.0,100,-1000.0,0.0,SD,54800.0,178600.0,False,0.0,13:54:46
26950.0,100,-1000.0,0.0,SD,54800.0,178500.0,False,0.0,13:54:46
26950.0,400,-1000.0,0.0,SD,54800.0,178400.0,False,0.0,13:54:45
26950.0,100,-1000.0,0.0,SD,54800.0,178000.0,False,-50.0,13:54:09
27000.0,200,-950.0,0.0,BU,54800.0,177900.0,False,0.0,13:53:47
27000.0,200,-950.0,0.0,BU,54600.0,177900.0,False,0.0,13:53:16
27000.0,100,-950.0,0.0,BU,54400.0,177900.0,False,0.0,13:53:05
27000.0,100,-950.0,0.0,BU,54300.0,177900.0,False,0.0,13:52:59
27000.0,200,-950.0,0.0,BU,54200.0,177900.0,False,0.0,13:52:59
27000.0,2000,-950.0,0.0,BU,54000.0,177900.0,False,0.0,13:52:56
27000.0,500,-950.0,0.0,BU,52000.0,177900.0,False,50.0,13:52:29
26950.0,500,-1000.0,0.0,SD,51500.0,177900.0,False,0.0,13:52:25
26950.0,400,-1000.0,0.0,SD,51500.0,177400.0,False,0.0,13:52:24
26950.0,600,-1000.0,0.0,SD,51500.0,177000.0,False,0.0,13:51:10
26950.0,400,-1000.0,0.0,SD,51500.0,176400.0,False,-50.0,13:51:10
27000.0,300,-950.0,0.0,BU,51500.0,176000.0,False,50.0,13:50:53
26950.0,100,-1000.0,0.0,SD,51200.0,176000.0,False,0.0,13:49:32
26950.0,500,-1000.0,0.0,SD,51200.0,175900.0,False,0.0,13:49:24
26950.0,100,-1000.0,0.0,SD,51200.0,175400.0,False,0.0,13:49:24
26950.0,400,-1000.0,0.0,SD,51200.0,175300.0,False,-50.0,13:49:24
27000.0,100,-950.0,0.0,BU,51200.0,174900.0,False,0.0,13:49:03
27000.0,5000,-950.0,0.0,BU,51100.0,174900.0,False,0.0,13:47:29
27000.0,500,-950.0,0.0,BU,46100.0,174900.0,False,0.0,13:47:29
27000.0,200,-950.0,0.0,BU,45600.0,174900.0,False,0.0,13:47:29
27000.0,100,-950.0,0.0,BU,45400.0,174900.0,False,0.0,13:47:29
27000.0,100,-950.0,0.0,BU,45300.0,174900.0,False,0.0,13:47:29
27000.0,200,-950.0,0.0,BU,45200.0,174900.0,False,0.0,13:47:29
27000.0,500,-950.0,0.0,BU,45000.0,174900.0,False,0.0,13:47:29
27000.0,1000,-950.0,0.0,BU,44500.0,174900.0,False,0.0,13:47:29
27000.0,1600,-950.0,0.0,SD,43500.0,174900.0,False,-50.0,13:46:52
27050.0,100,-900.0,0.0,BU,43500.0,173300.0,False,0.0,13:46:27
27050.0,100,-900.0,0.0,BU,43400.0,173300.0,False,0.0,13:46:27
27050.0,100,-900.0,0.0,BU,43300.0,173300.0,False,0.0,13:46:27
27050.0,200,-900.0,0.0,BU,43200.0,173300.0,False,0.0,13:46:27
27050.0,100,-900.0,0.0,BU,43000.0,173300.0,False,0.0,13:46:27
27050.0,100,-900.0,0.0,BU,42900.0,173300.0,False,0.0,13:46:27
27050.0,300,-900.0,0.0,BU,42800.0,173300.0,False,0.0,13:46:27
27050.0,300,-900.0,0.0,BU,42500.0,173300.0,False,0.0,13:46:27
27050.0,100,-900.0,0.0,SD,42200.0,173300.0,False,0.0,13:45:17
27050.0,500,-900.0,0.0,SD,42200.0,173200.0,False,0.0,13:44:02
27050.0,700,-900.0,0.0,SD,42200.0,172700.0,False,0.0,13:44:02
27050.0,100,-900.0,0.0,SD,42200.0,172000.0,False,0.0,13:44:02
27050.0,200,-900.0,0.0,SD,42200.0,171900.0,False,-50.0,13:44:02
27100.0,100,-850.0,0.0,BU,42200.0,171700.0,False,0.0,13:43:31
27100.0,400,-850.0,0.0,BU,42100.0,171700.0,False,50.0,13:43:08
27050.0,500,-900.0,0.0,SD,41700.0,171700.0,False,-50.0,13:43:04
