p,v,cp,rcp,a,ba,sa,hl,pcp,t
8500.0,1200,-100.0,0.0,SD,608900.0,1139500.0,False,0.0,14:03:37
8500.0,500,-100.0,0.0,SD,608900.0,1138300.0,False,0.0,14:02:38
8500.0,700,-100.0,0.0,SD,608900.0,1137800.0,False,0.0,14:02:03
8500.0,600,-100.0,0.0,SD,608900.0,1137100.0,False,0.0,14:01:48
8500.0,15100,-100.0,0.0,BU,608900.0,1136500.0,False,0.0,14:01:44
8500.0,100,-100.0,0.0,BU,593800.0,1136500.0,False,0.0,14:01:30
8500.0,100,-100.0,0.0,BU,593700.0,1136500.0,False,0.0,14:01:25
8500.0,3000,-100.0,0.0,BU,593600.0,1136500.0,False,0.0,14:00:59
8500.0,2000,-100.0,0.0,BU,590600.0,1136500.0,False,0.0,14:00:49
8500.0,100,-100.0,0.0,BU,588600.0,1136500.0,False,0.0,14:00:47
8500.0,2000,-100.0,0.0,BU,588500.0,1136500.0,False,0.0,14:00:32
8500.0,1000,-100.0,0.0,BU,586500.0,1136500.0,False,0.0,14:00:30
8500.0,40000,-100.0,0.0,BU,585500.0,1136500.0,True,0.0,14:00:10
8500.0,1000,-100.0,0.0,BU,545500.0,1136500.0,False,0.0,13:59:49
8500.0,600,-100.0,0.0,BU,544500.0,1136500.0,False,0.0,13:59:28
8500.0,1000,-100.0,0.0,BU,543900.0,1136500.0,False,100.0,13:59:00
8400.0,3000,-200.0,0.0,SD,542900.0,1136500.0,False,-100.0,13:58:30
8500.0,1400,-100.0,0.0,BU,542900.0,1133500.0,False,100.0,13:58:08
8400.0,6400,-200.0,0.0,SD,541500.0,1133500.0,False,0.0,13:57:07
8400.0,1700,-200.0,0.0,SD,541500.0,1127100.0,False,0.0,13:56:25
8400.0,1000,-200.0,0.0,SD,541500.0,1125400.0,False,0.0,13:55:58
8400.0,1800,-200.0,0.0,SD,541500.0,1124400.0,False,-100.0,13:55:39
8500.0,300,-100.0,0.0,BU,541500.0,1122600.0,False,100.0,13:55:12
8400.0,5000,-200.0,0.0,SD,541200.0,1122600.0,False,-100.0,13:55:09
8500.0,100,-100.0,0.0,BU,541200.0,1117600.0,False,0.0,13:54:03
8500.0,400,-100.0,0.0,BU,541100.0,1117600.0,False,0.0,13:53:30
8500.0,1000,-100.0,0.0,BU,540700.0,1117600.0,False,100.0,13:51:46
8400.0,1000,-200.0,0.0,SD,539700.0,1117600.0,False,0.0,13:51:19
8400.0,8000,-200.0,0.0,SD,539700.0,1116600.0,False,0.0,13:50:22
8400.0,200,-200.0,0.0,SD,539700.0,1108600.0,False,0.0,13:49:41
8400.0,2000,-200.0,0.0,SD,539700.0,1108400.0,False,0.0,13:49:26
8400.0,50000,-200.0,0.0,SD,539700.0,1106400.0,True,0.0,13:49:16
8400.0,5000,-200.0,0.0,SD,539700.0,1056400.0,False,0.0,13:48:37
8400.0,1500,-200.0,0.0,SD,539700.0,1051400.0,False,0.0,13:48:31
8400.0,2300,-200.0,0.0,SD,539700.0,1049900.0,False,0.0,13:48:30
8400.0,2000,-200.0,0.0,SD,539700.0,1047600.0,False,0.0,13:48:04
8400.0,10000,-200.0,0.0,SD,539700.0,1045600.0,False,0.0,13:47:37
8400.0,32000,-200.0,0.0,SD,539700.0,1035600.0,True,0.0,13:47:07
8400.0,2200,-200.0,0.0,SD,539700.0,1003600.0,False,0.0,13:46:57
8400.0,200,-200.0,0.0,SD,539700.0,1001400.0,False,-100.0,13:46:42
8500.0,3000,-100.0,0.0,BU,539700.0,1001200.0,False,0.0,13:45:46
8500.0,900,-100.0,0.0,BU,536700.0,1001200.0,False,0.0,13:44:55
8500.0,200,-100.0,0.0,BU,535800.0,1001200.0,False,0.0,13:44:16
8500.0,600,-100.0,0.0,BU,535600.0,1001200.0,False,0.0,13:42:38
8500.0,600,-100.0,0.0,BU,535000.0,1001200.0,False,0.0,13:42:26
8500.0,500,-100.0,0.0,BU,534400.0,1001200.0,False,0.0,13:42:25
8500.0,100,-100.0,0.0,BU,533900.0,1001200.0,False,0.0,13:42:12
8500.0,700,-100.0,0.0,BU,533800.0,1001200.0,False,0.0,13:42:01
8500.0,500,-100.0,0.0,BU,533100.0,1001200.0,False,0.0,13:41:41
8500.0,1300,-100.0,0.0,BU,532600.0,1001200.0,False,0.0,13:41:29
8500.0,800,-100.0,0.0,BU,531300.0,1001200.0,False,0.0,13:41:22
8500.0,500,-100.0,0.0,BU,530500.0,1001200.0,False,0.0,13:41:07
8500.0,1000,-100.0,0.0,BU,530000.0,1001200.0,False,100.0,13:40:41
8400.0,4800,-200.0,0.0,SD,529000.0,1001200.0,False,0.0,13:39:35
8400.0,800,-200.0,0.0,SD,529000.0,996400.0,False,-100.0,13:39:11
8500.0,200,-100.0,0.0,BU,529000.0,995600.0,False,100.0,13:38:56
