p,v,cp,rcp,a,ba,sa,hl,pcp,t
19400.0,2000,150.0,0.0,SD,2070300.0,2864500.0,False,50.0,14:03:21
19350.0,100,100.0,0.0,SD,2070300.0,2862500.0,False,0.0,14:03:11
19350.0,1400,100.0,0.0,SD,2070300.0,2862400.0,False,-50.0,14:03:11
19400.0,1000,150.0,0.0,SD,2070300.0,2861000.0,False,0.0,14:03:11
19400.0,500,150.0,0.0,SD,2070300.0,2860000.0,False,0.0,14:03:11
19400.0,100,150.0,0.0,BU,2070300.0,2859500.0,False,0.0,14:03:05
19400.0,400,150.0,0.0,BU,2070200.0,2859500.0,False,0.0,14:03:05
19400.0,100,150.0,0.0,BU,2069800.0,2859500.0,False,0.0,14:03:03
19400.0,100,150.0,0.0,BU,2069700.0,2859500.0,False,0.0,14:02:59
19400.0,1000,150.0,0.0,BU,2069600.0,2859500.0,False,0.0,14:02:57
19400.0,200,150.0,0.0,BU,2068600.0,2859500.0,False,0.0,14:02:57
19400.0,300,150.0,0.0,BU,2068400.0,2859500.0,False,0.0,14:02:57
19400.0,500,150.0,0.0,BU,2068100.0,2859500.0,False,0.0,14:02:57
19400.0,500,150.0,0.0,BU,2067600.0,2859500.0,False,0.0,14:02:53
19400.0,100,150.0,0.0,BU,2067100.0,2859500.0,False,0.0,14:02:53
19400.0,1700,150.0,0.0,BU,2067000.0,2859500.0,False,0.0,14:02:53
19400.0,400,150.0,0.0,BU,2065300.0,2859500.0,False,0.0,14:02:53
19400.0,2000,150.0,0.0,BU,2064900.0,2859500.0,False,0.0,14:02:53
19400.0,300,150.0,0.0,BU,2062900.0,2859500.0,False,0.0,14:02:53
19400.0,400,150.0,0.0,BU,2062600.0,2859500.0,False,0.0,14:02:53
19400.0,100,150.0,0.0,BU,2062200.0,2859500.0,False,0.0,14:02:53
19400.0,100,150.0,0.0,BU,2062100.0,2859500.0,False,0.0,14:02:53
19400.0,3000,150.0,0.0,BU,2062000.0,2859500.0,False,0.0,14:02:53
19400.0,300,150.0,0.0,BU,2059000.0,2859500.0,False,0.0,14:02:53
19400.0,100,150.0,0.0,BU,2058700.0,2859500.0,False,0.0,14:02:53
19400.0,200,150.0,0.0,BU,2058600.0,2859500.0,False,0.0,14:02:53
19400.0,100,150.0,0.0,BU,2058400.0,2859500.0,False,0.0,14:02:53
19400.0,200,150.0,0.0,BU,2058300.0,2859500.0,False,0.0,14:02:53
19400.0,500,150.0,0.0,BU,2058100.0,2859500.0,False,50.0,14:02:53
19350.0,2000,100.0,0.0,SD,2057600.0,2859500.0,False,0.0,14:02:41
19350.0,1500,100.0,0.0,SD,2057600.0,2857500.0,False,0.0,14:02:33
19350.0,300,100.0,0.0,SD,2057600.0,2856000.0,False,0.0,14:02:33
19350.0,100,100.0,0.0,SD,2057600.0,2855700.0,False,0.0,14:02:33
19350.0,100,100.0,0.0,SD,2057600.0,2855600.0,False,0.0,14:02:33
19350.0,1500,100.0,0.0,SD,2057600.0,2855500.0,False,0.0,14:02:25
19350.0,500,100.0,0.0,SD,2057600.0,2854000.0,False,-50.0,14:02:25
19400.0,200,150.0,0.0,BU,2057600.0,2853500.0,False,0.0,14:02:12
19400.0,2300,150.0,0.0,BU,2057400.0,2853500.0,False,0.0,14:02:11
19400.0,200,150.0,0.0,BU,2055100.0,2853500.0,False,0.0,14:02:11
19400.0,2000,150.0,0.0,BU,2054900.0,2853500.0,False,0.0,14:02:11
19400.0,200,150.0,0.0,BU,2052900.0,2853500.0,False,0.0,14:02:11
19400.0,100,150.0,0.0,BU,2052700.0,2853500.0,False,0.0,14:02:11
19400.0,200,150.0,0.0,BU,2052600.0,2853500.0,False,0.0,14:02:11
19400.0,200,150.0,0.0,BU,2052400.0,2853500.0,False,0.0,14:02:11
19400.0,800,150.0,0.0,BU,2052200.0,2853500.0,False,0.0,14:02:09
19400.0,100,150.0,0.0,BU,2051400.0,2853500.0,False,0.0,14:02:09
19400.0,100,150.0,0.0,BU,2051300.0,2853500.0,False,0.0,14:02:09
19400.0,2000,150.0,0.0,BU,2051200.0,2853500.0,False,0.0,14:02:09
19400.0,1500,150.0,0.0,BU,2049200.0,2853500.0,False,0.0,14:02:09
19400.0,3000,150.0,0.0,BU,2047700.0,2853500.0,False,0.0,14:02:09
19400.0,100,150.0,0.0,BU,2044700.0,2853500.0,False,0.0,14:02:09
19400.0,1700,150.0,0.0,BU,2044600.0,2853500.0,False,0.0,14:02:09
19400.0,100,150.0,0.0,BU,2042900.0,2853500.0,False,0.0,14:02:09
19400.0,600,150.0,0.0,BU,2042800.0,2853500.0,False,0.0,14:02:09
19400.0,400,150.0,0.0,BU,2042200.0,2853500.0,False,0.0,14:02:04
19400.0,500,150.0,0.0,BU,2041800.0,2853500.0,False,50.0,14:02:04
19350.0,1100,100.0,0.0,SD,2041300.0,2853500.0,False,0.0,14:02:03
19350.0,1000,100.0,0.0,SD,2041300.0,2852400.0,False,0.0,14:02:03
19350.0,2900,100.0,0.0,SD,2041300.0,2851400.0,False,0.0,14:02:03
19350.0,100,100.0,0.0,SD,2041300.0,2848500.0,False,0.0,14:02:02
19350.0,100,100.0,0.0,SD,2041300.0,2848400.0,False,0.0,14:01:46
19350.0,1000,100.0,0.0,SD,2041300.0,2848300.0,False,0.0,14:01:46
19350.0,900,100.0,0.0,SD,2041300.0,2847300.0,False,0.0,14:01:46
19350.0,100,100.0,0.0,BU,2041300.0,2846400.0,False,0.0,14:01:43
