p,v,cp,rcp,a,ba,sa,hl,pcp,t
35700.0,400,0.0,0.0,SD,68600.0,6900.0,False,0.0,13:16:33
35700.0,300,0.0,0.0,SD,68600.0,6500.0,False,0.0,13:16:09
35700.0,900,0.0,0.0,BU,68600.0,6200.0,False,0.0,13:15:59
35700.0,200,0.0,0.0,BU,67700.0,6200.0,False,0.0,13:15:08
35700.0,1000,0.0,0.0,BU,67500.0,6200.0,False,0.0,13:15:04
35700.0,100,0.0,0.0,BU,66500.0,6200.0,False,0.0,13:10:21
35700.0,100,0.0,0.0,SD,66400.0,6200.0,False,-200.0,13:00:04
35900.0,100,200.0,0.0,BU,66400.0,6100.0,False,100.0,11:13:08
35800.0,28500,100.0,0.0,BU,66300.0,6100.0,True,0.0,11:12:46
35800.0,27500,100.0,0.0,BU,37800.0,6100.0,True,-100.0,11:11:44
35900.0,100,200.0,0.0,BU,10300.0,6100.0,False,100.0,10:41:33
35800.0,1200,100.0,0.0,BU,10200.0,6100.0,False,0.0,10:32:33
35800.0,700,100.0,0.0,SD,9000.0,6100.0,False,0.0,10:32:23
35800.0,900,100.0,0.0,SD,9000.0,5400.0,False,0.0,10:32:17
35800.0,100,100.0,0.0,BU,9000.0,4500.0,False,0.0,10:32:02
35800.0,900,100.0,0.0,SD,8900.0,4500.0,False,0.0,10:31:59
35800.0,1000,100.0,0.0,SD,8900.0,3600.0,False,0.0,10:31:47
35800.0,600,100.0,0.0,BU,8900.0,2600.0,False,0.0,10:31:42
35800.0,900,100.0,0.0,BU,8300.0,2600.0,False,0.0,10:31:40
35800.0,500,100.0,0.0,BU,7400.0,2600.0,False,0.0,10:31:21
35800.0,1000,100.0,0.0,SD,6900.0,2600.0,False,0.0,10:31:15
35800.0,600,100.0,0.0,SD,6900.0,1600.0,False,0.0,10:31:12
35800.0,400,100.0,0.0,SD,6900.0,1000.0,False,0.0,10:31:05
35800.0,500,100.0,0.0,SD,6900.0,600.0,False,0.0,10:31:00
35800.0,500,100.0,0.0,BU,6900.0,100.0,False,0.0,10:30:51
35800.0,1400,100.0,0.0,BU,6400.0,100.0,False,0.0,10:30:36
35800.0,700,100.0,0.0,BU,5000.0,100.0,False,0.0,10:30:29
35800.0,400,100.0,0.0,BU,4300.0,100.0,False,0.0,10:30:25
35800.0,700,100.0,0.0,BU,3900.0,100.0,False,0.0,10:30:22
35800.0,500,100.0,0.0,BU,3200.0,100.0,False,0.0,10:30:19
35800.0,500,100.0,0.0,BU,2700.0,100.0,False,-100.0,10:30:07
35900.0,200,200.0,0.0,BU,2200.0,100.0,False,0.0,09:42:12
35900.0,100,200.0,0.0,BU,2000.0,100.0,False,600.0,09:01:18
35300.0,100,-400.0,0.0,SD,1900.0,100.0,False,0.0,09:01:13
35300.0,900,-400.0,0.0,BU,1900.0,0.0,False,-600.0,09:01:05
35900.0,100,200.0,0.0,BU,1000.0,0.0,False,200.0,09:00:57
35700.0,900,0.0,0.0,BU,900.0,0.0,False,0.0,09:00:50
