p,v,cp,rcp,a,ba,sa,hl,pcp,t
25100.0,100,0.0,0.0,BU,3400.0,3700.0,False,0.0,10:32:38
25100.0,100,0.0,0.0,SD,3300.0,3700.0,False,0.0,10:28:14
25100.0,200,0.0,0.0,SD,3300.0,3600.0,False,0.0,10:21:35
25100.0,100,0.0,0.0,BU,3300.0,3400.0,False,-100.0,10:20:28
25200.0,300,100.0,0.0,BU,3200.0,3400.0,False,50.0,09:47:35
25150.0,100,50.0,0.0,BU,2900.0,3400.0,False,-50.0,09:47:35
25200.0,100,100.0,0.0,BU,2800.0,3400.0,False,50.0,09:47:35
25150.0,200,50.0,0.0,BU,2700.0,3400.0,False,50.0,09:47:35
25100.0,100,0.0,0.0,BU,2500.0,3400.0,False,100.0,09:47:35
25000.0,200,-100.0,0.0,BU,2400.0,3400.0,False,0.0,09:46:44
25000.0,200,-100.0,0.0,BU,2200.0,3400.0,False,0.0,09:46:08
25000.0,1000,-100.0,0.0,BU,2000.0,3400.0,False,0.0,09:46:02
25000.0,100,-100.0,0.0,SD,1000.0,3400.0,False,0.0,09:43:18
25000.0,600,-100.0,0.0,SD,1000.0,3300.0,False,0.0,09:43:18
25000.0,1000,-100.0,0.0,SD,1000.0,2700.0,False,0.0,09:43:18
25000.0,200,-100.0,0.0,SD,1000.0,1700.0,False,0.0,09:43:18
25000.0,100,-100.0,0.0,SD,1000.0,1500.0,False,0.0,09:43:18
25000.0,500,-100.0,0.0,SD,1000.0,1400.0,False,0.0,09:43:18
25000.0,400,-100.0,0.0,SD,1000.0,900.0,False,0.0,09:43:18
25000.0,100,-100.0,0.0,SD,1000.0,500.0,False,-100.0,09:36:25
25100.0,1000,0.0,0.0,BU,1000.0,400.0,False,0.0,09:35:48
25100.0,400,0.0,0.0,SD,0.0,400.0,False,-50.0,09:30:47
25150.0,200,50.0,0.0,,0.0,0.0,False,0.0,09:15:01
