p,v,cp,rcp,a,ba,sa,hl,pcp,t
4600.0,500,-100.0,0.0,SD,367400.0,1155400.0,False,0.0,14:11:41
4600.0,22400,-100.0,0.0,SD,367400.0,1154900.0,False,0.0,14:11:17
4600.0,1000,-100.0,0.0,BU,367400.0,1132500.0,False,0.0,14:11:15
4600.0,100,-100.0,0.0,BU,366400.0,1132500.0,False,0.0,14:11:03
4600.0,100,-100.0,0.0,BU,366300.0,1132500.0,False,0.0,14:10:55
4600.0,5000,-100.0,0.0,BU,366200.0,1132500.0,False,0.0,14:10:43
4600.0,11400,-100.0,0.0,SD,361200.0,1132500.0,False,0.0,14:10:17
4600.0,6800,-100.0,0.0,BU,361200.0,1121100.0,False,0.0,14:08:24
4600.0,34600,-100.0,0.0,BU,354400.0,1121100.0,False,0.0,14:08:10
4600.0,3900,-100.0,0.0,SD,319800.0,1121100.0,False,0.0,14:07:21
4600.0,5000,-100.0,0.0,BU,319800.0,1117200.0,False,0.0,14:07:09
4600.0,2000,-100.0,0.0,BU,314800.0,1117200.0,False,0.0,14:07:05
4600.0,5000,-100.0,0.0,BU,312800.0,1117200.0,False,0.0,14:07:04
4600.0,200,-100.0,0.0,BU,307800.0,1117200.0,False,0.0,14:06:57
4600.0,500,-100.0,0.0,BU,307600.0,1117200.0,False,0.0,14:06:44
4600.0,1000,-100.0,0.0,BU,307100.0,1117200.0,False,0.0,14:06:41
4600.0,3300,-100.0,0.0,SD,306100.0,1117200.0,False,0.0,14:06:28
4600.0,54000,-100.0,0.0,SD,306100.0,1113900.0,True,0.0,14:06:11
4600.0,5300,-100.0,0.0,SD,306100.0,1059900.0,False,0.0,14:05:42
4600.0,500,-100.0,0.0,BU,306100.0,1054600.0,False,0.0,14:05:07
4600.0,1000,-100.0,0.0,BU,305600.0,1054600.0,False,100.0,14:04:54
4500.0,1000,-200.0,0.0,SD,304600.0,1054600.0,False,-100.0,14:04:51
4600.0,5000,-100.0,0.0,BU,304600.0,1053600.0,False,0.0,14:04:49
4600.0,500,-100.0,0.0,BU,299600.0,1053600.0,False,0.0,14:04:43
4600.0,2000,-100.0,0.0,BU,299100.0,1053600.0,False,100.0,14:04:37
4500.0,4000,-200.0,0.0,SD,297100.0,1053600.0,False,-100.0,14:03:35
4600.0,1000,-100.0,0.0,BU,297100.0,1049600.0,False,0.0,14:03:20
4600.0,3000,-100.0,0.0,BU,296100.0,1049600.0,False,0.0,14:03:11
4600.0,1000,-100.0,0.0,BU,293100.0,1049600.0,False,0.0,14:03:07
4600.0,4300,-100.0,0.0,SD,292100.0,1049600.0,False,0.0,14:03:01
4600.0,100,-100.0,0.0,SD,292100.0,1045300.0,False,0.0,14:01:53
4600.0,600,-100.0,0.0,SD,292100.0,1045200.0,False,0.0,14:01:23
4600.0,1200,-100.0,0.0,BU,292100.0,1044600.0,False,0.0,14:00:44
4600.0,1100,-100.0,0.0,BU,290900.0,1044600.0,False,0.0,14:00:10
4600.0,1300,-100.0,0.0,BU,289800.0,1044600.0,False,0.0,13:59:24
4600.0,200,-100.0,0.0,SD,288500.0,1044600.0,False,0.0,13:58:42
4600.0,1800,-100.0,0.0,BU,288500.0,1044400.0,False,0.0,13:58:32
4600.0,500,-100.0,0.0,BU,286700.0,1044400.0,False,0.0,13:58:14
4600.0,6000,-100.0,0.0,BU,286200.0,1044400.0,False,0.0,13:58:12
4600.0,900,-100.0,0.0,BU,280200.0,1044400.0,False,0.0,13:57:40
4600.0,1500,-100.0,0.0,SD,279300.0,1044400.0,False,0.0,13:57:26
4600.0,1400,-100.0,0.0,BU,279300.0,1042900.0,False,0.0,13:57:23
4600.0,2000,-100.0,0.0,BU,277900.0,1042900.0,False,0.0,13:57:16
4600.0,500,-100.0,0.0,BU,275900.0,1042900.0,False,0.0,13:57:07
4600.0,2500,-100.0,0.0,BU,275400.0,1042900.0,False,0.0,13:57:04
4600.0,5000,-100.0,0.0,BU,272900.0,1042900.0,False,0.0,13:57:01
4600.0,5000,-100.0,0.0,BU,267900.0,1042900.0,False,0.0,13:57:00
4600.0,1000,-100.0,0.0,BU,262900.0,1042900.0,False,0.0,13:56:54
4600.0,200,-100.0,0.0,BU,261900.0,1042900.0,False,0.0,13:56:52
4600.0,5000,-100.0,0.0,BU,261700.0,1042900.0,False,0.0,13:56:39
4600.0,800,-100.0,0.0,BU,256700.0,1042900.0,False,0.0,13:56:38
4600.0,1000,-100.0,0.0,BU,255900.0,1042900.0,False,100.0,13:56:17
4500.0,100,-200.0,0.0,SD,254900.0,1042900.0,False,-100.0,13:56:05
4600.0,5600,-100.0,0.0,BU,254900.0,1042800.0,False,0.0,13:55:48
4600.0,1500,-100.0,0.0,BU,249300.0,1042800.0,False,0.0,13:55:36
4600.0,1000,-100.0,0.0,BU,247800.0,1042800.0,False,0.0,13:55:30
4600.0,500,-100.0,0.0,BU,246800.0,1042800.0,False,0.0,13:55:27
4600.0,700,-100.0,0.0,BU,246300.0,1042800.0,False,0.0,13:55:26
4600.0,5000,-100.0,0.0,BU,245600.0,1042800.0,False,0.0,13:55:05
4600.0,2600,-100.0,0.0,BU,240600.0,1042800.0,False,0.0,13:54:37
4600.0,5000,-100.0,0.0,BU,238000.0,1042800.0,False,0.0,13:53:57
4600.0,200,-100.0,0.0,BU,233000.0,1042800.0,False,0.0,13:53:30
4600.0,5000,-100.0,0.0,BU,232800.0,1042800.0,False,0.0,13:53:22
4600.0,100,-100.0,0.0,BU,227800.0,1042800.0,False,0.0,13:53:12
4600.0,100,-100.0,0.0,BU,227700.0,1042800.0,False,0.0,13:53:05
4600.0,5000,-100.0,0.0,BU,227600.0,1042800.0,False,0.0,13:52:53
4600.0,100,-100.0,0.0,BU,222600.0,1042800.0,False,0.0,13:52:48
4600.0,100,-100.0,0.0,BU,222500.0,1042800.0,False,0.0,13:52:29
4600.0,300,-100.0,0.0,BU,222400.0,1042800.0,False,100.0,13:52:26
4500.0,2000,-200.0,0.0,SD,222100.0,1042800.0,False,-100.0,13:51:12
4600.0,300,-100.0,0.0,BU,222100.0,1040800.0,False,0.0,13:51:09
4600.0,100,-100.0,0.0,BU,221800.0,1040800.0,False,0.0,13:51:05
4600.0,200,-100.0,0.0,BU,221700.0,1040800.0,False,0.0,13:50:50
4600.0,300,-100.0,0.0,BU,221500.0,1040800.0,False,0.0,13:49:51
4600.0,500,-100.0,0.0,BU,221200.0,1040800.0,False,0.0,13:49:43
4600.0,500,-100.0,0.0,BU,220700.0,1040800.0,False,100.0,13:48:11
4500.0,3000,-200.0,0.0,SD,220200.0,1040800.0,False,-100.0,13:46:48
4600.0,200,-100.0,0.0,BU,220200.0,1037800.0,False,0.0,13:46:18
4600.0,100,-100.0,0.0,BU,220000.0,1037800.0,False,0.0,13:46:11
4600.0,600,-100.0,0.0,BU,219900.0,1037800.0,False,100.0,13:46:09
4500.0,3000,-200.0,0.0,SD,219300.0,1037800.0,False,-100.0,13:46:06
4600.0,3400,-100.0,0.0,BU,219300.0,1034800.0,False,0.0,13:45:18
4600.0,3000,-100.0,0.0,BU,215900.0,1034800.0,False,0.0,13:45:03
4600.0,100,-100.0,0.0,BU,212900.0,1034800.0,False,0.0,13:44:36
4600.0,100,-100.0,0.0,BU,212800.0,1034800.0,False,0.0,13:44:19
4600.0,4500,-100.0,0.0,BU,212700.0,1034800.0,False,0.0,13:44:16
4600.0,1000,-100.0,0.0,SD,208200.0,1034800.0,False,0.0,13:44:14
4600.0,4000,-100.0,0.0,SD,208200.0,1033800.0,False,0.0,13:43:57
4600.0,3000,-100.0,0.0,SD,208200.0,1029800.0,False,0.0,13:43:00
4600.0,2400,-100.0,0.0,SD,208200.0,1026800.0,False,0.0,13:42:08
4600.0,500,-100.0,0.0,BU,208200.0,1024400.0,False,0.0,13:41:59
4600.0,400,-100.0,0.0,BU,207700.0,1024400.0,False,0.0,13:41:58
4600.0,100,-100.0,0.0,BU,207300.0,1024400.0,False,0.0,13:41:48
4600.0,500,-100.0,0.0,BU,207200.0,1024400.0,False,0.0,13:41:30
4600.0,200,-100.0,0.0,BU,206700.0,1024400.0,False,0.0,13:41:29
4600.0,100,-100.0,0.0,BU,206500.0,1024400.0,False,0.0,13:41:21
4600.0,7000,-100.0,0.0,BU,206400.0,1024400.0,False,0.0,13:41:07
4600.0,1300,-100.0,0.0,SD,199400.0,1024400.0,False,0.0,13:40:03
4600.0,3600,-100.0,0.0,SD,199400.0,1023100.0,False,0.0,13:39:30
4600.0,14400,-100.0,0.0,SD,199400.0,1019500.0,False,0.0,13:39:23
4600.0,7600,-100.0,0.0,SD,199400.0,1005100.0,False,0.0,13:39:04
4600.0,1000,-100.0,0.0,SD,199400.0,997500.0,False,0.0,13:37:19
4600.0,100,-100.0,0.0,SD,199400.0,996500.0,False,0.0,13:36:18
4600.0,500,-100.0,0.0,SD,199400.0,996400.0,False,0.0,13:35:51
4600.0,1000,-100.0,0.0,SD,199400.0,995900.0,False,0.0,13:35:17
4600.0,8900,-100.0,0.0,SD,199400.0,994900.0,False,100.0,13:34:59
4500.0,100,-200.0,0.0,SD,199400.0,986000.0,False,-100.0,13:34:56
4600.0,15000,-100.0,0.0,BU,199400.0,985900.0,False,0.0,13:34:51
4600.0,10000,-100.0,0.0,BU,184400.0,985900.0,False,0.0,13:34:47
4600.0,100,-100.0,0.0,BU,174400.0,985900.0,False,0.0,13:34:27
4600.0,200,-100.0,0.0,BU,174300.0,985900.0,False,0.0,13:34:21
4600.0,20000,-100.0,0.0,BU,174100.0,985900.0,False,0.0,13:34:13
4600.0,100,-100.0,0.0,BU,154100.0,985900.0,False,0.0,13:34:08
4600.0,100,-100.0,0.0,BU,154000.0,985900.0,False,0.0,13:33:58
4600.0,5000,-100.0,0.0,BU,153900.0,985900.0,False,100.0,13:33:11
4500.0,40000,-200.0,0.0,SD,148900.0,985900.0,False,0.0,13:32:31
4500.0,8000,-200.0,0.0,SD,148900.0,945900.0,False,0.0,13:32:05
4500.0,4000,-200.0,0.0,SD,148900.0,937900.0,False,-100.0,13:32:04
4600.0,1000,-100.0,0.0,BU,148900.0,933900.0,False,0.0,13:31:47
4600.0,5600,-100.0,0.0,BU,147900.0,933900.0,False,0.0,13:29:44
4600.0,1800,-100.0,0.0,SD,142300.0,933900.0,False,0.0,13:29:07
4600.0,100,-100.0,0.0,SD,142300.0,932100.0,False,0.0,13:28:38
4600.0,7000,-100.0,0.0,SD,142300.0,932000.0,False,0.0,13:28:07
4600.0,5000,-100.0,0.0,SD,142300.0,925000.0,False,0.0,13:27:43
4600.0,2000,-100.0,0.0,SD,142300.0,920000.0,False,0.0,13:27:33
4600.0,14900,-100.0,0.0,SD,142300.0,918000.0,False,0.0,13:27:26
4600.0,2900,-100.0,0.0,SD,142300.0,903100.0,False,0.0,13:27:24
4600.0,8300,-100.0,0.0,SD,142300.0,900200.0,False,0.0,13:27:20
4600.0,5000,-100.0,0.0,BU,142300.0,891900.0,False,0.0,13:27:10
4600.0,200,-100.0,0.0,SD,137300.0,891900.0,False,0.0,13:27:04
4600.0,200,-100.0,0.0,SD,137300.0,891700.0,False,0.0,13:27:03
4600.0,1900,-100.0,0.0,SD,137300.0,891500.0,False,0.0,13:26:55
4600.0,17000,-100.0,0.0,SD,137300.0,889600.0,False,0.0,13:26:43
4600.0,3700,-100.0,0.0,SD,137300.0,872600.0,False,0.0,13:26:40
4600.0,200,-100.0,0.0,SD,137300.0,868900.0,False,0.0,13:26:37
4600.0,1100,-100.0,0.0,SD,137300.0,868700.0,False,0.0,13:26:14
4600.0,10000,-100.0,0.0,SD,137300.0,867600.0,False,0.0,13:25:49
4600.0,4400,-100.0,0.0,SD,137300.0,857600.0,False,0.0,13:25:47
4600.0,44300,-100.0,0.0,SD,137300.0,853200.0,True,0.0,13:25:43
4600.0,8800,-100.0,0.0,SD,137300.0,808900.0,False,0.0,13:25:41
4600.0,10000,-100.0,0.0,SD,137300.0,800100.0,False,0.0,13:25:33
4600.0,30000,-100.0,0.0,SD,137300.0,790100.0,False,0.0,13:25:30
4600.0,2500,-100.0,0.0,SD,137300.0,760100.0,False,0.0,13:24:55
4600.0,300,-100.0,0.0,SD,137300.0,757600.0,False,0.0,13:24:47
4600.0,12000,-100.0,0.0,SD,137300.0,757300.0,False,0.0,13:24:13
4600.0,100,-100.0,0.0,SD,137300.0,745300.0,False,0.0,13:24:06
4600.0,43500,-100.0,0.0,SD,137300.0,745200.0,True,0.0,13:24:05
4600.0,200,-100.0,0.0,SD,137300.0,701700.0,False,0.0,13:24:04
4600.0,10000,-100.0,0.0,SD,137300.0,701500.0,False,0.0,13:23:28
4600.0,1000,-100.0,0.0,SD,137300.0,691500.0,False,0.0,13:23:01
4600.0,3000,-100.0,0.0,SD,137300.0,690500.0,False,0.0,13:22:02
4600.0,1000,-100.0,0.0,SD,137300.0,687500.0,False,0.0,13:21:06
4600.0,30000,-100.0,0.0,SD,137300.0,686500.0,False,0.0,13:21:04
4600.0,4300,-100.0,0.0,SD,137300.0,656500.0,False,0.0,13:21:03
4600.0,13700,-100.0,0.0,SD,137300.0,652200.0,False,0.0,13:20:57
4600.0,20000,-100.0,0.0,SD,137300.0,638500.0,False,0.0,13:20:54
4600.0,1000,-100.0,0.0,SD,137300.0,618500.0,False,0.0,13:20:52
4600.0,20000,-100.0,0.0,SD,137300.0,617500.0,False,0.0,13:20:48
4600.0,10000,-100.0,0.0,SD,137300.0,597500.0,False,0.0,13:20:47
4600.0,20000,-100.0,0.0,SD,137300.0,587500.0,False,0.0,13:20:42
4600.0,20000,-100.0,0.0,SD,137300.0,567500.0,False,0.0,13:20:37
4600.0,20000,-100.0,0.0,SD,137300.0,547500.0,False,0.0,13:20:33
4600.0,20000,-100.0,0.0,SD,137300.0,527500.0,False,0.0,13:20:28
4600.0,12000,-100.0,0.0,SD,137300.0,507500.0,False,0.0,13:20:06
4600.0,12000,-100.0,0.0,SD,137300.0,495500.0,False,0.0,13:20:00
4600.0,5000,-100.0,0.0,SD,137300.0,483500.0,False,0.0,13:19:15
4600.0,200,-100.0,0.0,SD,137300.0,478500.0,False,0.0,13:18:17
4600.0,5000,-100.0,0.0,SD,137300.0,478300.0,False,0.0,13:17:53
4600.0,8000,-100.0,0.0,SD,137300.0,473300.0,False,0.0,13:17:42
