p,v,cp,rcp,a,ba,sa,hl,pcp,t
20400.0,7000,0.0,0.0,BU,130700.0,161800.0,False,100.0,14:10:21
20300.0,200,-100.0,0.0,BU,123700.0,161800.0,False,100.0,14:10:21
20200.0,100,-200.0,0.0,BU,123500.0,161800.0,False,0.0,14:10:21
20200.0,2700,-200.0,0.0,BU,123400.0,161800.0,False,50.0,14:10:21
20150.0,1100,-250.0,0.0,BU,120700.0,161800.0,False,0.0,14:09:03
20150.0,100,-250.0,0.0,BU,119600.0,161800.0,False,-50.0,14:09:03
20200.0,2300,-200.0,0.0,BU,119500.0,161800.0,False,50.0,14:09:03
20150.0,100,-250.0,0.0,BU,117200.0,161800.0,False,0.0,14:09:03
20150.0,400,-250.0,0.0,BU,117100.0,161800.0,False,0.0,14:09:03
20150.0,200,-250.0,0.0,BU,116700.0,161800.0,False,50.0,14:08:29
20100.0,500,-300.0,0.0,BU,116500.0,161800.0,False,0.0,14:06:58
20100.0,400,-300.0,0.0,BU,116000.0,161800.0,False,0.0,14:06:58
20100.0,3600,-300.0,0.0,BU,115600.0,161800.0,False,0.0,14:06:58
20100.0,1000,-300.0,0.0,BU,112000.0,161800.0,False,0.0,14:06:48
20100.0,400,-300.0,0.0,BU,111000.0,161800.0,False,100.0,14:06:33
20000.0,100,-400.0,0.0,SD,110600.0,161800.0,False,0.0,14:05:31
20000.0,300,-400.0,0.0,BU,110600.0,161700.0,False,0.0,14:04:09
20000.0,900,-400.0,0.0,BU,110300.0,161700.0,False,0.0,14:04:09
20000.0,100,-400.0,0.0,BU,109400.0,161700.0,False,0.0,14:04:06
20000.0,4500,-400.0,0.0,BU,109300.0,161700.0,False,0.0,14:04:06
20000.0,1400,-400.0,0.0,BU,104800.0,161700.0,False,0.0,14:04:06
20000.0,1000,-400.0,0.0,BU,103400.0,161700.0,False,0.0,14:03:16
20000.0,1900,-400.0,0.0,BU,102400.0,161700.0,False,100.0,14:03:16
19900.0,100,-500.0,0.0,SD,100500.0,161700.0,False,0.0,14:01:39
19900.0,400,-500.0,0.0,BU,100500.0,161600.0,False,0.0,14:01:32
19900.0,800,-500.0,0.0,BU,100100.0,161600.0,False,0.0,14:01:32
19900.0,1000,-500.0,0.0,BU,99300.0,161600.0,False,0.0,14:01:12
19900.0,3100,-500.0,0.0,BU,98300.0,161600.0,False,0.0,14:00:55
19900.0,100,-500.0,0.0,BU,95200.0,161600.0,False,0.0,14:00:36
19900.0,400,-500.0,0.0,BU,95100.0,161600.0,False,0.0,14:00:36
19900.0,100,-500.0,0.0,BU,94700.0,161600.0,False,0.0,14:00:29
19900.0,2000,-500.0,0.0,BU,94600.0,161600.0,False,0.0,13:59:19
19900.0,2000,-500.0,0.0,BU,92600.0,161600.0,False,0.0,13:59:16
19900.0,900,-500.0,0.0,BU,90600.0,161600.0,False,0.0,13:59:07
19900.0,100,-500.0,0.0,BU,89700.0,161600.0,False,0.0,13:59:07
19900.0,200,-500.0,0.0,BU,89600.0,161600.0,False,50.0,13:59:00
19850.0,1300,-550.0,0.0,SD,89400.0,161600.0,False,0.0,13:56:55
