p,v,cp,rcp,a,ba,sa,hl,pcp,t
42550.0,100,-950.0,0.0,SD,635700.0,888400.0,False,0.0,14:13:03
42550.0,100,-950.0,0.0,SD,635700.0,888300.0,False,-50.0,14:13:03
42600.0,100,-900.0,0.0,SD,635700.0,888200.0,False,0.0,14:12:47
42600.0,300,-900.0,0.0,SD,635700.0,888100.0,False,0.0,14:12:47
42600.0,400,-900.0,0.0,SD,635700.0,887800.0,False,0.0,14:12:47
42600.0,500,-900.0,0.0,SD,635700.0,887400.0,False,-50.0,14:12:47
42650.0,500,-850.0,0.0,BU,635700.0,886900.0,False,0.0,14:12:47
42650.0,100,-850.0,0.0,BU,635200.0,886900.0,False,0.0,14:12:47
42650.0,100,-850.0,0.0,SD,635100.0,886900.0,False,-50.0,14:12:39
42700.0,100,-800.0,0.0,SD,635100.0,886800.0,False,0.0,14:12:34
42700.0,100,-800.0,0.0,SD,635100.0,886700.0,False,0.0,14:12:34
42700.0,100,-800.0,0.0,SD,635100.0,886600.0,False,0.0,14:12:34
42700.0,500,-800.0,0.0,SD,635100.0,886500.0,False,-100.0,14:12:34
42800.0,100,-700.0,0.0,BU,635100.0,886000.0,False,0.0,14:12:28
42800.0,1100,-700.0,0.0,BU,635000.0,886000.0,False,0.0,14:12:19
42800.0,200,-700.0,0.0,SD,633900.0,886000.0,False,0.0,14:12:15
42800.0,2700,-700.0,0.0,SD,633900.0,885800.0,False,0.0,14:12:15
42800.0,1300,-700.0,0.0,SD,633900.0,883100.0,False,0.0,14:12:10
42800.0,900,-700.0,0.0,SD,633900.0,881800.0,False,-100.0,14:11:57
42900.0,200,-600.0,0.0,BU,633900.0,880900.0,False,0.0,14:11:52
42900.0,200,-600.0,0.0,BU,633700.0,880900.0,False,100.0,14:11:52
42800.0,100,-700.0,0.0,SD,633500.0,880900.0,False,-200.0,14:11:52
43000.0,4400,-500.0,0.0,BU,633500.0,880800.0,False,200.0,14:11:31
42800.0,600,-700.0,0.0,BU,629100.0,880800.0,False,0.0,14:11:31
42800.0,400,-700.0,0.0,BU,628500.0,880800.0,False,-200.0,14:11:30
43000.0,5000,-500.0,0.0,BU,628100.0,880800.0,True,200.0,14:11:22
42800.0,600,-700.0,0.0,SD,623100.0,880800.0,False,-50.0,14:11:14
42850.0,600,-650.0,0.0,BU,623100.0,880200.0,False,50.0,14:11:14
42800.0,500,-700.0,0.0,SD,622500.0,880200.0,False,0.0,14:11:14
42800.0,100,-700.0,0.0,SD,622500.0,879700.0,False,-150.0,14:11:14
42950.0,100,-550.0,0.0,BU,622500.0,879600.0,False,0.0,14:11:14
42950.0,100,-550.0,0.0,BU,622400.0,879600.0,False,-50.0,14:11:14
43000.0,100,-500.0,0.0,SD,622300.0,879600.0,False,0.0,14:11:11
43000.0,2300,-500.0,0.0,SD,622300.0,879500.0,False,0.0,14:11:11
43000.0,700,-500.0,0.0,SD,622300.0,877200.0,False,-50.0,14:11:11
43050.0,3000,-450.0,0.0,SD,622300.0,876500.0,False,0.0,14:11:11
43050.0,3000,-450.0,0.0,SD,622300.0,873500.0,False,0.0,14:11:11
43050.0,100,-450.0,0.0,SD,622300.0,870500.0,False,0.0,14:11:11
43050.0,100,-450.0,0.0,SD,622300.0,870400.0,False,-50.0,14:11:11
43100.0,300,-400.0,0.0,SD,622300.0,870300.0,False,0.0,14:11:11
43100.0,100,-400.0,0.0,SD,622300.0,870000.0,False,-200.0,14:11:09
43300.0,1000,-200.0,0.0,SD,622300.0,869900.0,False,0.0,14:11:06
43300.0,500,-200.0,0.0,SD,622300.0,868900.0,False,0.0,14:11:06
43300.0,1000,-200.0,0.0,SD,622300.0,868400.0,False,0.0,14:11:05
43300.0,2000,-200.0,0.0,SD,622300.0,867400.0,False,0.0,14:11:01
43300.0,100,-200.0,0.0,SD,622300.0,865400.0,False,0.0,14:10:58
43300.0,100,-200.0,0.0,SD,622300.0,865300.0,False,0.0,14:10:58
43300.0,100,-200.0,0.0,SD,622300.0,865200.0,False,0.0,14:10:56
43300.0,200,-200.0,0.0,BU,622300.0,865100.0,False,200.0,14:10:49
43100.0,2600,-400.0,0.0,SD,622100.0,865100.0,False,0.0,14:10:47
43100.0,3000,-400.0,0.0,SD,622100.0,862500.0,False,-50.0,14:10:47
43150.0,1000,-350.0,0.0,SD,622100.0,859500.0,False,0.0,14:10:47
43150.0,100,-350.0,0.0,SD,622100.0,858500.0,False,-50.0,14:10:47
43200.0,3000,-300.0,0.0,SD,622100.0,858400.0,False,-100.0,14:10:47
43300.0,300,-200.0,0.0,SD,622100.0,855400.0,False,0.0,14:10:47
43300.0,200,-200.0,0.0,SD,622100.0,855100.0,False,-50.0,14:10:41
43350.0,200,-150.0,0.0,BU,622100.0,854900.0,False,50.0,14:10:29
43300.0,1200,-200.0,0.0,SD,621900.0,854900.0,False,0.0,14:10:27
43300.0,900,-200.0,0.0,SD,621900.0,853700.0,False,0.0,14:10:19
43300.0,200,-200.0,0.0,SD,621900.0,852800.0,False,0.0,14:10:19
43300.0,1900,-200.0,0.0,SD,621900.0,852600.0,False,-50.0,14:10:19
43350.0,500,-150.0,0.0,BU,621900.0,850700.0,False,0.0,14:10:16
43350.0,1300,-150.0,0.0,BU,621400.0,850700.0,False,0.0,14:10:11
43350.0,100,-150.0,0.0,BU,620100.0,850700.0,False,50.0,14:10:11
43300.0,100,-200.0,0.0,BU,620000.0,850700.0,False,0.0,14:09:53
43300.0,1400,-200.0,0.0,BU,619900.0,850700.0,False,0.0,14:09:34
43300.0,200,-200.0,0.0,BU,618500.0,850700.0,False,50.0,14:09:34
43250.0,1000,-250.0,0.0,BU,618300.0,850700.0,False,0.0,14:09:34
43250.0,500,-250.0,0.0,BU,617300.0,850700.0,False,0.0,14:09:34
43250.0,500,-250.0,0.0,BU,616800.0,850700.0,False,0.0,14:09:34
43250.0,1400,-250.0,0.0,BU,616300.0,850700.0,False,50.0,14:09:34
43200.0,100,-300.0,0.0,SD,614900.0,850700.0,False,-50.0,14:09:24
43250.0,500,-250.0,0.0,BU,614900.0,850600.0,False,50.0,14:09:24
43200.0,200,-300.0,0.0,BU,614400.0,850600.0,False,0.0,14:09:19
43200.0,100,-300.0,0.0,BU,614200.0,850600.0,False,0.0,14:09:19
43200.0,200,-300.0,0.0,BU,614100.0,850600.0,False,0.0,14:09:19
43200.0,300,-300.0,0.0,BU,613900.0,850600.0,False,0.0,14:08:58
43200.0,300,-300.0,0.0,BU,613600.0,850600.0,False,0.0,14:08:56
43200.0,200,-300.0,0.0,BU,613300.0,850600.0,False,0.0,14:08:50
43200.0,500,-300.0,0.0,SD,613100.0,850600.0,False,-50.0,14:08:48
43250.0,100,-250.0,0.0,BU,613100.0,850100.0,False,50.0,14:08:43
43200.0,600,-300.0,0.0,SD,613000.0,850100.0,False,0.0,14:08:36
43200.0,1400,-300.0,0.0,SD,613000.0,849500.0,False,0.0,14:08:36
43200.0,100,-300.0,0.0,SD,613000.0,848100.0,False,0.0,14:08:35
43200.0,200,-300.0,0.0,SD,613000.0,848000.0,False,0.0,14:08:33
