p,v,cp,rcp,a,ba,sa,hl,pcp,t
27800.0,5500,-600.0,0.0,SD,3312100.0,4416700.0,False,0.0,14:12:59
27800.0,1000,-600.0,0.0,SD,3312100.0,4411200.0,False,-100.0,14:12:54
27900.0,100,-500.0,0.0,BU,3312100.0,4410200.0,False,100.0,14:12:47
27800.0,1000,-600.0,0.0,SD,3312000.0,4410200.0,False,0.0,14:12:45
27800.0,1500,-600.0,0.0,SD,3312000.0,4409200.0,False,0.0,14:12:44
27800.0,600,-600.0,0.0,SD,3312000.0,4407700.0,False,0.0,14:12:42
27800.0,3000,-600.0,0.0,SD,3312000.0,4407100.0,False,0.0,14:12:41
27800.0,1100,-600.0,0.0,SD,3312000.0,4404100.0,False,0.0,14:12:38
27800.0,1000,-600.0,0.0,SD,3312000.0,4403000.0,False,0.0,14:12:36
27800.0,2000,-600.0,0.0,SD,3312000.0,4402000.0,False,0.0,14:12:35
27800.0,20000,-600.0,0.0,SD,3312000.0,4400000.0,True,0.0,14:12:33
27800.0,1000,-600.0,0.0,SD,3312000.0,4380000.0,False,0.0,14:12:31
27800.0,5000,-600.0,0.0,SD,3312000.0,4379000.0,False,0.0,14:12:29
27800.0,2600,-600.0,0.0,SD,3312000.0,4374000.0,False,0.0,14:12:25
27800.0,3200,-600.0,0.0,SD,3312000.0,4371400.0,False,0.0,14:12:23
27800.0,1700,-600.0,0.0,SD,3312000.0,4368200.0,False,0.0,14:12:22
27800.0,1500,-600.0,0.0,SD,3312000.0,4366500.0,False,0.0,14:12:20
27800.0,200,-600.0,0.0,SD,3312000.0,4365000.0,False,0.0,14:12:17
27800.0,2000,-600.0,0.0,SD,3312000.0,4364800.0,False,-100.0,14:12:16
27900.0,1000,-500.0,0.0,BU,3312000.0,4362800.0,False,100.0,14:12:14
27800.0,2000,-600.0,0.0,SD,3311000.0,4362800.0,False,-100.0,14:12:12
27900.0,600,-500.0,0.0,BU,3311000.0,4360800.0,False,100.0,14:12:04
27800.0,1000,-600.0,0.0,SD,3310400.0,4360800.0,False,-100.0,14:11:59
27900.0,45800,-500.0,0.0,BU,3310400.0,4359800.0,True,-100.0,14:11:58
28000.0,500,-400.0,0.0,BU,3264600.0,4359800.0,False,0.0,14:11:56
28000.0,900,-400.0,0.0,BU,3264100.0,4359800.0,False,100.0,14:11:52
27900.0,1000,-500.0,0.0,SD,3263200.0,4359800.0,False,-100.0,14:11:49
28000.0,4000,-400.0,0.0,BU,3263200.0,4358800.0,False,0.0,14:11:35
28000.0,1000,-400.0,0.0,BU,3259200.0,4358800.0,False,0.0,14:11:33
28000.0,400,-400.0,0.0,SD,3258200.0,4358800.0,False,0.0,14:11:32
28000.0,3600,-400.0,0.0,SD,3258200.0,4358400.0,False,0.0,14:11:29
28000.0,700,-400.0,0.0,SD,3258200.0,4354800.0,False,0.0,14:11:28
28000.0,1300,-400.0,0.0,SD,3258200.0,4354100.0,False,0.0,14:11:27
28000.0,2300,-400.0,0.0,SD,3258200.0,4352800.0,False,-100.0,14:11:26
28100.0,1900,-300.0,0.0,BU,3258200.0,4350500.0,False,100.0,14:11:24
28000.0,100,-400.0,0.0,SD,3256300.0,4350500.0,False,-100.0,14:11:20
28100.0,5000,-300.0,0.0,BU,3256300.0,4350400.0,False,100.0,14:11:19
28000.0,50000,-400.0,0.0,SD,3251300.0,4350400.0,True,-100.0,14:11:17
28100.0,9500,-300.0,0.0,BU,3251300.0,4300400.0,True,0.0,14:10:55
28100.0,300,-300.0,0.0,BU,3241800.0,4300400.0,False,100.0,14:10:52
28000.0,200,-400.0,0.0,SD,3241500.0,4300400.0,False,0.0,14:10:51
28000.0,1000,-400.0,0.0,SD,3241500.0,4300200.0,False,0.0,14:10:46
28000.0,1000,-400.0,0.0,SD,3241500.0,4299200.0,False,-100.0,14:10:44
28100.0,100,-300.0,0.0,BU,3241500.0,4298200.0,False,0.0,14:10:42
28100.0,100,-300.0,0.0,BU,3241400.0,4298200.0,False,0.0,14:10:41
28100.0,100,-300.0,0.0,BU,3241300.0,4298200.0,False,0.0,14:10:40
28100.0,100,-300.0,0.0,BU,3241200.0,4298200.0,False,0.0,14:10:38
28100.0,300,-300.0,0.0,BU,3241100.0,4298200.0,False,0.0,14:10:37
28100.0,500,-300.0,0.0,BU,3240800.0,4298200.0,False,0.0,14:10:33
28100.0,100,-300.0,0.0,BU,3240300.0,4298200.0,False,0.0,14:10:31
28100.0,1000,-300.0,0.0,BU,3240200.0,4298200.0,False,0.0,14:10:28
