p,v,cp,rcp,a,ba,sa,hl,pcp,t
39250.0,100,-100.0,0.0,BU,180900.0,277000.0,False,250.0,14:14:18
39000.0,500,-350.0,0.0,BU,180800.0,277000.0,False,100.0,14:14:18
38900.0,500,-450.0,0.0,BU,180300.0,277000.0,False,50.0,14:14:18
38850.0,300,-500.0,0.0,SD,179800.0,277000.0,False,-50.0,14:13:05
38900.0,100,-450.0,0.0,BU,179800.0,276700.0,False,0.0,14:11:54
38900.0,500,-450.0,0.0,BU,179700.0,276700.0,False,0.0,14:11:54
38900.0,2700,-450.0,0.0,BU,179200.0,276700.0,False,0.0,14:11:54
38900.0,1000,-450.0,0.0,SD,176500.0,276700.0,False,-100.0,14:11:36
39000.0,800,-350.0,0.0,SD,176500.0,275700.0,False,0.0,14:11:12
39000.0,700,-350.0,0.0,SD,176500.0,274900.0,False,0.0,14:11:12
39000.0,3000,-350.0,0.0,SD,176500.0,274200.0,False,0.0,14:11:12
39000.0,2000,-350.0,0.0,SD,176500.0,271200.0,False,-50.0,14:11:07
39050.0,100,-300.0,0.0,BU,176500.0,269200.0,False,-50.0,14:10:47
39100.0,1700,-250.0,0.0,BU,176400.0,269200.0,False,-50.0,14:10:47
39150.0,200,-200.0,0.0,BU,174700.0,269200.0,False,-150.0,14:10:47
39300.0,3400,-50.0,0.0,BU,174500.0,269200.0,False,0.0,14:08:49
39300.0,300,-50.0,0.0,BU,171100.0,269200.0,False,0.0,14:08:49
39300.0,2000,-50.0,0.0,BU,170800.0,269200.0,False,0.0,14:08:49
39300.0,100,-50.0,0.0,BU,168800.0,269200.0,False,0.0,14:08:48
39300.0,1100,-50.0,0.0,BU,168700.0,269200.0,False,0.0,14:08:48
39300.0,100,-50.0,0.0,BU,167600.0,269200.0,False,0.0,14:08:48
39300.0,100,-50.0,0.0,BU,167500.0,269200.0,False,0.0,14:08:48
39300.0,900,-50.0,0.0,BU,167400.0,269200.0,False,0.0,14:08:48
39300.0,200,-50.0,0.0,BU,166500.0,269200.0,False,50.0,14:06:33
39250.0,2100,-100.0,0.0,BU,166300.0,269200.0,False,0.0,14:06:33
39250.0,7900,-100.0,0.0,BU,164200.0,269200.0,True,50.0,14:06:28
39200.0,200,-150.0,0.0,BU,156300.0,269200.0,False,0.0,14:06:28
39200.0,500,-150.0,0.0,BU,156100.0,269200.0,False,0.0,14:06:28
39200.0,300,-150.0,0.0,BU,155600.0,269200.0,False,0.0,14:06:28
39200.0,500,-150.0,0.0,BU,155300.0,269200.0,False,50.0,14:06:28
39150.0,400,-200.0,0.0,BU,154800.0,269200.0,False,150.0,14:06:28
39000.0,100,-350.0,0.0,BU,154400.0,269200.0,False,0.0,14:06:28
39000.0,100,-350.0,0.0,BU,154300.0,269200.0,False,100.0,14:06:28
38900.0,1000,-450.0,0.0,SD,154200.0,269200.0,False,-50.0,14:05:41
38950.0,1000,-400.0,0.0,BU,154200.0,268200.0,False,0.0,14:05:06
38950.0,5000,-400.0,0.0,BU,153200.0,268200.0,False,50.0,14:04:38
38900.0,300,-450.0,0.0,SD,148200.0,268200.0,False,0.0,14:04:12
38900.0,400,-450.0,0.0,BU,148200.0,267900.0,False,0.0,14:04:05
38900.0,100,-450.0,0.0,BU,147800.0,267900.0,False,0.0,14:04:01
38900.0,1000,-450.0,0.0,BU,147700.0,267900.0,False,0.0,14:03:52
38900.0,1000,-450.0,0.0,BU,146700.0,267900.0,False,0.0,14:03:31
38900.0,100,-450.0,0.0,BU,145700.0,267900.0,False,0.0,14:03:23
38900.0,600,-450.0,0.0,BU,145600.0,267900.0,False,0.0,14:03:10
38900.0,1000,-450.0,0.0,BU,145000.0,267900.0,False,0.0,14:03:10
38900.0,100,-450.0,0.0,BU,144000.0,267900.0,False,0.0,14:03:10
38900.0,100,-450.0,0.0,BU,143900.0,267900.0,False,0.0,14:03:05
38900.0,100,-450.0,0.0,BU,143800.0,267900.0,False,0.0,14:02:45
38900.0,700,-450.0,0.0,BU,143700.0,267900.0,False,0.0,14:02:45
38900.0,300,-450.0,0.0,BU,143000.0,267900.0,False,0.0,14:02:45
38900.0,200,-450.0,0.0,BU,142700.0,267900.0,False,50.0,14:02:45
38850.0,300,-500.0,0.0,SD,142500.0,267900.0,False,0.0,14:02:30
38850.0,500,-500.0,0.0,BU,142500.0,267600.0,False,0.0,14:02:28
38850.0,200,-500.0,0.0,BU,142000.0,267600.0,False,50.0,14:02:28
38800.0,300,-550.0,0.0,BU,141800.0,267600.0,False,0.0,14:02:13
38800.0,800,-550.0,0.0,BU,141500.0,267600.0,False,100.0,14:01:22
38700.0,100,-650.0,0.0,BU,140700.0,267600.0,False,0.0,14:01:22
38700.0,500,-650.0,0.0,BU,140600.0,267600.0,False,0.0,14:01:18
38700.0,500,-650.0,0.0,BU,140100.0,267600.0,False,0.0,14:01:09
38700.0,300,-650.0,0.0,BU,139600.0,267600.0,False,0.0,14:00:18
38700.0,500,-650.0,0.0,BU,139300.0,267600.0,False,0.0,14:00:18
38700.0,100,-650.0,0.0,BU,138800.0,267600.0,False,-100.0,14:00:18
