p,v,cp,rcp,a,ba,sa,hl,pcp,t
33150.0,1000,600.0,0.0,SD,7106700.0,5785000.0,False,0.0,14:14:58
33150.0,600,600.0,0.0,SD,7106700.0,5784000.0,False,0.0,14:14:50
33150.0,9900,600.0,0.0,SD,7106700.0,5783400.0,True,0.0,14:14:44
33150.0,200,600.0,0.0,SD,7106700.0,5773500.0,False,0.0,14:14:44
33150.0,100,600.0,0.0,SD,7106700.0,5773300.0,False,0.0,14:14:44
33150.0,100,600.0,0.0,SD,7106700.0,5773200.0,False,0.0,14:14:44
33150.0,500,600.0,0.0,SD,7106700.0,5773100.0,False,0.0,14:14:44
33150.0,3000,600.0,0.0,SD,7106700.0,5772600.0,False,0.0,14:14:44
33150.0,5000,600.0,0.0,SD,7106700.0,5769600.0,False,0.0,14:14:44
33150.0,200,600.0,0.0,SD,7106700.0,5764600.0,False,0.0,14:14:44
33150.0,300,600.0,0.0,SD,7106700.0,5764400.0,False,0.0,14:14:44
33150.0,2600,600.0,0.0,SD,7106700.0,5764100.0,False,0.0,14:14:44
33150.0,1000,600.0,0.0,SD,7106700.0,5761500.0,False,0.0,14:14:44
33150.0,600,600.0,0.0,SD,7106700.0,5760500.0,False,0.0,14:14:44
33150.0,500,600.0,0.0,SD,7106700.0,5759900.0,False,0.0,14:14:44
33150.0,1000,600.0,0.0,SD,7106700.0,5759400.0,False,0.0,14:14:44
33150.0,100,600.0,0.0,SD,7106700.0,5758400.0,False,0.0,14:14:44
33150.0,500,600.0,0.0,SD,7106700.0,5758300.0,False,0.0,14:14:44
33150.0,100,600.0,0.0,SD,7106700.0,5757800.0,False,0.0,14:14:44
33150.0,200,600.0,0.0,SD,7106700.0,5757700.0,False,0.0,14:14:44
33150.0,1000,600.0,0.0,SD,7106700.0,5757500.0,False,0.0,14:14:44
33150.0,100,600.0,0.0,SD,7106700.0,5756500.0,False,0.0,14:14:44
33150.0,200,600.0,0.0,SD,7106700.0,5756400.0,False,0.0,14:14:44
33150.0,300,600.0,0.0,SD,7106700.0,5756200.0,False,0.0,14:14:44
33150.0,5000,600.0,0.0,SD,7106700.0,5755900.0,False,0.0,14:14:44
