p,v,cp,rcp,a,ba,sa,hl,pcp,t
11200.0,1700,-50.0,0.0,SD,2000.0,2400.0,False,0.0,13:28:23
11200.0,100,-50.0,0.0,SD,2000.0,700.0,False,0.0,13:26:14
11200.0,100,-50.0,0.0,SD,2000.0,600.0,False,0.0,13:26:02
11200.0,100,-50.0,0.0,SD,2000.0,500.0,False,-300.0,13:25:53
11500.0,100,250.0,0.0,BU,2000.0,400.0,False,150.0,11:27:38
11350.0,100,100.0,0.0,BU,1900.0,400.0,False,50.0,11:27:12
11300.0,100,50.0,0.0,BU,1800.0,400.0,False,-450.0,11:22:09
11750.0,100,500.0,0.0,BU,1700.0,400.0,False,450.0,09:40:46
11300.0,500,50.0,0.0,BU,1600.0,400.0,False,50.0,09:40:20
11250.0,100,0.0,0.0,SD,1100.0,400.0,False,0.0,09:35:19
11250.0,200,0.0,0.0,SD,1100.0,300.0,False,0.0,09:31:11
11250.0,100,0.0,0.0,SD,1100.0,100.0,False,0.0,09:31:11
11250.0,100,0.0,0.0,BU,1100.0,0.0,False,0.0,09:24:33
11250.0,900,0.0,0.0,BU,1000.0,0.0,False,0.0,09:23:49
11250.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,09:23:49
