p,v,cp,rcp,a,ba,sa,hl,pcp,t
34000.0,1500,-150.0,0.0,SD,1584700.0,2190600.0,False,0.0,14:15:04
34000.0,300,-150.0,0.0,SD,1584700.0,2189100.0,False,0.0,14:14:58
34000.0,1000,-150.0,0.0,SD,1584700.0,2188800.0,False,0.0,14:14:54
34000.0,5000,-150.0,0.0,SD,1584700.0,2187800.0,False,0.0,14:14:46
34000.0,200,-150.0,0.0,SD,1584700.0,2182800.0,False,0.0,14:14:46
34000.0,100,-150.0,0.0,SD,1584700.0,2182600.0,False,0.0,14:14:45
34000.0,100,-150.0,0.0,SD,1584700.0,2182500.0,False,0.0,14:14:45
34000.0,100,-150.0,0.0,SD,1584700.0,2182400.0,False,0.0,14:14:45
34000.0,1300,-150.0,0.0,SD,1584700.0,2182300.0,False,0.0,14:14:31
34000.0,5000,-150.0,0.0,SD,1584700.0,2181000.0,False,0.0,14:14:28
34000.0,100,-150.0,0.0,SD,1584700.0,2176000.0,False,0.0,14:14:24
34000.0,900,-150.0,0.0,SD,1584700.0,2175900.0,False,0.0,14:14:16
34000.0,100,-150.0,0.0,SD,1584700.0,2175000.0,False,0.0,14:14:16
34000.0,300,-150.0,0.0,SD,1584700.0,2174900.0,False,0.0,14:14:16
34000.0,1700,-150.0,0.0,SD,1584700.0,2174600.0,False,0.0,14:14:16
34000.0,200,-150.0,0.0,SD,1584700.0,2172900.0,False,0.0,14:14:16
34000.0,1800,-150.0,0.0,SD,1584700.0,2172700.0,False,0.0,14:14:16
34000.0,100,-150.0,0.0,SD,1584700.0,2170900.0,False,0.0,14:14:14
34000.0,100,-150.0,0.0,SD,1584700.0,2170800.0,False,0.0,14:14:07
34000.0,400,-150.0,0.0,SD,1584700.0,2170700.0,False,0.0,14:13:49
34000.0,1000,-150.0,0.0,SD,1584700.0,2170300.0,False,0.0,14:13:49
34000.0,600,-150.0,0.0,SD,1584700.0,2169300.0,False,0.0,14:13:49
34000.0,1300,-150.0,0.0,SD,1584700.0,2168700.0,False,0.0,14:13:46
34000.0,8100,-150.0,0.0,SD,1584700.0,2167400.0,True,0.0,14:13:43
34000.0,8400,-150.0,0.0,SD,1584700.0,2159300.0,True,0.0,14:13:43
34000.0,200,-150.0,0.0,SD,1584700.0,2150900.0,False,0.0,14:13:41
34000.0,100,-150.0,0.0,SD,1584700.0,2150700.0,False,0.0,14:13:40
34000.0,100,-150.0,0.0,SD,1584700.0,2150600.0,False,0.0,14:13:40
34000.0,1200,-150.0,0.0,SD,1584700.0,2150500.0,False,0.0,14:13:22
34000.0,1000,-150.0,0.0,SD,1584700.0,2149300.0,False,0.0,14:13:22
