p,v,cp,rcp,a,ba,sa,hl,pcp,t
12200.0,300,-300.0,0.0,BU,527900.0,1256300.0,False,100.0,14:14:35
12100.0,1800,-400.0,0.0,SD,527600.0,1256300.0,False,0.0,14:14:33
12100.0,100,-400.0,0.0,SD,527600.0,1254500.0,False,-100.0,14:13:49
12200.0,500,-300.0,0.0,BU,527600.0,1254400.0,False,0.0,14:12:30
12200.0,700,-300.0,0.0,BU,527100.0,1254400.0,False,0.0,14:12:27
12200.0,200,-300.0,0.0,SD,526400.0,1254400.0,False,0.0,14:12:25
12200.0,100,-300.0,0.0,SD,526400.0,1254200.0,False,0.0,14:12:13
12200.0,100,-300.0,0.0,BU,526400.0,1254100.0,False,0.0,14:12:10
12200.0,1000,-300.0,0.0,SD,526300.0,1254100.0,False,0.0,14:12:06
12200.0,1000,-300.0,0.0,SD,526300.0,1253100.0,False,0.0,14:12:05
12200.0,4000,-300.0,0.0,SD,526300.0,1252100.0,False,0.0,14:12:01
12200.0,800,-300.0,0.0,SD,526300.0,1248100.0,False,0.0,14:11:49
12200.0,400,-300.0,0.0,SD,526300.0,1247300.0,False,0.0,14:11:45
12200.0,10000,-300.0,0.0,SD,526300.0,1246900.0,False,0.0,14:11:44
12200.0,1900,-300.0,0.0,SD,526300.0,1236900.0,False,0.0,14:11:34
12200.0,1400,-300.0,0.0,SD,526300.0,1235000.0,False,0.0,14:11:24
12200.0,2000,-300.0,0.0,SD,526300.0,1233600.0,False,0.0,14:11:20
12200.0,600,-300.0,0.0,SD,526300.0,1231600.0,False,0.0,14:11:06
12200.0,2200,-300.0,0.0,SD,526300.0,1231000.0,False,0.0,14:10:34
12200.0,16600,-300.0,0.0,SD,526300.0,1228800.0,True,0.0,14:10:29
12200.0,600,-300.0,0.0,SD,526300.0,1212200.0,False,0.0,14:08:01
12200.0,37500,-300.0,0.0,SD,526300.0,1211600.0,True,100.0,14:06:34
12100.0,600,-400.0,0.0,SD,526300.0,1174100.0,False,0.0,14:05:12
12100.0,1100,-400.0,0.0,SD,526300.0,1173500.0,False,0.0,14:05:08
12100.0,57000,-400.0,0.0,SD,526300.0,1172400.0,True,0.0,14:04:38
12100.0,35000,-400.0,0.0,BU,526300.0,1115400.0,True,0.0,14:04:35
12100.0,100,-400.0,0.0,BU,488900.0,1111600.0,False,100.0,14:01:06
12000.0,500,-500.0,0.0,SD,488800.0,1111600.0,False,0.0,14:00:02
12000.0,6800,-500.0,0.0,SD,488800.0,1111100.0,False,0.0,13:59:17
12000.0,500,-500.0,0.0,SD,488800.0,1104300.0,False,0.0,13:59:14
12000.0,1500,-500.0,0.0,SD,488800.0,1103800.0,False,0.0,13:59:05
12000.0,7000,-500.0,0.0,SD,488800.0,1102300.0,False,0.0,13:58:22
12000.0,8700,-500.0,0.0,SD,488800.0,1095300.0,False,0.0,13:57:01
12000.0,100,-500.0,0.0,SD,488800.0,1086600.0,False,-100.0,13:55:27
12100.0,4000,-400.0,0.0,BU,488800.0,1086500.0,False,100.0,13:54:51
12000.0,1400,-500.0,0.0,BU,484800.0,1086500.0,False,0.0,13:54:25
12000.0,1500,-500.0,0.0,BU,483400.0,1086500.0,False,0.0,13:54:23
12000.0,400,-500.0,0.0,BU,481900.0,1086500.0,False,0.0,13:54:18
12000.0,2000,-500.0,0.0,BU,481500.0,1086500.0,False,0.0,13:54:16
12000.0,1000,-500.0,0.0,BU,479500.0,1086500.0,False,0.0,13:54:14
12000.0,100,-500.0,0.0,BU,478500.0,1086500.0,False,0.0,13:54:12
12000.0,1000,-500.0,0.0,BU,478400.0,1086500.0,False,0.0,13:54:07
12000.0,200,-500.0,0.0,BU,477400.0,1086500.0,False,0.0,13:53:49
12000.0,1200,-500.0,0.0,BU,477200.0,1086500.0,False,0.0,13:53:48
12000.0,2000,-500.0,0.0,BU,476000.0,1086500.0,False,0.0,13:53:43
12000.0,100,-500.0,0.0,BU,474000.0,1086500.0,False,0.0,13:53:36
12000.0,800,-500.0,0.0,BU,473900.0,1086500.0,False,0.0,13:53:24
12000.0,200,-500.0,0.0,BU,473100.0,1086500.0,False,0.0,13:53:20
12000.0,5000,-500.0,0.0,BU,472900.0,1086500.0,False,0.0,13:53:18
12000.0,10000,-500.0,0.0,BU,467900.0,1086500.0,False,0.0,13:53:04
12000.0,10000,-500.0,0.0,BU,457900.0,1086500.0,False,100.0,13:53:02
11900.0,1500,-600.0,0.0,SD,447900.0,1086500.0,False,-100.0,13:52:58
12000.0,300,-500.0,0.0,BU,447900.0,1085000.0,False,0.0,13:52:57
12000.0,1000,-500.0,0.0,BU,447600.0,1085000.0,False,0.0,13:52:56
12000.0,300,-500.0,0.0,BU,446600.0,1085000.0,False,0.0,13:52:28
12000.0,100,-500.0,0.0,BU,446300.0,1085000.0,False,0.0,13:52:24
12000.0,1000,-500.0,0.0,BU,446200.0,1085000.0,False,0.0,13:52:22
12000.0,1000,-500.0,0.0,BU,445200.0,1085000.0,False,0.0,13:52:09
12000.0,500,-500.0,0.0,BU,444200.0,1085000.0,False,100.0,13:51:52
11900.0,10000,-600.0,0.0,SD,443700.0,1085000.0,False,-100.0,13:51:39
12000.0,500,-500.0,0.0,BU,443700.0,1075000.0,False,0.0,13:51:37
12000.0,2100,-500.0,0.0,BU,443200.0,1075000.0,False,0.0,13:51:30
12000.0,100,-500.0,0.0,BU,441100.0,1075000.0,False,0.0,13:51:26
12000.0,600,-500.0,0.0,BU,441000.0,1075000.0,False,0.0,13:50:29
12000.0,200,-500.0,0.0,BU,440400.0,1075000.0,False,0.0,13:50:18
12000.0,5000,-500.0,0.0,BU,440200.0,1075000.0,False,0.0,13:49:50
12000.0,500,-500.0,0.0,BU,435200.0,1075000.0,False,0.0,13:49:35
12000.0,1000,-500.0,0.0,BU,434700.0,1075000.0,False,0.0,13:49:27
12000.0,200,-500.0,0.0,BU,433700.0,1075000.0,False,0.0,13:48:42
12000.0,200,-500.0,0.0,BU,433500.0,1075000.0,False,0.0,13:48:38
12000.0,100,-500.0,0.0,BU,433300.0,1075000.0,False,0.0,13:47:43
12000.0,5000,-500.0,0.0,BU,433200.0,1075000.0,False,0.0,13:47:36
12000.0,2000,-500.0,0.0,BU,428200.0,1075000.0,False,0.0,13:47:32
12000.0,100,-500.0,0.0,BU,426200.0,1075000.0,False,0.0,13:47:16
12000.0,5000,-500.0,0.0,BU,426100.0,1075000.0,False,0.0,13:46:53
12000.0,5000,-500.0,0.0,BU,421100.0,1075000.0,False,100.0,13:46:50
11900.0,500,-600.0,0.0,SD,416100.0,1075000.0,False,-100.0,13:46:41
12000.0,300,-500.0,0.0,BU,416100.0,1074500.0,False,0.0,13:46:39
12000.0,500,-500.0,0.0,BU,415800.0,1074500.0,False,0.0,13:46:20
12000.0,100,-500.0,0.0,BU,415300.0,1074500.0,False,0.0,13:45:55
12000.0,5000,-500.0,0.0,BU,415200.0,1074500.0,False,0.0,13:45:46
12000.0,500,-500.0,0.0,BU,410200.0,1074500.0,False,0.0,13:45:40
12000.0,200,-500.0,0.0,BU,409700.0,1074500.0,False,0.0,13:45:35
12000.0,400,-500.0,0.0,BU,409500.0,1074500.0,False,0.0,13:45:34
12000.0,1000,-500.0,0.0,BU,409100.0,1074500.0,False,0.0,13:45:33
12000.0,500,-500.0,0.0,BU,408100.0,1074500.0,False,0.0,13:45:29
12000.0,2800,-500.0,0.0,BU,407600.0,1074500.0,False,0.0,13:45:12
12000.0,500,-500.0,0.0,BU,404800.0,1074500.0,False,0.0,13:45:11
12000.0,100,-500.0,0.0,BU,404300.0,1074500.0,False,0.0,13:45:02
12000.0,500,-500.0,0.0,BU,404200.0,1074500.0,False,0.0,13:44:50
12000.0,5000,-500.0,0.0,BU,403700.0,1074500.0,False,0.0,13:44:08
12000.0,100,-500.0,0.0,BU,398700.0,1074500.0,False,0.0,13:43:57
12000.0,2000,-500.0,0.0,SD,398600.0,1074500.0,False,0.0,13:43:51
12000.0,1500,-500.0,0.0,SD,398600.0,1072500.0,False,0.0,13:43:47
12000.0,9300,-500.0,0.0,SD,398600.0,1071000.0,False,0.0,13:43:43
12000.0,2000,-500.0,0.0,SD,398600.0,1061700.0,False,0.0,13:43:42
12000.0,10000,-500.0,0.0,SD,398600.0,1059700.0,False,0.0,13:43:38
12000.0,5000,-500.0,0.0,SD,398600.0,1049700.0,False,0.0,13:43:33
12000.0,1900,-500.0,0.0,SD,398600.0,1044700.0,False,0.0,13:43:30
12000.0,4000,-500.0,0.0,SD,398600.0,1042800.0,False,0.0,13:43:22
12000.0,100,-500.0,0.0,SD,398600.0,1037800.0,False,-100.0,13:42:08
12100.0,1000,-400.0,0.0,BU,398600.0,1037700.0,False,0.0,13:42:01
12100.0,100,-400.0,0.0,BU,397600.0,1037700.0,False,0.0,13:40:19
12100.0,100,-400.0,0.0,BU,397500.0,1037700.0,False,0.0,13:40:05
12100.0,4300,-400.0,0.0,BU,397400.0,1037700.0,False,0.0,13:39:43
12100.0,1000,-400.0,0.0,BU,393100.0,1037700.0,False,0.0,13:39:42
12100.0,4900,-400.0,0.0,BU,392100.0,1037700.0,False,0.0,13:39:40
12100.0,100,-400.0,0.0,BU,387200.0,1037700.0,False,0.0,13:39:37
12100.0,100,-400.0,0.0,BU,387100.0,1037700.0,False,0.0,13:39:34
12100.0,5000,-400.0,0.0,BU,387000.0,1037700.0,False,0.0,13:39:24
12100.0,700,-400.0,0.0,BU,382000.0,1037700.0,False,0.0,13:39:09
12100.0,100,-400.0,0.0,BU,381300.0,1037700.0,False,0.0,13:39:08
12100.0,200,-400.0,0.0,BU,381200.0,1037700.0,False,0.0,13:38:59
12100.0,100,-400.0,0.0,BU,381000.0,1037700.0,False,0.0,13:38:52
12100.0,100,-400.0,0.0,BU,380900.0,1037700.0,False,0.0,13:38:47
12100.0,5000,-400.0,0.0,BU,380800.0,1037700.0,False,0.0,13:38:44
12100.0,2000,-400.0,0.0,BU,375800.0,1037700.0,False,0.0,13:38:42
12100.0,1500,-400.0,0.0,BU,373800.0,1037700.0,False,0.0,13:38:36
12100.0,200,-400.0,0.0,BU,372300.0,1037700.0,False,0.0,13:37:50
12100.0,200,-400.0,0.0,BU,372100.0,1037700.0,False,0.0,13:37:27
12100.0,1500,-400.0,0.0,BU,371900.0,1037700.0,False,0.0,13:37:10
12100.0,200,-400.0,0.0,BU,370400.0,1037700.0,False,100.0,13:36:59
