p,v,cp,rcp,a,ba,sa,hl,pcp,t
46000.0,300,-750.0,0.0,SD,82600.0,101500.0,False,0.0,14:14:51
46000.0,1500,-750.0,0.0,SD,82600.0,101200.0,False,0.0,14:14:19
46000.0,200,-750.0,0.0,SD,82600.0,99700.0,False,-50.0,14:14:19
46050.0,400,-700.0,0.0,SD,82600.0,99500.0,False,0.0,14:14:19
46050.0,500,-700.0,0.0,SD,82600.0,99100.0,False,-50.0,14:14:19
46100.0,3000,-650.0,0.0,SD,82600.0,98600.0,False,-100.0,14:13:17
46200.0,100,-550.0,0.0,BU,82600.0,95600.0,False,0.0,14:12:08
46200.0,500,-550.0,0.0,BU,82500.0,95600.0,False,0.0,14:12:08
46200.0,1000,-550.0,0.0,BU,82000.0,95600.0,False,0.0,14:12:08
46200.0,1600,-550.0,0.0,SD,81000.0,95600.0,False,-50.0,14:11:54
46250.0,100,-500.0,0.0,BU,81000.0,94000.0,False,-50.0,14:11:54
46300.0,500,-450.0,0.0,SD,80900.0,94000.0,False,0.0,14:10:53
46300.0,400,-450.0,0.0,SD,80900.0,93500.0,False,-150.0,14:10:53
46450.0,600,-300.0,0.0,SD,80900.0,93100.0,False,0.0,14:10:28
46450.0,200,-300.0,0.0,BU,80900.0,92500.0,False,0.0,14:10:21
46450.0,200,-300.0,0.0,BU,80700.0,92500.0,False,50.0,14:10:21
46400.0,500,-350.0,0.0,BU,80500.0,92500.0,False,-50.0,14:08:49
46450.0,1800,-300.0,0.0,BU,80000.0,92500.0,False,100.0,14:08:49
46350.0,700,-400.0,0.0,BU,78200.0,92500.0,False,50.0,14:08:49
46300.0,100,-450.0,0.0,BU,77500.0,92500.0,False,100.0,14:08:04
46200.0,2400,-550.0,0.0,BU,77400.0,92500.0,False,0.0,14:06:58
46200.0,2000,-550.0,0.0,BU,75000.0,92500.0,False,0.0,14:06:57
46200.0,500,-550.0,0.0,SD,73000.0,92500.0,False,0.0,14:06:07
46200.0,500,-550.0,0.0,SD,73000.0,92000.0,False,-150.0,14:06:07
46300.0,100,-450.0,0.0,SD,72300.0,91500.0,False,0.0,14:01:32
46300.0,500,-450.0,0.0,BU,72300.0,91400.0,False,0.0,13:59:41
46300.0,500,-450.0,0.0,BU,71800.0,91400.0,False,0.0,13:59:41
46300.0,100,-450.0,0.0,BU,71300.0,91400.0,False,0.0,13:59:22
46300.0,100,-450.0,0.0,BU,71200.0,91400.0,False,100.0,13:59:02
46200.0,100,-550.0,0.0,BU,71100.0,91400.0,False,0.0,13:59:02
46200.0,100,-550.0,0.0,SD,71000.0,91400.0,False,200.0,13:57:36
46000.0,400,-750.0,0.0,SD,71000.0,91300.0,False,0.0,13:55:58
46000.0,500,-750.0,0.0,BU,71000.0,90900.0,False,0.0,13:55:57
46000.0,100,-750.0,0.0,BU,70500.0,90900.0,False,200.0,13:55:42
45800.0,800,-950.0,0.0,SD,70400.0,90900.0,False,0.0,13:55:10
45800.0,100,-950.0,0.0,SD,70400.0,90100.0,False,0.0,13:55:10
45800.0,100,-950.0,0.0,SD,70400.0,90000.0,False,0.0,13:55:10
45800.0,500,-950.0,0.0,SD,70400.0,89900.0,False,0.0,13:48:35
45800.0,400,-950.0,0.0,SD,70400.0,89400.0,False,0.0,13:47:32
45800.0,100,-950.0,0.0,SD,70400.0,89000.0,False,0.0,13:47:32
45800.0,4500,-950.0,0.0,SD,70400.0,88900.0,True,0.0,13:47:32
45800.0,500,-950.0,0.0,SD,70400.0,84400.0,False,0.0,13:47:11
45800.0,500,-950.0,0.0,SD,70400.0,83900.0,False,0.0,13:47:11
45800.0,100,-950.0,0.0,SD,70400.0,83400.0,False,0.0,13:47:11
45800.0,300,-950.0,0.0,SD,70400.0,83300.0,False,0.0,13:47:11
45800.0,100,-950.0,0.0,SD,70400.0,83000.0,False,0.0,13:46:38
45800.0,200,-950.0,0.0,SD,70400.0,82900.0,False,-50.0,13:46:38
45850.0,600,-900.0,0.0,BU,70400.0,82700.0,False,0.0,13:46:27
45850.0,200,-900.0,0.0,SD,69800.0,82700.0,False,0.0,13:45:44
45850.0,1000,-900.0,0.0,SD,69800.0,82500.0,False,-50.0,13:45:44
45900.0,200,-850.0,0.0,SD,69800.0,81500.0,False,0.0,13:45:05
45900.0,200,-850.0,0.0,SD,69800.0,81300.0,False,0.0,13:45:05
45900.0,300,-850.0,0.0,SD,69800.0,81100.0,False,0.0,13:45:05
45900.0,200,-850.0,0.0,SD,69800.0,80800.0,False,0.0,13:44:47
45900.0,200,-850.0,0.0,SD,69800.0,80600.0,False,0.0,13:44:07
45900.0,100,-850.0,0.0,SD,69800.0,80400.0,False,-50.0,13:44:07
45950.0,800,-800.0,0.0,SD,69800.0,80300.0,False,0.0,13:43:57
