p,v,cp,rcp,a,ba,sa,hl,pcp,t
5100.0,100,-100.0,0.0,BU,205200.0,606400.0,False,100.0,14:13:06
5000.0,4100,-200.0,0.0,SD,205100.0,606400.0,False,0.0,14:12:27
5000.0,37500,-200.0,0.0,SD,205100.0,602300.0,False,0.0,14:08:38
5000.0,15600,-200.0,0.0,SD,205100.0,564800.0,False,0.0,14:01:49
5000.0,100,-200.0,0.0,BU,205100.0,549200.0,False,0.0,14:01:47
5000.0,10000,-200.0,0.0,BU,205000.0,549200.0,False,0.0,14:01:33
5000.0,3000,-200.0,0.0,BU,195000.0,549200.0,False,0.0,14:00:43
5000.0,1000,-200.0,0.0,BU,192000.0,549200.0,False,0.0,14:00:26
5000.0,5000,-200.0,0.0,BU,191000.0,549200.0,False,100.0,14:00:01
4900.0,5000,-300.0,-0.1,SD,186000.0,549200.0,False,-100.0,13:59:37
5000.0,500,-200.0,0.0,BU,186000.0,544200.0,False,0.0,13:59:33
5000.0,500,-200.0,0.0,BU,185500.0,544200.0,False,0.0,13:59:24
5000.0,200,-200.0,0.0,BU,185000.0,544200.0,False,0.0,13:59:20
5000.0,14100,-200.0,0.0,BU,184800.0,544200.0,False,0.0,13:58:37
5000.0,1000,-200.0,0.0,SD,170700.0,544200.0,False,0.0,13:57:19
5000.0,1000,-200.0,0.0,SD,170700.0,543200.0,False,0.0,13:55:44
5000.0,300,-200.0,0.0,SD,170700.0,542200.0,False,0.0,13:54:27
5000.0,300,-200.0,0.0,SD,170700.0,541900.0,False,0.0,13:53:44
5000.0,1000,-200.0,0.0,SD,170700.0,541600.0,False,0.0,13:53:08
5000.0,100,-200.0,0.0,BU,170700.0,540600.0,False,0.0,13:50:17
5000.0,1000,-200.0,0.0,BU,170600.0,540600.0,False,0.0,13:50:14
5000.0,4100,-200.0,0.0,BU,169600.0,540600.0,False,0.0,13:49:22
5000.0,10000,-200.0,0.0,SD,165500.0,540600.0,False,0.0,13:48:50
5000.0,2000,-200.0,0.0,SD,165500.0,530600.0,False,0.0,13:48:38
5000.0,2200,-200.0,0.0,SD,165500.0,528600.0,False,0.0,13:46:13
5000.0,5600,-200.0,0.0,BU,165500.0,526400.0,False,0.0,13:45:45
5000.0,300,-200.0,0.0,BU,159900.0,526400.0,False,0.0,13:45:44
5000.0,1100,-200.0,0.0,BU,159600.0,526400.0,False,100.0,13:44:54
4900.0,30000,-300.0,-0.1,SD,158500.0,526400.0,False,-200.0,13:43:48
5100.0,100,-100.0,0.0,BU,158500.0,496400.0,False,100.0,13:42:22
5000.0,3900,-200.0,0.0,SD,158400.0,496400.0,False,0.0,13:36:42
5000.0,100,-200.0,0.0,BU,158400.0,492500.0,False,0.0,13:36:23
