p,v,cp,rcp,a,ba,sa,hl,pcp,t
2630.0,100,-100.0,0.0,BU,1466900.0,2265600.0,False,0.0,14:14:26
2630.0,2000,-100.0,0.0,BU,1466800.0,2265600.0,False,0.0,14:14:25
2630.0,100,-100.0,0.0,BU,1464800.0,2265600.0,False,0.0,14:14:17
2630.0,100,-100.0,0.0,BU,1464700.0,2265600.0,False,0.0,14:14:00
2630.0,500,-100.0,0.0,BU,1464600.0,2265600.0,False,0.0,14:13:54
2630.0,500,-100.0,0.0,BU,1464100.0,2265600.0,False,0.0,14:13:54
2630.0,500,-100.0,0.0,BU,1463600.0,2265600.0,False,0.0,14:13:52
2630.0,1500,-100.0,0.0,BU,1463100.0,2265600.0,False,0.0,14:13:52
2630.0,100,-100.0,0.0,BU,1461600.0,2265600.0,False,0.0,14:13:44
2630.0,2000,-100.0,0.0,BU,1461500.0,2265600.0,False,0.0,14:13:42
2630.0,100,-100.0,0.0,BU,1459500.0,2265600.0,False,0.0,14:13:27
2630.0,600,-100.0,0.0,BU,1459400.0,2265600.0,False,0.0,14:13:11
2630.0,1300,-100.0,0.0,BU,1458800.0,2265600.0,False,0.0,14:12:23
2630.0,1000,-100.0,0.0,BU,1457500.0,2265600.0,False,0.0,14:12:08
2630.0,300,-100.0,0.0,BU,1456500.0,2265600.0,False,0.0,14:12:08
2630.0,1000,-100.0,0.0,BU,1456200.0,2265600.0,False,0.0,14:12:08
2630.0,500,-100.0,0.0,BU,1455200.0,2265600.0,False,0.0,14:12:08
2630.0,600,-100.0,0.0,BU,1454700.0,2265600.0,False,0.0,14:12:08
2630.0,300,-100.0,0.0,SD,1454100.0,2265600.0,False,-10.0,14:11:32
2640.0,3700,-90.0,0.0,BU,1454100.0,2265300.0,False,0.0,14:11:27
2640.0,300,-90.0,0.0,BU,1450400.0,2265300.0,False,0.0,14:11:27
2640.0,300,-90.0,0.0,BU,1450100.0,2265300.0,False,0.0,14:11:05
2640.0,1000,-90.0,0.0,SD,1449800.0,2265300.0,False,0.0,14:11:00
2640.0,900,-90.0,0.0,SD,1449800.0,2264300.0,False,0.0,14:11:00
2640.0,200,-90.0,0.0,SD,1449800.0,2263400.0,False,0.0,14:10:59
2640.0,1000,-90.0,0.0,SD,1449800.0,2263200.0,False,0.0,14:10:59
2640.0,1600,-90.0,0.0,SD,1449800.0,2262200.0,False,0.0,14:10:59
2640.0,100,-90.0,0.0,SD,1449800.0,2260600.0,False,0.0,14:10:59
2640.0,200,-90.0,0.0,SD,1449800.0,2260500.0,False,0.0,14:10:59
2640.0,100,-90.0,0.0,SD,1449800.0,2260300.0,False,0.0,14:10:59
2640.0,100,-90.0,0.0,SD,1449800.0,2260200.0,False,0.0,14:10:59
2640.0,100,-90.0,0.0,SD,1449800.0,2260100.0,False,0.0,14:10:59
2640.0,1800,-90.0,0.0,SD,1449800.0,2260000.0,False,0.0,14:10:59
2640.0,100,-90.0,0.0,SD,1449800.0,2258200.0,False,-10.0,14:10:52
2650.0,2000,-80.0,0.0,BU,1449800.0,2258100.0,False,10.0,14:10:43
2640.0,200,-90.0,0.0,SD,1447800.0,2258100.0,False,0.0,14:10:43
2640.0,2900,-90.0,0.0,SD,1447800.0,2257900.0,False,0.0,14:10:27
2640.0,1000,-90.0,0.0,SD,1447800.0,2255000.0,False,0.0,14:10:27
2640.0,1100,-90.0,0.0,SD,1447800.0,2254000.0,False,-10.0,14:10:27
2650.0,400,-80.0,0.0,BU,1447800.0,2252900.0,False,0.0,14:10:01
2650.0,200,-80.0,0.0,BU,1447400.0,2252900.0,False,0.0,14:09:52
2650.0,2400,-80.0,0.0,BU,1447200.0,2252900.0,False,0.0,14:08:56
2650.0,400,-80.0,0.0,BU,1444800.0,2252900.0,False,0.0,14:08:56
