p,v,cp,rcp,a,ba,sa,hl,pcp,t
64800.0,200,-800.0,0.0,BU,608500.0,907500.0,False,0.0,14:19:54
64800.0,3700,-800.0,0.0,BU,608300.0,907500.0,True,0.0,14:19:54
64800.0,900,-800.0,0.0,BU,604600.0,907500.0,False,100.0,14:19:49
64700.0,100,-900.0,0.0,BU,603700.0,907500.0,False,-100.0,14:19:49
64800.0,400,-800.0,0.0,BU,603600.0,907500.0,False,0.0,14:19:32
64800.0,800,-800.0,0.0,BU,603200.0,907500.0,False,0.0,14:19:32
64800.0,100,-800.0,0.0,BU,602400.0,907500.0,False,0.0,14:19:32
64800.0,100,-800.0,0.0,BU,602300.0,907500.0,False,0.0,14:19:32
64800.0,600,-800.0,0.0,BU,602200.0,907500.0,False,0.0,14:19:32
64800.0,500,-800.0,0.0,BU,601600.0,907500.0,False,0.0,14:19:05
64800.0,100,-800.0,0.0,BU,601100.0,907500.0,False,0.0,14:19:01
64800.0,100,-800.0,0.0,BU,601000.0,907500.0,False,0.0,14:18:52
64800.0,200,-800.0,0.0,BU,600900.0,907500.0,False,0.0,14:18:40
64800.0,300,-800.0,0.0,BU,600700.0,907500.0,False,0.0,14:18:40
64800.0,500,-800.0,0.0,BU,600400.0,907500.0,False,0.0,14:18:36
64800.0,100,-800.0,0.0,BU,599900.0,907500.0,False,0.0,14:18:15
64800.0,100,-800.0,0.0,BU,599800.0,907500.0,False,300.0,14:18:02
64500.0,100,-1100.0,0.0,SD,599700.0,907500.0,False,100.0,14:17:40
64400.0,300,-1200.0,0.0,SD,599700.0,907400.0,False,0.0,14:17:40
64400.0,100,-1200.0,0.0,BU,599700.0,907100.0,False,0.0,14:17:38
64400.0,200,-1200.0,0.0,BU,599600.0,907100.0,False,0.0,14:17:33
64400.0,1000,-1200.0,0.0,BU,599400.0,907100.0,False,0.0,14:17:32
64400.0,100,-1200.0,0.0,BU,598400.0,907100.0,False,-100.0,14:17:26
64500.0,1000,-1100.0,0.0,BU,598300.0,907100.0,False,200.0,14:17:14
64300.0,500,-1300.0,0.0,SD,597300.0,907100.0,False,-200.0,14:17:09
64500.0,500,-1100.0,0.0,BU,597300.0,906600.0,False,0.0,14:17:05
64500.0,500,-1100.0,0.0,BU,596800.0,906600.0,False,100.0,14:16:41
64400.0,100,-1200.0,0.0,SD,596300.0,906600.0,False,200.0,14:16:34
64200.0,200,-1400.0,0.0,SD,596300.0,906500.0,False,0.0,14:16:34
64200.0,200,-1400.0,0.0,SD,596300.0,906300.0,False,0.0,14:16:34
64200.0,900,-1400.0,0.0,SD,596300.0,906100.0,False,0.0,14:16:34
64200.0,1900,-1400.0,0.0,SD,596300.0,905200.0,False,0.0,14:16:34
64200.0,200,-1400.0,0.0,SD,596300.0,903300.0,False,0.0,14:16:34
64200.0,3000,-1400.0,0.0,SD,596300.0,903100.0,False,0.0,14:16:34
64200.0,100,-1400.0,0.0,SD,596300.0,900100.0,False,-200.0,14:16:34
64400.0,3000,-1200.0,0.0,SD,596300.0,900000.0,False,200.0,14:16:34
64200.0,5000,-1400.0,0.0,SD,596300.0,897000.0,True,0.0,14:16:34
64200.0,1000,-1400.0,0.0,SD,596300.0,892000.0,False,0.0,14:16:34
64200.0,200,-1400.0,0.0,SD,596300.0,891000.0,False,0.0,14:16:34
64200.0,200,-1400.0,0.0,SD,596300.0,890800.0,False,0.0,14:16:34
64200.0,2700,-1400.0,0.0,SD,596300.0,890600.0,False,0.0,14:16:34
64200.0,2200,-1400.0,0.0,SD,596300.0,887900.0,False,0.0,14:16:34
64200.0,500,-1400.0,0.0,SD,596300.0,885700.0,False,0.0,14:16:34
64200.0,100,-1400.0,0.0,SD,596300.0,885200.0,False,-100.0,14:16:34
64300.0,100,-1300.0,0.0,SD,596300.0,885100.0,False,0.0,14:16:34
64300.0,2000,-1300.0,0.0,SD,596300.0,885000.0,False,0.0,14:16:34
64300.0,1000,-1300.0,0.0,SD,596300.0,883000.0,False,-100.0,14:16:34
64400.0,200,-1200.0,0.0,SD,596300.0,882000.0,False,0.0,14:16:34
