p,v,cp,rcp,a,ba,sa,hl,pcp,t
26300.0,2800,-100.0,0.0,SD,41300.0,10900.0,False,-100.0,13:57:23
26400.0,1700,0.0,0.0,BU,41300.0,8100.0,False,0.0,13:41:08
26400.0,2100,0.0,0.0,SD,39600.0,8100.0,False,0.0,13:37:04
26400.0,1000,0.0,0.0,BU,39600.0,6000.0,False,100.0,13:05:12
26300.0,1600,-100.0,0.0,BU,38600.0,6000.0,False,0.0,11:25:33
26300.0,8400,-100.0,0.0,BU,37000.0,6000.0,True,-100.0,10:47:44
26400.0,3000,0.0,0.0,BU,28600.0,6000.0,False,-200.0,10:45:02
26600.0,800,200.0,0.0,BU,25600.0,6000.0,False,100.0,10:39:42
26500.0,700,100.0,0.0,BU,24800.0,6000.0,False,0.0,10:28:30
26500.0,2600,100.0,0.0,BU,24100.0,6000.0,False,100.0,10:21:41
26400.0,3500,0.0,0.0,SD,21500.0,6000.0,False,100.0,10:13:14
26300.0,1600,-100.0,0.0,BU,21500.0,2500.0,False,0.0,10:02:09
26300.0,500,-100.0,0.0,BU,19900.0,2500.0,False,0.0,10:01:13
26300.0,1900,-100.0,0.0,BU,19400.0,2500.0,False,-100.0,09:47:05
26400.0,500,0.0,0.0,SD,17500.0,2500.0,False,-300.0,09:32:39
26700.0,2000,300.0,0.0,BU,17500.0,2000.0,False,0.0,09:25:57
26700.0,1000,300.0,0.0,BU,15500.0,2000.0,False,0.0,09:25:35
26700.0,2000,300.0,0.0,BU,14500.0,2000.0,False,-100.0,09:25:24
26800.0,2500,400.0,0.0,BU,12500.0,2000.0,False,0.0,09:22:56
26800.0,2000,400.0,0.0,BU,10000.0,2000.0,False,100.0,09:22:43
26700.0,3500,300.0,0.0,BU,8000.0,2000.0,False,100.0,09:21:51
26600.0,3000,200.0,0.0,BU,4500.0,2000.0,False,100.0,09:21:17
26500.0,1500,100.0,0.0,BU,1500.0,2000.0,False,100.0,09:20:57
26400.0,2000,0.0,0.0,SD,0.0,2000.0,False,0.0,09:00:16
