p,v,cp,rcp,a,ba,sa,hl,pcp,t
17600.0,1000,-200.0,0.0,BU,3600.0,24200.0,False,0.0,14:21:01
17600.0,1000,-200.0,0.0,BU,2600.0,24200.0,False,100.0,13:53:26
17500.0,2000,-300.0,0.0,SD,1600.0,24200.0,False,-50.0,13:51:41
17550.0,2000,-250.0,0.0,SD,1600.0,22200.0,False,50.0,13:50:24
17500.0,400,-300.0,0.0,SD,1600.0,20200.0,False,0.0,13:47:03
17500.0,2300,-300.0,0.0,SD,1600.0,19800.0,False,-50.0,13:47:03
17550.0,300,-250.0,0.0,SD,1600.0,17500.0,False,50.0,13:47:03
17500.0,1300,-300.0,0.0,SD,1600.0,17200.0,False,0.0,13:30:52
17500.0,500,-300.0,0.0,SD,1600.0,15900.0,False,-50.0,13:30:52
17550.0,200,-250.0,0.0,SD,1600.0,15400.0,False,0.0,13:30:51
17550.0,4800,-250.0,0.0,SD,1600.0,15200.0,False,-50.0,13:30:10
17600.0,200,-200.0,0.0,SD,1600.0,10400.0,False,0.0,13:30:10
17600.0,800,-200.0,0.0,SD,1600.0,10200.0,False,0.0,13:29:34
17600.0,100,-200.0,0.0,SD,1600.0,9400.0,False,0.0,13:29:34
17600.0,100,-200.0,0.0,SD,1600.0,9300.0,False,0.0,13:29:34
17600.0,600,-200.0,0.0,SD,1600.0,9200.0,False,0.0,13:29:34
17600.0,300,-200.0,0.0,SD,1600.0,8600.0,False,-50.0,13:29:34
17650.0,100,-150.0,0.0,BU,1600.0,8300.0,False,-50.0,13:29:34
17700.0,400,-100.0,0.0,BU,1500.0,8300.0,False,100.0,11:25:24
17600.0,200,-200.0,0.0,SD,1100.0,8300.0,False,0.0,11:22:49
17600.0,500,-200.0,0.0,SD,1100.0,8100.0,False,-100.0,11:19:00
17700.0,100,-100.0,0.0,SD,1100.0,7600.0,False,-50.0,10:57:32
17750.0,1000,-50.0,0.0,BU,1100.0,7500.0,False,0.0,10:48:45
17750.0,100,-50.0,0.0,BU,100.0,7500.0,False,50.0,10:30:40
17700.0,100,-100.0,0.0,SD,0.0,7500.0,False,0.0,10:23:17
17700.0,400,-100.0,0.0,SD,0.0,7400.0,False,0.0,09:54:20
17700.0,100,-100.0,0.0,SD,0.0,7000.0,False,0.0,09:54:20
17700.0,600,-100.0,0.0,SD,0.0,6900.0,False,0.0,09:51:05
17700.0,2000,-100.0,0.0,SD,0.0,6300.0,False,0.0,09:51:05
17700.0,1100,-100.0,0.0,SD,0.0,4300.0,False,0.0,09:51:05
17700.0,300,-100.0,0.0,SD,0.0,3200.0,False,-50.0,09:51:05
17750.0,1000,-50.0,0.0,SD,0.0,2900.0,False,0.0,09:40:36
17750.0,500,-50.0,0.0,SD,0.0,1900.0,False,-50.0,09:40:36
17800.0,300,0.0,0.0,SD,0.0,1400.0,False,0.0,09:21:43
17800.0,100,0.0,0.0,SD,0.0,1100.0,False,0.0,09:21:43
17800.0,500,0.0,0.0,SD,0.0,1000.0,False,0.0,09:19:04
17800.0,400,0.0,0.0,SD,0.0,500.0,False,0.0,09:15:59
17800.0,100,0.0,0.0,SD,0.0,100.0,False,0.0,09:15:59
