p,v,cp,rcp,a,ba,sa,hl,pcp,t
25400.0,1200,-1400.0,-0.1,SD,3362400.0,4404300.0,False,-100.0,14:25:00
25500.0,5000,-1300.0,0.0,BU,3362400.0,4403100.0,False,100.0,14:24:58
25400.0,900,-1400.0,-0.1,SD,3357400.0,4403100.0,False,0.0,14:24:54
25400.0,9000,-1400.0,-0.1,SD,3357400.0,4402200.0,True,-100.0,14:24:51
25500.0,2000,-1300.0,0.0,BU,3357400.0,4393200.0,False,0.0,14:24:50
25500.0,1000,-1300.0,0.0,BU,3355400.0,4393200.0,False,0.0,14:24:49
25500.0,2100,-1300.0,0.0,BU,3354400.0,4393200.0,False,0.0,14:24:48
25500.0,1100,-1300.0,0.0,BU,3352300.0,4393200.0,False,0.0,14:24:47
25500.0,400,-1300.0,0.0,BU,3351200.0,4393200.0,False,0.0,14:24:42
25500.0,3600,-1300.0,0.0,SD,3350800.0,4393200.0,False,0.0,14:24:37
25500.0,10000,-1300.0,0.0,SD,3350800.0,4389600.0,True,0.0,14:24:36
25500.0,50000,-1300.0,0.0,SD,3350800.0,4379600.0,True,0.0,14:24:33
25500.0,300,-1300.0,0.0,SD,3350800.0,4329600.0,False,0.0,14:24:30
25500.0,2000,-1300.0,0.0,SD,3350800.0,4329300.0,False,0.0,14:24:29
25500.0,1500,-1300.0,0.0,SD,3350800.0,4327300.0,False,0.0,14:24:25
25500.0,50000,-1300.0,0.0,SD,3350800.0,4325800.0,True,-100.0,14:24:21
25600.0,100,-1200.0,0.0,BU,3350800.0,4275800.0,False,100.0,14:24:17
25500.0,300,-1300.0,0.0,SD,3350700.0,4275800.0,False,-100.0,14:24:16
25600.0,20000,-1200.0,0.0,BU,3350700.0,4275500.0,True,0.0,14:24:10
25600.0,100,-1200.0,0.0,BU,3330700.0,4275500.0,False,100.0,14:24:08
25500.0,40000,-1300.0,0.0,SD,3330600.0,4275500.0,True,-100.0,14:24:07
25600.0,8000,-1200.0,0.0,SD,3330600.0,4235500.0,True,0.0,14:24:03
25600.0,50000,-1200.0,0.0,SD,3330600.0,4227500.0,True,0.0,14:24:00
25600.0,7000,-1200.0,0.0,SD,3330600.0,4177500.0,False,-100.0,14:23:57
25700.0,9100,-1100.0,0.0,SD,3330600.0,4170500.0,True,0.0,14:23:48
25700.0,200,-1100.0,0.0,SD,3330600.0,4161400.0,False,0.0,14:23:46
25700.0,7400,-1100.0,0.0,SD,3330600.0,4161200.0,False,-100.0,14:23:45
25800.0,200,-1000.0,0.0,BU,3330600.0,4153800.0,False,100.0,14:23:42
25700.0,1000,-1100.0,0.0,SD,3330400.0,4153800.0,False,-100.0,14:23:41
25800.0,2000,-1000.0,0.0,BU,3330400.0,4152800.0,False,100.0,14:23:40
25700.0,500,-1100.0,0.0,SD,3328400.0,4152800.0,False,0.0,14:23:37
25700.0,13000,-1100.0,0.0,SD,3328400.0,4152300.0,True,-100.0,14:23:33
25800.0,500,-1000.0,0.0,BU,3328400.0,4139300.0,False,0.0,14:23:30
25800.0,2000,-1000.0,0.0,BU,3327900.0,4139300.0,False,0.0,14:23:27
