p,v,cp,rcp,a,ba,sa,hl,pcp,t
7500.0,200,-100.0,0.0,BU,3300.0,26100.0,False,0.0,14:21:15
7500.0,100,-100.0,0.0,BU,3100.0,26100.0,False,0.0,14:15:14
7500.0,100,-100.0,0.0,BU,3000.0,26100.0,False,200.0,14:14:38
7300.0,2400,-300.0,0.0,SD,2900.0,26100.0,False,-300.0,14:11:49
7600.0,100,0.0,0.0,BU,2900.0,23700.0,False,100.0,13:47:19
7500.0,1100,-100.0,0.0,BU,2800.0,23700.0,False,-100.0,13:46:13
7600.0,100,0.0,0.0,BU,1700.0,23700.0,False,300.0,13:25:05
7300.0,1500,-300.0,0.0,SD,1600.0,23700.0,False,-300.0,13:22:35
7600.0,100,0.0,0.0,BU,1600.0,22200.0,False,100.0,13:10:42
7500.0,100,-100.0,0.0,BU,1500.0,22200.0,False,0.0,13:09:22
7500.0,100,-100.0,0.0,BU,1400.0,22200.0,False,-100.0,13:02:21
7600.0,100,0.0,0.0,BU,1300.0,22200.0,False,300.0,10:59:59
7300.0,4600,-300.0,0.0,SD,1200.0,22200.0,False,-300.0,10:57:32
7600.0,100,0.0,0.0,BU,1200.0,17600.0,False,200.0,10:54:53
7400.0,4500,-200.0,0.0,SD,1100.0,17600.0,False,-200.0,10:53:59
7600.0,100,0.0,0.0,BU,1100.0,13100.0,False,100.0,10:45:08
7500.0,700,-100.0,0.0,BU,1000.0,13100.0,False,-100.0,10:44:53
7600.0,100,0.0,0.0,BU,300.0,13100.0,False,100.0,10:39:41
7500.0,11900,-100.0,0.0,SD,200.0,13100.0,False,-200.0,10:38:19
7700.0,100,100.0,0.0,BU,200.0,1200.0,False,200.0,09:47:12
7500.0,1200,-100.0,0.0,SD,100.0,1200.0,False,-300.0,09:45:11
7800.0,100,200.0,0.0,BU,100.0,0.0,False,0.0,09:06:19
