p,v,cp,rcp,a,ba,sa,hl,pcp,t
47200.0,52000,-1000.0,0.0,SD,1296400.0,1912900.0,True,-100.0,14:24:55
47300.0,3500,-900.0,0.0,SD,1296400.0,1860900.0,False,0.0,14:24:45
47300.0,1600,-900.0,0.0,BU,1296400.0,1857400.0,False,0.0,14:24:40
47300.0,1000,-900.0,0.0,SD,1294800.0,1857400.0,False,0.0,14:24:38
47300.0,300,-900.0,0.0,BU,1294800.0,1856400.0,False,100.0,14:24:12
47200.0,10000,-1000.0,0.0,SD,1294500.0,1856400.0,True,-200.0,14:24:04
47400.0,200,-800.0,0.0,BU,1294500.0,1846400.0,False,200.0,14:23:58
47200.0,500,-1000.0,0.0,SD,1294300.0,1846400.0,False,0.0,14:23:56
47200.0,3400,-1000.0,0.0,SD,1294300.0,1845900.0,False,0.0,14:23:49
47200.0,4000,-1000.0,0.0,SD,1294300.0,1842500.0,False,-100.0,14:23:45
47300.0,200,-900.0,0.0,SD,1294300.0,1838500.0,False,0.0,14:23:37
47300.0,18700,-900.0,0.0,SD,1294300.0,1838300.0,True,100.0,14:23:32
47200.0,600,-1000.0,0.0,SD,1294300.0,1819600.0,False,0.0,14:23:30
47200.0,2000,-1000.0,0.0,SD,1294300.0,1819000.0,False,-100.0,14:23:25
47300.0,500,-900.0,0.0,BU,1294300.0,1817000.0,False,0.0,14:23:11
47300.0,300,-900.0,0.0,BU,1293800.0,1817000.0,False,0.0,14:23:08
47300.0,2000,-900.0,0.0,BU,1293500.0,1817000.0,False,0.0,14:23:06
47300.0,1700,-900.0,0.0,BU,1291500.0,1817000.0,False,0.0,14:23:05
47300.0,3100,-900.0,0.0,SD,1289800.0,1817000.0,False,0.0,14:23:04
47300.0,2000,-900.0,0.0,SD,1289800.0,1813900.0,False,0.0,14:23:02
47300.0,2800,-900.0,0.0,SD,1289800.0,1811900.0,False,0.0,14:22:48
47300.0,30000,-900.0,0.0,SD,1289800.0,1809100.0,True,0.0,14:22:43
47300.0,50000,-900.0,0.0,SD,1289800.0,1779100.0,True,-100.0,14:22:32
47400.0,100,-800.0,0.0,BU,1289800.0,1729100.0,False,0.0,14:22:31
47400.0,700,-800.0,0.0,BU,1289700.0,1729100.0,False,0.0,14:22:20
47400.0,3000,-800.0,0.0,SD,1289000.0,1729100.0,False,0.0,14:22:19
47400.0,3400,-800.0,0.0,SD,1289000.0,1726100.0,False,-100.0,14:22:14
47500.0,100,-700.0,0.0,BU,1289000.0,1722700.0,False,100.0,14:22:12
47400.0,1500,-800.0,0.0,SD,1288900.0,1722700.0,False,0.0,14:22:11
47400.0,20000,-800.0,0.0,SD,1288900.0,1721200.0,True,-100.0,14:22:08
47500.0,100,-700.0,0.0,BU,1288900.0,1701200.0,False,0.0,14:22:05
47500.0,3000,-700.0,0.0,BU,1288800.0,1701200.0,False,100.0,14:21:57
47400.0,1400,-800.0,0.0,SD,1285800.0,1701200.0,False,-100.0,14:21:49
47500.0,12100,-700.0,0.0,BU,1285800.0,1699800.0,True,0.0,14:21:47
47500.0,1400,-700.0,0.0,BU,1273700.0,1699800.0,False,0.0,14:21:33
47500.0,2000,-700.0,0.0,BU,1272300.0,1699800.0,False,0.0,14:21:28
47500.0,500,-700.0,0.0,BU,1270300.0,1699800.0,False,0.0,14:21:25
47500.0,9300,-700.0,0.0,BU,1269800.0,1699800.0,True,-100.0,14:21:21
47600.0,2000,-600.0,0.0,SD,1260500.0,1699800.0,False,100.0,14:21:00
47500.0,100,-700.0,0.0,SD,1260500.0,1697800.0,False,-100.0,14:20:58
47600.0,2000,-600.0,0.0,BU,1260500.0,1697700.0,False,100.0,14:20:55
47500.0,100,-700.0,0.0,SD,1258500.0,1697700.0,False,-100.0,14:20:54
47600.0,500,-600.0,0.0,BU,1258500.0,1697600.0,False,100.0,14:20:18
