p,v,cp,rcp,a,ba,sa,hl,pcp,t
42000.0,1600,0.0,0.0,BU,14500.0,11900.0,False,0.0,13:55:06
42000.0,100,0.0,0.0,SD,12900.0,11900.0,False,0.0,13:27:04
42000.0,100,0.0,0.0,SD,12900.0,11800.0,False,0.0,13:26:51
42000.0,1800,0.0,0.0,BU,12900.0,11700.0,False,1000.0,13:26:36
41000.0,2600,-1000.0,0.0,SD,11100.0,11700.0,False,0.0,13:17:35
41000.0,300,-1000.0,0.0,SD,11100.0,9100.0,False,-1000.0,13:16:55
42000.0,1300,0.0,0.0,SD,11100.0,8800.0,False,0.0,13:15:07
42000.0,100,0.0,0.0,SD,11100.0,7500.0,False,0.0,13:15:06
42000.0,100,0.0,0.0,SD,11100.0,7400.0,False,0.0,13:14:50
42000.0,300,0.0,0.0,SD,11100.0,7300.0,False,0.0,13:14:46
42000.0,3200,0.0,0.0,SD,11100.0,7000.0,False,2000.0,13:14:22
40000.0,2000,-2000.0,0.0,BU,11100.0,3800.0,False,0.0,13:14:11
40000.0,1400,-2000.0,0.0,BU,9100.0,3800.0,False,-400.0,13:13:49
40400.0,1600,-1600.0,0.0,SD,7700.0,3800.0,False,400.0,13:13:40
40000.0,300,-2000.0,0.0,BU,7700.0,2200.0,False,0.0,13:12:51
40000.0,300,-2000.0,0.0,BU,7400.0,2200.0,False,0.0,13:12:39
40000.0,1500,-2000.0,0.0,BU,7100.0,2200.0,False,0.0,13:12:26
40000.0,2300,-2000.0,0.0,BU,5600.0,2200.0,False,-400.0,13:12:11
40400.0,100,-1600.0,0.0,BU,3300.0,2200.0,False,0.0,13:11:48
40400.0,100,-1600.0,0.0,BU,3200.0,2200.0,False,0.0,13:10:39
40400.0,100,-1600.0,0.0,BU,3100.0,2200.0,False,0.0,13:10:31
40400.0,1100,-1600.0,0.0,SD,3000.0,2200.0,False,-100.0,13:10:04
40500.0,600,-1500.0,0.0,SD,3000.0,1100.0,False,-500.0,13:08:19
41000.0,3000,-1000.0,0.0,BU,3000.0,500.0,False,0.0,13:03:18
41000.0,300,-1000.0,0.0,SD,0.0,500.0,False,0.0,10:37:53
41000.0,200,-1000.0,0.0,SD,0.0,200.0,False,0.0,10:36:49
