p,v,cp,rcp,a,ba,sa,hl,pcp,t
20000.0,500,-600.0,0.0,SD,422900.0,519100.0,False,0.0,14:24:55
20000.0,1500,-600.0,0.0,SD,422900.0,518600.0,False,0.0,14:24:23
20000.0,1000,-600.0,0.0,SD,422900.0,517100.0,False,0.0,14:24:18
20000.0,1000,-600.0,0.0,SD,422900.0,516100.0,False,0.0,14:23:58
20000.0,300,-600.0,0.0,SD,422900.0,515100.0,False,-100.0,14:23:50
20100.0,7600,-500.0,0.0,BU,422900.0,514800.0,False,-100.0,14:23:41
20200.0,6200,-400.0,0.0,BU,415300.0,514800.0,False,0.0,14:23:12
20200.0,500,-400.0,0.0,SD,409100.0,514800.0,False,0.0,14:23:09
20200.0,500,-400.0,0.0,SD,409100.0,514300.0,False,0.0,14:22:46
20200.0,1400,-400.0,0.0,SD,409100.0,513800.0,False,0.0,14:22:29
20200.0,500,-400.0,0.0,SD,409100.0,512400.0,False,0.0,14:22:23
20200.0,500,-400.0,0.0,SD,409100.0,511900.0,False,0.0,14:21:56
20200.0,400,-400.0,0.0,SD,409100.0,511400.0,False,0.0,14:21:52
20200.0,400,-400.0,0.0,BU,409100.0,511000.0,False,0.0,14:21:38
20200.0,4300,-400.0,0.0,BU,408700.0,511000.0,False,0.0,14:21:28
20200.0,900,-400.0,0.0,BU,404400.0,511000.0,False,0.0,14:21:00
20200.0,500,-400.0,0.0,SD,403500.0,511000.0,False,0.0,14:18:49
20200.0,3000,-400.0,0.0,SD,403500.0,510500.0,False,0.0,14:18:40
20200.0,500,-400.0,0.0,SD,403500.0,507500.0,False,0.0,14:18:31
20200.0,500,-400.0,0.0,SD,403500.0,507000.0,False,100.0,14:18:10
20100.0,400,-500.0,0.0,SD,403500.0,506500.0,False,100.0,14:16:46
20000.0,1500,-600.0,0.0,SD,403500.0,506100.0,False,0.0,14:16:12
20000.0,400,-600.0,0.0,SD,403500.0,504600.0,False,0.0,14:15:38
20000.0,3000,-600.0,0.0,SD,403500.0,504200.0,False,-200.0,14:14:53
20200.0,1500,-400.0,0.0,SD,403500.0,501200.0,False,0.0,14:13:29
20200.0,10000,-400.0,0.0,SD,403500.0,499700.0,True,-100.0,14:13:06
20300.0,1500,-300.0,0.0,SD,403500.0,489700.0,False,-200.0,14:12:01
20500.0,500,-100.0,0.0,SD,403500.0,488200.0,False,0.0,14:10:45
20500.0,500,-100.0,0.0,SD,403500.0,487700.0,False,0.0,14:10:41
20500.0,500,-100.0,0.0,SD,403500.0,487200.0,False,0.0,14:10:40
