p,v,cp,rcp,a,ba,sa,hl,pcp,t
5870.0,500,-180.0,0.0,SD,1496400.0,2558200.0,False,0.0,14:24:54
5870.0,500,-180.0,0.0,SD,1496400.0,2557700.0,False,0.0,14:24:54
5870.0,100,-180.0,0.0,SD,1496400.0,2557200.0,False,0.0,14:24:54
5870.0,1500,-180.0,0.0,SD,1496400.0,2557100.0,False,-10.0,14:24:54
5880.0,200,-170.0,0.0,BU,1496400.0,2555600.0,False,0.0,14:24:47
5880.0,500,-170.0,0.0,BU,1496200.0,2555600.0,False,0.0,14:24:40
5880.0,2500,-170.0,0.0,BU,1495700.0,2555600.0,False,0.0,14:24:38
5880.0,10000,-170.0,0.0,BU,1493200.0,2555600.0,False,0.0,14:24:33
5880.0,10000,-170.0,0.0,BU,1483200.0,2555600.0,False,0.0,14:24:20
5880.0,3000,-170.0,0.0,BU,1473200.0,2555600.0,False,0.0,14:24:17
5880.0,100,-170.0,0.0,BU,1470200.0,2555600.0,False,0.0,14:24:16
5880.0,200,-170.0,0.0,BU,1470100.0,2555600.0,False,0.0,14:24:13
5880.0,5000,-170.0,0.0,BU,1469900.0,2555600.0,False,0.0,14:24:13
5880.0,100,-170.0,0.0,BU,1464900.0,2555600.0,False,0.0,14:24:12
5880.0,200,-170.0,0.0,BU,1464800.0,2555600.0,False,10.0,14:24:05
5870.0,800,-180.0,0.0,SD,1464600.0,2555600.0,False,0.0,14:24:01
5870.0,100,-180.0,0.0,SD,1464600.0,2554800.0,False,0.0,14:24:01
5870.0,100,-180.0,0.0,SD,1464600.0,2554700.0,False,0.0,14:24:01
5870.0,100,-180.0,0.0,SD,1464600.0,2554600.0,False,-10.0,14:24:01
5880.0,100,-170.0,0.0,BU,1464600.0,2554500.0,False,0.0,14:23:52
5880.0,2000,-170.0,0.0,BU,1464500.0,2554500.0,False,0.0,14:23:26
5880.0,200,-170.0,0.0,BU,1462500.0,2554500.0,False,0.0,14:23:24
5880.0,1000,-170.0,0.0,BU,1462300.0,2554500.0,False,20.0,14:23:21
5860.0,400,-190.0,0.0,SD,1461300.0,2554500.0,False,0.0,14:23:19
5860.0,500,-190.0,0.0,SD,1461300.0,2554100.0,False,0.0,14:23:19
5860.0,300,-190.0,0.0,SD,1461300.0,2553600.0,False,0.0,14:23:19
5860.0,5000,-190.0,0.0,SD,1461300.0,2553300.0,False,0.0,14:23:19
5860.0,900,-190.0,0.0,SD,1461300.0,2548300.0,False,0.0,14:23:19
5860.0,500,-190.0,0.0,SD,1461300.0,2547400.0,False,0.0,14:23:19
5860.0,500,-190.0,0.0,SD,1461300.0,2546900.0,False,0.0,14:23:19
5860.0,8500,-190.0,0.0,SD,1461300.0,2546400.0,False,0.0,14:23:19
5860.0,100,-190.0,0.0,SD,1461300.0,2537900.0,False,0.0,14:23:19
5860.0,20000,-190.0,0.0,SD,1461300.0,2537800.0,False,-10.0,14:23:19
5870.0,500,-180.0,0.0,SD,1461300.0,2517800.0,False,0.0,14:23:19
5870.0,2000,-180.0,0.0,SD,1461300.0,2517300.0,False,0.0,14:23:19
5870.0,700,-180.0,0.0,SD,1461300.0,2515300.0,False,0.0,14:23:19
5870.0,1000,-180.0,0.0,SD,1461300.0,2514600.0,False,0.0,14:23:19
5870.0,2000,-180.0,0.0,SD,1461300.0,2513600.0,False,0.0,14:23:19
5870.0,2000,-180.0,0.0,SD,1461300.0,2511600.0,False,0.0,14:23:19
5870.0,700,-180.0,0.0,SD,1461300.0,2509600.0,False,0.0,14:23:19
5870.0,500,-180.0,0.0,SD,1461300.0,2508900.0,False,0.0,14:23:19
