p,v,cp,rcp,a,ba,sa,hl,pcp,t
39600.0,300,-1200.0,0.0,SD,18500.0,48300.0,False,-400.0,14:16:03
40000.0,500,-800.0,0.0,SD,18500.0,48000.0,False,-500.0,14:15:03
40500.0,1500,-300.0,0.0,BU,18500.0,47500.0,False,500.0,14:09:22
40000.0,100,-800.0,0.0,BU,17000.0,47500.0,False,700.0,14:07:48
39300.0,1200,-1500.0,0.0,SD,16900.0,47500.0,False,0.0,14:04:03
39300.0,2100,-1500.0,0.0,SD,16900.0,46300.0,False,100.0,14:02:33
39200.0,5500,-1600.0,0.0,SD,16900.0,44200.0,True,0.0,13:58:56
39200.0,4000,-1600.0,0.0,BU,16900.0,38700.0,False,-200.0,13:55:24
39400.0,4000,-1400.0,0.0,SD,12900.0,38700.0,False,-200.0,13:52:55
39600.0,600,-1200.0,0.0,SD,12900.0,34700.0,False,0.0,13:52:24
39600.0,3500,-1200.0,0.0,SD,12900.0,34100.0,False,-600.0,13:47:43
40200.0,100,-600.0,0.0,BU,12900.0,30600.0,False,600.0,13:39:52
39600.0,100,-1200.0,0.0,SD,12800.0,30600.0,False,100.0,13:37:19
39500.0,1000,-1300.0,0.0,SD,12800.0,30500.0,False,-600.0,13:36:03
40100.0,200,-700.0,0.0,BU,12800.0,29500.0,False,200.0,13:35:59
39900.0,2300,-900.0,0.0,BU,12600.0,29500.0,False,-100.0,13:35:04
40000.0,2000,-800.0,0.0,SD,10300.0,29500.0,False,0.0,13:34:50
40000.0,4500,-800.0,0.0,SD,10300.0,27500.0,False,-100.0,13:34:34
40100.0,800,-700.0,0.0,BU,10300.0,23000.0,False,0.0,13:33:57
40100.0,100,-700.0,0.0,SD,9500.0,23000.0,False,0.0,13:33:49
40100.0,100,-700.0,0.0,SD,9500.0,22900.0,False,0.0,13:33:48
40100.0,1200,-700.0,0.0,BU,9500.0,22800.0,False,0.0,13:30:36
40100.0,1500,-700.0,0.0,SD,8300.0,22800.0,False,-100.0,13:29:41
40200.0,100,-600.0,0.0,BU,8300.0,21300.0,False,0.0,13:29:36
40200.0,3000,-600.0,0.0,SD,8200.0,21300.0,False,-200.0,13:20:32
40400.0,400,-400.0,0.0,SD,8200.0,18300.0,False,0.0,13:12:40
40400.0,700,-400.0,0.0,SD,8200.0,17900.0,False,0.0,13:11:11
40400.0,300,-400.0,0.0,SD,8200.0,17200.0,False,0.0,13:09:37
40400.0,1000,-400.0,0.0,SD,8200.0,16900.0,False,-100.0,13:07:47
40500.0,100,-300.0,0.0,BU,8200.0,15900.0,False,0.0,13:06:25
40500.0,200,-300.0,0.0,BU,8100.0,15900.0,False,0.0,13:02:57
40500.0,200,-300.0,0.0,BU,7900.0,15900.0,False,0.0,13:01:06
40500.0,400,-300.0,0.0,SD,7700.0,15900.0,False,0.0,13:00:09
40500.0,400,-300.0,0.0,SD,7700.0,15500.0,False,-100.0,13:00:07
40600.0,200,-200.0,0.0,SD,7700.0,15100.0,False,0.0,11:22:49
40600.0,800,-200.0,0.0,BU,7700.0,14900.0,False,0.0,11:13:43
40600.0,100,-200.0,0.0,BU,6900.0,14900.0,False,0.0,11:13:13
40600.0,100,-200.0,0.0,BU,6800.0,14900.0,False,0.0,11:09:55
40600.0,600,-200.0,0.0,BU,6700.0,14900.0,False,0.0,10:49:06
40600.0,100,-200.0,0.0,SD,6100.0,14900.0,False,0.0,10:48:35
40600.0,300,-200.0,0.0,SD,6100.0,14800.0,False,200.0,10:47:49
40400.0,500,-400.0,0.0,BU,6100.0,14500.0,False,100.0,10:46:37
40300.0,300,-500.0,0.0,BU,5600.0,14500.0,False,0.0,10:46:17
40300.0,100,-500.0,0.0,BU,5300.0,14500.0,False,0.0,10:45:42
40300.0,500,-500.0,0.0,BU,5200.0,14500.0,False,-100.0,10:42:50
40400.0,100,-400.0,0.0,BU,4700.0,14500.0,False,0.0,10:38:51
40400.0,400,-400.0,0.0,BU,4600.0,14500.0,False,-100.0,10:38:47
40500.0,100,-300.0,0.0,BU,4200.0,14500.0,False,0.0,10:35:52
40500.0,200,-300.0,0.0,SD,4100.0,14500.0,False,0.0,10:34:06
40500.0,2400,-300.0,0.0,SD,4100.0,14300.0,False,-100.0,10:33:47
40600.0,700,-200.0,0.0,BU,4100.0,11900.0,False,0.0,10:33:34
40600.0,500,-200.0,0.0,SD,3400.0,11900.0,False,0.0,10:30:41
40600.0,300,-200.0,0.0,SD,3400.0,11400.0,False,0.0,10:26:47
40600.0,500,-200.0,0.0,SD,3400.0,11100.0,False,-200.0,10:24:21
40800.0,100,0.0,0.0,BU,3400.0,10600.0,False,0.0,10:19:01
40800.0,100,0.0,0.0,BU,3300.0,10600.0,False,0.0,10:15:25
40800.0,100,0.0,0.0,BU,3200.0,10600.0,False,300.0,10:13:37
40500.0,1500,-300.0,0.0,SD,3100.0,10600.0,False,-100.0,09:59:30
40600.0,100,-200.0,0.0,SD,3100.0,9100.0,False,0.0,09:56:38
40600.0,1500,-200.0,0.0,BU,3100.0,9000.0,False,-200.0,09:38:33
40800.0,1000,0.0,0.0,BU,1600.0,9000.0,False,300.0,09:36:14
40500.0,9000,-300.0,0.0,SD,600.0,9000.0,True,-400.0,09:34:25
40900.0,300,100.0,0.0,BU,600.0,0.0,False,0.0,09:32:14
40900.0,200,100.0,0.0,BU,300.0,0.0,False,0.0,09:30:55
40900.0,100,100.0,0.0,BU,100.0,0.0,False,0.0,09:23:57
